original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Utilização: iconv [-c] [-s] [-f cod_entrada] [-t cod_saida] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"RU,FR",LLAMA,59.378308100734984
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,"RU,FR",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente ‘%s --help’ para obter mais informações.,"Tente ""%s --help"" para mais informações.
","RU,FR",LLAMA,21.36435031981171
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Utilização: %s [OPÇÕES...] [-f ENCODING] [-t ENCODING] [ARQUIVO_ENTRADA...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","RU,FR",LLAMA,47.326568651956215
"or:    %s -l
","ou:    %s -l
","ou:    %s -l
","RU,FR",LLAMA,100.00000000000004
"Converts text from one encoding to another encoding.
",Converte o texto de uma codificação para outra codificação.,"Converte texto de uma codificação para outra.
","RU,FR",LLAMA,55.55238068023578
"Options controlling the input and output format:
","Opções para formatos de entrada e saída controlados: 
","Opções para controlar os formatos de entrada e saída:
","RU,FR",LLAMA,47.49549533009781
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                               Entrada em codificação","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","RU,FR",LLAMA,18.04438612975343
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                              codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","RU,FR",LLAMA,18.88588859215946
"Options controlling conversion problems:
","Opções de controle para conversão de caracteres: 
	'RU': Opção que gerencia erros durante o processamento das transformações dos caracteres. Para obter mais informações, tente 'cmd --help'.","Opções para controlar problemas de conversão:
","RU,FR",LLAMA,1.793443763338368
"  -c                          discard unconvertible characters
", -c                           ignorar caracteres não convertíveis,"  -c                          descarta caracteres não conversíveis
","RU,FR",LLAMA,23.643540225079384
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=STRING_FORMAT
                              substituição para caracteres Unicode não convertíveis.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
","RU,FR",LLAMA,10.127993013562818
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=FORMATSTRING    Substituição para bytes não convertíveis,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
","RU,FR",LLAMA,25.848657697858535
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","  --widechar-subst=FORMATSTRING
                              substituição para caracteres largos não convertíveis","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
","RU,FR",LLAMA,23.356898886410015
"Options controlling error output:
",Opções de controle para a saída dos erros:,"Opções para controlar saída de erro:
","RU,FR",LLAMA,7.129384882260374
"  -s, --silent                suppress error messages about conversion problems
","  -s, --silent                 não exibir mensagens relacionadas a erros de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
","RU,FR",LLAMA,18.36028134946796
"Informative output:
",Informações de saída:,"Saída informativa:
","RU,FR",LLAMA,15.97357760615681
"  -l, --list                  list the supported encodings
","  -l, --list                   lista de codificações suportadas","  -l, --list                  lista das codificações com suporte
","RU,FR",LLAMA,37.68499164492418
"  --help                      display this help and exit
","--help                       Mostrar esta ajuda e sair
","  --help                      exibe esta ajuda e sai
","RU,FR",LLAMA,32.46679154750991
"  --version                   output version information and exit
","--versao                    Mostrar informações sobre a versão e sair
","  --version                   exibe informação da versão e sai
","RU,FR",LLAMA,11.044795567078939
"License GPLv3+: GNU GPL version 3 or later <%s>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s> Este software é livre: você pode modificá-lo e redistribuí-lo. Não há garantias, dentro dos limites permitidos pela lei.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","RU,FR",LLAMA,45.391357295584555
"Written by %s.
","Autor(es): %s. 
","Escrito por %s.
","RU,FR",LLAMA,20.556680845025987
%s argument: A format directive with a variable width is not allowed here.,%s 参数: 在此处不允许用可变长度的命令格式。,argumento de %s: Uma diretiva de formato com uma variável de largura não permitida aqui.,"RU,FR",LLAMA,1.7560903341711829
%s argument: A format directive with a variable precision is not allowed here.,"%s argumento: Neste local, não é permitido o uso de uma diretiva com variável precisão.",argumento de %s: Uma diretiva de formato com uma variável de precisão não permitida aqui.,"RU,FR",LLAMA,6.336859268415405
%s argument: A format directive with a size is not allowed here.,%s 参数: 此处不允许用含大小的命令格式。,argumento de %s: Uma diretiva de formato com um tamanho não permitida aqui.,"RU,FR",LLAMA,2.619778931805682
%s argument: The string ends in the middle of a directive.,%s argumento: A string termina no meio da diretiva.,argumento de %s: A string termina no meio de uma diretiva.,"RU,FR",LLAMA,44.70246470897559
%s argument: The character '%c' is not a valid conversion specifier.,%s argumento: o caractere '\x%c' não é um especificador de escape válido.,"argumento de %s: O caractere ""%c"" não é uma especificação de conversão válida.","RU,FR",LLAMA,7.200062223352653
%s argument: The character that terminates the format directive is not a valid conversion specifier.,%s argumento: Caractere que termina o formato não é um especificador de conversão válido.,argumento de %s: O caractere que termina a diretiva de formato não é uma especificação de conversão válida.,"RU,FR",LLAMA,11.964548845960273
