original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Utilização: iconv [-c] [-s] [-f codificação_entrada] [-t codificação_saida] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"FR,DE",LLAMA,59.378308100734984
or:    iconv -l,ou: iconv -l,ou:  iconv -l,"FR,DE",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","FR,DE",LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Uso: %s [OPÇÃO...] [-f ENCODING] [-t ENCODING] [ARQUIVO_DE...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","FR,DE",LLAMA,59.970791883578045
"or:    %s -l
","ou:    %s -l
","ou:    %s -l
","FR,DE",LLAMA,100.00000000000004
"Converts text from one encoding to another encoding.
",Converta o texto de um código para outro código.,"Converte texto de uma codificação para outra.
","FR,DE",LLAMA,9.980099403873663
"Options controlling the input and output format:
","Opções para controlar o formato de entrada e saída:
","Opções para controlar os formatos de entrada e saída:
","FR,DE",LLAMA,52.53819788848316
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
"," -f ENCODING, --from-code=ENCODING
                           Codificação de entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","FR,DE",LLAMA,20.90067144241745
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                              codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","FR,DE",LLAMA,18.88588859215946
"Options controlling conversion problems:
","Opções para controlar a conversão de caracteres: 
	'%s': Converta todos os caracteres em maiúsculas; 
	'%d': Limite o número máximo de caracteres convertidos por linha à quantidade especificada pelo usuário. Se houver mais, eles serão truncados sem perder a última parte da entrada.
","Opções para controlar problemas de conversão:
","FR,DE",LLAMA,3.0397156830248746
"  -c                          discard unconvertible characters
", -c                           esquecer caracteres não convertíveis,"  -c                          descarta caracteres não conversíveis
","FR,DE",LLAMA,23.643540225079384
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=FORMATSTRING
                              Substituição para caracteres Unicode não convertíveis.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
","FR,DE",LLAMA,11.868405219520975
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=FORMATSTRING    Substituição para bytes não convertíveis em caracteres,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
","FR,DE",LLAMA,19.64073254502565
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=FORMATSTRING
                              Substituição para caracteres largos não convertíveis.","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
","FR,DE",LLAMA,12.549310621989482
"Options controlling error output:
","控制错误输出的选项:
","Opções para controlar saída de erro:
","FR,DE",LLAMA,4.104249931194939
"  -s, --silent                suppress error messages about conversion problems
"," -s, --silent                 não exibir mensagens relacionadas aos erros de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
","FR,DE",LLAMA,18.36028134946796
"Informative output:
",Informações de saída:,"Saída informativa:
","FR,DE",LLAMA,15.97357760615681
"  -l, --list                  list the supported encodings
","  -l, --list                   lista as codificações suportadas","  -l, --list                  lista das codificações com suporte
","FR,DE",LLAMA,37.68499164492418
"  --help                      display this help and exit
", --help                       Mostra este mensagem de ajuda e termina o programa.,"  --help                      exibe esta ajuda e sai
","FR,DE",LLAMA,8.29519350710986
"  --version                   output version information and exit
","--versao                    Mostrar informações de versão e sair
","  --version                   exibe informação da versão e sai
","FR,DE",LLAMA,13.134549472120788
"License GPLv3+: GNU GPL version 3 or later <%s>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s> 
Este software é livre: você pode modificá-lo e redistribuí-lo. 
Não há garantias, dentro dos limites legais permitidos.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,DE",LLAMA,44.273793992004656
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","FR,DE",LLAMA,100.00000000000004
%s argument: A format directive with a variable width is not allowed here.,%s argumento: Uma diretiva de format com largura variável não é permitida aqui.,argumento de %s: Uma diretiva de formato com uma variável de largura não permitida aqui.,"FR,DE",LLAMA,24.321629449915534
%s argument: A format directive with a variable precision is not allowed here.,%s argumento: Uma diretiva de formato com precisão fixa não é permitida aqui.,argumento de %s: Uma diretiva de formato com uma variável de precisão não permitida aqui.,"FR,DE",LLAMA,39.081376590206645
%s argument: A format directive with a size is not allowed here.,%s argumento: Uma diretiva de formato que inclui tamanho não é permitida aqui.,argumento de %s: Uma diretiva de formato com um tamanho não permitida aqui.,"FR,DE",LLAMA,37.15011599826721
%s argument: The string ends in the middle of a directive.,%s argumento: a string termina no meio de uma instrução.,argumento de %s: A string termina no meio de uma diretiva.,"FR,DE",LLAMA,42.91851696775516
%s argument: The character '%c' is not a valid conversion specifier.,%s argumento: o caractere '\%c' não é um especificador de conversão válido.,"argumento de %s: O caractere ""%c"" não é uma especificação de conversão válida.","FR,DE",LLAMA,8.189273015718468
%s argument: The character that terminates the format directive is not a valid conversion specifier.,%s argumento: O caractere que termina o formato não é um especificador de conversão válido.,argumento de %s: O caractere que termina a diretiva de formato não é uma especificação de conversão válida.,"FR,DE",LLAMA,28.13270043351082
cannot convert byte substitution to Unicode: %s,não pode converter os bytes de substituição para Unicode: %s,não foi possível converter substituição de bytes para Unicode: %s,"FR,DE",LLAMA,37.70063804549471
cannot convert unicode substitution to target encoding: %s,não pode converter as substituições Unicode para o código de saída especificado: %s,não foi possível converter unicode para codificação desejada: %s,"FR,DE",LLAMA,11.633270842295033
cannot convert byte substitution to wide string: %s,não pode converter os bytes de substituição em uma string aninhada: %s,não foi possível converter substituição de bytes para texto amplo: %s,"FR,DE",LLAMA,13.508625657351418
