original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
",%s: não é possível resolver a endereçamento ligado %s; desligando bind.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
","FR,ES",LLAMA,24.375427155462503
Connecting to %s|%s|:%d... ,Conectando con %s|%s|:%d… ,Conectando-se a %s|%s|:%d... ,"FR,ES",LLAMA,51.665671158113454
Connecting to %s:%d... ,Conectando ao %s:%d... ,Conectando-se a %s:%d... ,"FR,ES",LLAMA,75.98356856515926
Connecting to [%s]:%d... ,Conexão ao [%s]:%d… ,Conectando-se a [%s]:%d... ,"FR,ES",LLAMA,42.0886844306855
"setsockopt SO_RCVBUF failed: %s
",falha ao definir o parâmetro SO_RCVBUF do soquete : %s,"setsockopt SO_RCVBUF falhou: %s
","FR,ES",LLAMA,19.338531381761715
"connected.
",conexão estabelecida.,"conectado.
","FR,ES",LLAMA,27.516060407455225
"failed: %s.
","falha : %s. 
","falha: %s.
","FR,ES",LLAMA,100.00000000000004
"%s: unable to resolve host address %s
",%s: impossível resolver o endereço do host %s,"%s: não foi possível resolver endereço de máquina %s
","FR,ES",LLAMA,17.423472443716534
"setsockopt SO_REUSEADDR failed: %s
",falha ao definir o socket SO_REUSEADDR : %s,"setsockopt SO_REUSEADDR falhou: %s
","FR,ES",LLAMA,23.462350320527996
"Too many fds open.  Cannot use select on a fd >= %d
","Excesso de descriptores de ficheros abertos. Não é possível utilizar select com descripteur >= %d
","Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
","FR,ES",LLAMA,20.105373454060025
"Converted links in %d files in %s seconds.
",Liens convertidos em %d ficheiros em %s segundos.,"Links convertidos em %d arquivos em %s segundos.
","FR,ES",LLAMA,58.77283725105324
Converting links in %s... ,Conversão de links em %s… ,Convertendo links em %s... ,"FR,ES",LLAMA,21.64910073203448
"nothing to do.
",não há nada a fazer.,"nada a ser feito.
","FR,ES",LLAMA,17.965205598154213
"%d.
",%d.,"%d.
","FR,ES",LLAMA,100.00000000000004
"Cannot convert links in %s: %s
","Не foi possível converter as referências em %s : %s
","Não foi possível converter links em %s: %s
","FR,ES",LLAMA,53.107253497886994
"Unable to delete %s: %s
","Не foi possível excluir %s : %s
","Não foi possível excluir %s: %s
","FR,ES",LLAMA,86.33400213704509
"Cannot back up %s as %s: %s
",Не foi possível salvar %s com o nome %s: %s,"Não foi possível fazer uma cópia de segurança de %s como %s: %s
","FR,ES",LLAMA,27.50501077941093
"Unable to get cookie for %s
",Не foi possível obter cookie para %s,"Incapaz de obter o cookie para %s
","FR,ES",LLAMA,36.55552228545123
"Syntax error in Set-Cookie: %s at position %d.
","Erro de sintaxe no Set-Cookie: %s na posição %d. 
","Erro de sintaxe em Set-Cookie: %s na posição %d.
","FR,ES",LLAMA,76.11606003349888
Cookie coming from %s attempted to set domain to ,"Cookie recebido de %s tentou alterar o domínio para ""%s"".",Cookie vindo de %s tentou designar domínio como,"FR,ES",LLAMA,18.20705281109213
"%s
","%s
","%s
","FR,ES",LLAMA,100.00000000000004
"Cannot open cookies file %s: %s
",não é possível abrir o arquivo de cookies %s : %s,"Não foi possível abrir o arquivo de cookies %s: %s
","FR,ES",LLAMA,82.4236750264605
"Error writing to %s: %s
",Erro ao escrever no arquivo %s : %s,"Erro ao gravar em %s: %s.
","FR,ES",LLAMA,45.180100180492246
"Error closing %s: %s
",Erro ao fechar %s : %s,"Erro ao fechar %s: %s
","FR,ES",LLAMA,100.00000000000004
"Unsupported listing type, trying Unix listing parser.
","Não é suportado o formato de lista, tentaríamos com um analisador de listas do tipo Unix.","Não há suporte para o tipo de listagem. Tentando usar interpretador de listagem UNIX.
","FR,ES",LLAMA,3.3613183938332405
Index of /%s on %s:%d,Индекс /%s на %s:%d,Índice de /%s em %s:%d,"FR,ES",LLAMA,47.53852732567741
time unknown       ,o tempo é desconhecido,horário desconhecido ,"FR,ES",LLAMA,15.97357760615681
File        ,Arquivo        ,Arquivo     ,"FR,ES",LLAMA,100.00000000000004
Directory   ,Categoria     ,Diretório   ,"FR,ES",LLAMA,0.0
Link        ,Ligação,Link        ,"FR,ES",LLAMA,0.0
Not sure    ,Incerto   ,Incerto     ,"FR,ES",LLAMA,100.00000000000004
 (%s bytes),(%s bytes), (%s bytes),"FR,ES",LLAMA,100.00000000000004
Length: %s,Tamanho (byte): %s,Tamanho: %s,"FR,ES",LLAMA,26.269098944241588
", %s (%s) remaining",", %s (%s) restante",", %s (%s) restantes","FR,ES",LLAMA,84.08964152537145
", %s remaining",", %s restante",", %s restantes","FR,ES",LLAMA,59.460355750136046
" (unauthoritative)
",não é uma garantia confiável (non certifiée)," (sem autoridade)
","FR,ES",LLAMA,5.669791110976001
"Could not initialize SSL. It will be disabled.
",Не foi possível inicializar SSL. Ele será desligado.,"Não foi possível iniciar o SSL. Ele será desabilitado.
","FR,ES",LLAMA,29.377167835760567
Logging in as %s ... ,Executa a entrada sob o nome %s… ,Acessando como %s ... ,"FR,ES",LLAMA,5.522397783539471
"Error in server response, closing control connection.
","Erro na resposta do servidor, fechamento de conexão controladora.","Erro na resposta do servidor, fechando a conexão de controle.
","FR,ES",LLAMA,46.65904311461236
"Error in server greeting.
",Erro na mensagem de boas-vindas do servidor.,"Erro na saudação do servidor.
","FR,ES",LLAMA,25.848657697858535
"Write failed, closing control connection.
","Erro de escrita, conexão de controle encerrada.","Falha de escrita, fechando a conexão de controle.
","FR,ES",LLAMA,27.75806054476853
