original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Usagem: iconv [-c] [-s] [-f codificação_entrada] [-t codificação_saída] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"FR,ID",LLAMA,59.378308100734984
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,"FR,ID",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","FR,ID",LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Utilização: %s [OPSI...] [-f CODEANCAR] [-e CODEANCAR] [BERKAS MASCUNOLA...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","FR,ID",LLAMA,41.902845957302084
"or:    %s -l
","ou:    %s -l
","ou:    %s -l
","FR,ID",LLAMA,100.00000000000004
"Converts text from one encoding to another encoding.
",Converta o texto de um código para outro código.,"Converte texto de uma codificação para outra.
","FR,ID",LLAMA,9.980099403873663
"Options controlling the input and output format:
",Opções para controlar o formato de entrada e saída do sistema:,"Opções para controlar os formatos de entrada e saída:
","FR,ID",LLAMA,31.702331385234313
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                               Codificação de entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","FR,ID",LLAMA,20.90067144241745
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to_code=ENCODING
                              codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","FR,ID",LLAMA,5.604233375480572
"Options controlling conversion problems:
","Opções para controle de problemas de conversão:
","Opções para controlar problemas de conversão:
","FR,ID",LLAMA,41.11336169005198
"  -c                          discard unconvertible characters
", -c                           esquecer caracteres não convertíveis,"  -c                          descarta caracteres não conversíveis
","FR,ID",LLAMA,23.643540225079384
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=FORMATSTRING
                              Substituição para caracteres Unicode não convertíveis.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
","FR,ID",LLAMA,11.868405219520975
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=FORMATSTRING    Substitui bytes não convertíveis para uma string formatada,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
","FR,ID",LLAMA,11.208466750961147
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=FORMATSTRING
                              substituição para caracteres aninhados não convertíveis","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
","FR,ID",LLAMA,23.356898886410015
"Options controlling error output:
",Opções para controlar o output de erros:,"Opções para controlar saída de erro:
","FR,ID",LLAMA,23.356898886410015
"  -s, --silent                suppress error messages about conversion problems
"," -s, --silent                 não exibir mensagens relacionadas aos erros de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
","FR,ID",LLAMA,18.36028134946796
"Informative output:
",Informações de saída:,"Saída informativa:
","FR,ID",LLAMA,15.97357760615681
"  -l, --list                  list the supported encodings
","  -l, --list                   lista de codificações suportadas","  -l, --list                  lista das codificações com suporte
","FR,ID",LLAMA,37.68499164492418
"  --help                      display this help and exit
"," --help                       Mostra este mensagem de ajuda e sai
","  --help                      exibe esta ajuda e sai
","FR,ID",LLAMA,22.089591134157878
"  --version                   output version information and exit
","--versao                    Mostrar versão e sair
","  --version                   exibe informação da versão e sai
","FR,ID",LLAMA,14.320952289897704
"License GPLv3+: GNU GPL version 3 or later <%s>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s> 
Este software é livre: você pode modificá-lo e redistribuí-lo. 
Não há garantia, dentro dos limites legais permitidos.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,ID",LLAMA,44.273793992004656
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","FR,ID",LLAMA,100.00000000000004
%s argument: A format directive with a variable width is not allowed here.,%s argumento: Uma diretiva de format com uma largura variável não é permitida aqui.,argumento de %s: Uma diretiva de formato com uma variável de largura não permitida aqui.,"FR,ID",LLAMA,25.694126297110607
%s argument: A format directive with a variable precision is not allowed here.,%s argumento: Uma diretiva de format com precisão variável não é permitida aqui.,argumento de %s: Uma diretiva de formato com uma variável de precisão não permitida aqui.,"FR,ID",LLAMA,24.321629449915534
%s argument: A format directive with a size is not allowed here.,%s argumento: Uma diretiva de formato com um tamanho não é permitida aqui.,argumento de %s: Uma diretiva de formato com um tamanho não permitida aqui.,"FR,ID",LLAMA,65.25452579142075
%s argument: The string ends in the middle of a directive.,%s argumento: A string termina no meio de uma instrução.,argumento de %s: A string termina no meio de uma diretiva.,"FR,ID",LLAMA,59.26680740592497
%s argument: The character '%c' is not a valid conversion specifier.,%s argumento: Caracter '%c' não é um especificador de conversão válido.,"argumento de %s: O caractere ""%c"" não é uma especificação de conversão válida.","FR,ID",LLAMA,7.980074469047184
%s argument: The character that terminates the format directive is not a valid conversion specifier.,%s argumento: Caractere que termina o formato não é um especificador de conversão válido.,argumento de %s: O caractere que termina a diretiva de formato não é uma especificação de conversão válida.,"FR,ID",LLAMA,11.964548845960273
cannot convert byte substitution to Unicode: %s,não pode converter os bytes de substituição para Unicode: %s,não foi possível converter substituição de bytes para Unicode: %s,"FR,ID",LLAMA,37.70063804549471
cannot convert unicode substitution to target encoding: %s,não pode converter a substituição Unicode no codificador de saída desejado: %s,não foi possível converter unicode para codificação desejada: %s,"FR,ID",LLAMA,12.011055432195764
cannot convert byte substitution to wide string: %s,não pode converter os bytes de substituição em uma string ancha: %s,não foi possível converter substituição de bytes para texto amplo: %s,"FR,ID",LLAMA,13.508625657351418
cannot convert widechar substitution to target encoding: %s,não pode converter os caracteres anchos para o codificação alvo: %s,não foi possível converter widechar para codificação desejada: %s,"FR,ID",LLAMA,14.211672443220438
cannot convert byte substitution to target encoding: %s,não pode converter os bytes de substituição para o codificador alvo: %s,não foi possível converter substituição de bytes para codificação desejada: %s,"FR,ID",LLAMA,13.912311644176565
%s:%u:%u: cannot convert,%s:%d:%d: não pode converter,%s:%u:%u: impossível converter,"FR,ID",LLAMA,27.09198854675628
%s:%u:%u: incomplete character or shift sequence,%s:%d:%d: caractere incompleto ou sequência de deslocamento,%s:%u:%u: sequência de caracteres ou deslocamentos incompleta,"FR,ID",LLAMA,23.505204106959603
%s:%u:%u,%s:%u:%u,%s:%u:%u,"FR,ID",LLAMA,100.00000000000004
%s: I/O error,%s: erro de entrada/saída,%s: erro de E/S,"FR,ID",LLAMA,54.10822690539397
conversion from %s unsupported,a conversão a partir de %s não é suportada,não há suporte à conversão de %s,"FR,ID",LLAMA,17.747405280050266
conversion to %s unsupported,não é suportada a conversão para %s,não há suporte à conversão para %s,"FR,ID",LLAMA,36.55552228545123
