original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tenha em vista ler do CD.,Não foi possível ler as informações do CD.,"ID,ES",LLAMA,46.308502554893494,21.201250079654766,19.740631366145518,62.5,83.51559638977051
Could not open CD device for reading.,Tenha em mente abrir o dispositivo de CD para leitura.,Não foi possível abrir o dispositivo de CD para leitura.,"ID,ES",LLAMA,74.27933812141418,69.94955648245042,67.86502681586727,30.0,90.27080535888672
Disc is not an Audio CD.,Cakram bukan CD Audio.,O disco não é um CD de áudio.,"ID,ES",LLAMA,70.45664191246033,16.02757609585423,5.70796903405875,87.5,79.78289127349854
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"ID,ES",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,"ID,ES",LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,Falhou ao ir para o capítulo %d do título %d do DVD.,Falha ao avançar para o capítulo %d do título %d do DVD,"ID,ES",LLAMA,84.94710326194763,76.12513425665053,71.66258375282708,25.0,87.03497052192688
Could not open DVD title %d. Interactive titles are not supported by this element,Tak dapat abrir o título %d do DVD. Os títulos interativos não estão suportados por este elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"ID,ES",LLAMA,84.3748390674591,65.40193625736033,44.47608928410895,50.0,88.4123146533966
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tenha em mente que é necessário instalar o software de decodificação do DVD para poder ler um DVD com criptografia. A ausência desse programa impede a leitura.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"ID,ES",LLAMA,79.30057048797607,27.18563006346803,2.1639848597070865,100.0,77.29467153549194
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"ID,ES",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,O Arus neste momento não contém dados.,Este fluxo não contém dados.,"ID,ES",LLAMA,84.34683680534363,61.921103893272814,34.57207846419409,80.0,85.6373131275177
