original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"ES,VI",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"ES,VI",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"ES,VI",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"ES,VI",LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: O parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"ES,VI",LLAMA,76.70387248467661
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"ES,VI",LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência en ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"ES,VI",LLAMA,75.98356856515926
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios e opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"ES,VI",LLAMA,30.752616970214323
Usage:,Modo de uso:,Uso:,"ES,VI",LLAMA,15.97357760615681
  or: ,o bem:, ou: ,"ES,VI",LLAMA,27.516060407455225
 [OPTION...],[OPCIÓN...], [OPÇÃO...],"ES,VI",LLAMA,53.7284965911771
"Try '%s --help' or '%s --usage' for more information.
","Tente executar “%s --help” ou “%s --uso” para obter mais informações. Por favor, substitua '%s' pelos nomes reais dos comandos.","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","ES,VI",LLAMA,7.696339439306159
"Report bugs to %s.
","Comunicar erros a %s. 
","Relate erros para %s.
","ES,VI",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ES,VI",LLAMA,21.02241038134286
