original,translated,reference,context_languages,strategy,bleu
a number between 0 and 1,um número entre 0 e 1,um número entre 0 e 1,"ES,VI",LLAMA,100.00000000000004
"in the form ""<name> <value>""",em forma de 'nome valor',"na forma ""<nome> <valor>""","ES,VI",LLAMA,3.929752628321626
string,cadeia de caracteres,texto,"ES,VI",LLAMA,0.0
integer,número inteiro,inteiro,"ES,VI",LLAMA,49.99999999999999
boolean,Valor de verdade,booleano,"ES,VI",LLAMA,0.0
list,lista,lista,"ES,VI",LLAMA,100.00000000000004
"either ""true"" or ""false""",Entweder »true« (verdadeiro) ou »false« (falso),"tanto ""true"" ou ""false""","ES,VI",LLAMA,4.196114906296549
a positive integer,uma número inteiro positivo,um inteiro positivo,"ES,VI",LLAMA,31.947155212313625
# default: ,# predeterminado: ,# padrão: ,"ES,VI",LLAMA,34.66806371753173
"
#######################################################################
#
# Filter: %s
#   %s
#
# configured as follows:

","Filtro: %s
   %s

configurado como segue:
","
#######################################################################
#
# Filtro: %s
#   %s
#
# foi configurado deste modo:

","ES,VI",LLAMA,0.01520091913670051
ASPELL_CONF env var,ASPELL_CONF Umgebungsvariable,ASPELL_CONF env var,"ES,VI",LLAMA,46.30777161991026
main configuration file,arquivo de configuração principal,arquivo de configuração principal,"ES,VI",LLAMA,100.00000000000004
location of main configuration file,Nome da arquÃ¡te principal de configuraciÃ³es,local do arquivo de configuração principal,"ES,VI",LLAMA,9.652434877402245
location of language data files,Nome dos arquivos de dados linguísticos,local dos arquivos de idiomas,"ES,VI",LLAMA,30.213753973567677
create dictionary aliases,criar alias de diccionarios para o Wörterbuchaliase,cria apelidos de dicionário,"ES,VI",LLAMA,6.567274736060395
location of the main word list,Nome da lista de palavras principais,local do vocabulário principal,"ES,VI",LLAMA,0.0
encoding to expect data to be in,la codificaciÃ³n espera que la entrada estÃ¡ en el formato deseado.,codificação de entrada,"ES,VI",LLAMA,3.3864985683445354
add or removes a filter,adicione um filtro ou remova-o,adiciona ou remove um filtro,"ES,VI",LLAMA,23.643540225079384
path(s) aspell looks for filters,Rota(s) onde aspell procura filtros.,caminho(s) para aspell buscar filtros,"ES,VI",LLAMA,20.164945583740657
filter mode,modo de filtragem,modo filtro,"ES,VI",LLAMA,27.516060407455225
extra dictionaries to use,diccionarios adicionais a utilizar,dicionários adicionais,"ES,VI",LLAMA,15.97357760615681
location for personal files,Nome para arquivos pessoais,local dos arquivos pessoais,"ES,VI",LLAMA,31.947155212313625
ignore words <= n chars,ignorar palavras com <= n caracteres,ignora palavras com menos de n caracteres,"ES,VI",LLAMA,18.575057999133602
ignore accents when checking words -- CURRENTLY IGNORED,ignorar os acentos ao comprovar as palavras -- AMBOS IGNORED NO MOMENTANTE,ignora acentuação ao verificar palavras -- ATUALMENTE IGNORADO,"ES,VI",LLAMA,7.495553473355845
ignore case when checking words,ignorar maiúsculas e minúsculas ao verificar as palavras.,ignora case ao verificar palavras,"ES,VI",LLAMA,10.552670315936318
ignore commands to store replacement pairs,ignorar comandos para salvar pares de substituição,ignora comandos de substituição,"ES,VI",LLAMA,14.535768424205482
extra information for the word list,informaciÃ³n adicional para a lista de palavras,informação extra para o vocabulário,"ES,VI",LLAMA,6.567274736060395
keyboard definition to use for typo analysis,definiciÃ³n do teclado para anÃ¡lise de erros tipogrÃ¡ficos,definição de teclado para uso em analise tipográfica,"ES,VI",LLAMA,12.22307556087252
language code,código linguístico (Língua Portuguesa),código do idioma,"ES,VI",LLAMA,8.116697886877475
"deprecated, use lang instead","obsoleto, use lang em seu lugar","obsoleto, use lang","ES,VI",LLAMA,41.11336169005198
location of local language data files,ubicaciÃ³n de os arquivos de dados linguisticos locais,localização dos arquivos locais de dados de idioma,"ES,VI",LLAMA,13.888095170058955
base name of the main dictionary to use,Nome do principal dicionário de palavras,nome base do dicionário principal para usar,"ES,VI",LLAMA,9.042266054940777
set module name,nome do módulo definir,define o nome do módulo,"ES,VI",LLAMA,46.30777161991026
search order for modules,Estrutura de ordenação para módulos,ordem de busca por módulos,"ES,VI",LLAMA,12.703318703865365
enable Unicode normalization,Ativar normalização Unicode,habilita normalização Unicode,"ES,VI",LLAMA,55.03212081491043
Unicode normalization required for current lang,"para esta linguagem, é necessária a normalização Unicode Unicodenormalizacion.",normalização Unicode necessária para o idioma atual,"ES,VI",LLAMA,8.913765521398126
"Unicode normalization form: none, nfd, nfc, comp","Forma de normalizaciÃ³n Unicode: none, nfd, nfc, comp","forma de normalização Unicode: none, nfd, nfc, comp","ES,VI",LLAMA,72.92571723872932
avoid lossy conversions when normalization,Evite conversões com perdas ao normalizar para evitar problemas de convergÃªncia,evita conversões com perdas na normalização,"ES,VI",LLAMA,13.950796967929138
personal configuration file,arquivos de configuração pessoal,arquivo de configuração pessoal,"ES,VI",LLAMA,59.460355750136046
personal dictionary file name,Nome do dicionário pessoal,arquivo de dicionário pessoal,"ES,VI",LLAMA,31.947155212313625
prefix directory,diretório de prefixo,prefixo do diretório,"ES,VI",LLAMA,34.66806371753173
replacements list file name,Nome do arquivo de lista de substituições,nome de arquivo da lista de substituições,"ES,VI",LLAMA,27.77619034011791
consider run-together words legal,aceitam palavras compostas,considera palavras aglutinadas como válidas,"ES,VI",LLAMA,14.127216461522432
maximum number that can be strung together,número máximo de palavras compostas,número máximo quem podem ser colocadas juntas,"ES,VI",LLAMA,14.320952289897704
minimal length of interior words,tamanho mínimo das palavras internas,tamanho mínimo de palavras interior,"ES,VI",LLAMA,23.643540225079384
consider camel case words legal,considerar legais as palavras em CamelCase,considera palavras CamelCase como válidas,"ES,VI",LLAMA,9.652434877402245
save replacement pairs on save all,"ao salvar tudo, também é necessário guardar pares de substituição.","salva substituições quando for comando ""save all""","ES,VI",LLAMA,0.0
set the prefix based on executable location,fijar el prefijo segÃºn localizaciÃ³n del programa %s,define o prefixo baseado na localização do executável,"ES,VI",LLAMA,0.0
size of the word list,tamanho da lista de palavras,tamanho do vocabulário,"ES,VI",LLAMA,10.682175159905848
no longer used,não é mais utilizado,não mais usado,"ES,VI",LLAMA,18.99589214128981
suggestion mode,modo de sugerência,modo de sugestão,"ES,VI",LLAMA,55.03212081491043
"use typo analysis, override sug-mode default","Realizar anÃ¡lise de tippfehler, em vez do modo sugestivo padrão.","usa análise de erro de digitação, sobrescrevendo o padrão ""sug-mode""","ES,VI",LLAMA,4.100530090638892
