Not enough memory.	Não há memória suficiente.
Setting a value for this tag is unsupported!	Definir um valor para esta tag não é suportado!
Too few components specified (need %d, found %d)	Poucos componentes especificados (necessidade de %d, encontrado %d)
Numeric value expected	Valor numérico esperado
Internal error. Please contact <%s>.	Erro interno. Por favor, entre em contato com <%s>.
Not yet implemented!	Ainda não implementado!
Warning; Too many components specified!	Advertência; Componentes demasiados especificados!
Too much EXIF data (%i bytes). Only %i bytes are allowed.	Demasiados dados EXIF (%i bytes). somente %i bytes são permitidos.
Could not write '%s' (%s).	Não conseguiu escrever '%s' (%s).
Wrote file '%s'.	Escreveu o arquivo '%s'.
EXIF entry '%s'	A entrada EXIF '%s'
(0x%x, '%s')	(0x%x, '%s')
exists in IFD '%s':	Existe em IFD '%s':
Adding entry...	Adicionando entrada...
IFD '%s' does not contain a tag '%s'!	IFD '%s' não contém uma tag '%s'!
Could not open '%s' (%s)!	Não pôde abrir '%s' (%s)!
Could not determine size of '%s' (%s).	Não conseguiu determinar o tamanho de '%s' (%s).
Could not read '%s' (%s).	Não conseguiu ler '%s' (%s).
IFD '%s' does not contain tag '%s'.	O IFD '%s' não contém a tag '%s'.
'%s' does not contain tag '%s'.	'%s' não contém a tag '%s'.
'%s' does not contain a thumbnail!	'%s' não contém uma miniatura!
Could not open '%s' for writing (%s)!	Não conseguiu abrir '%s' para escrever (%s)!
EXIF tags in '%s':	tags EXIF em '%s':
Unknown format or nonexistent MakerNote.	Formatos desconhecidos ou MakerNote inexistente.
MakerNote does not contain any value.	MakerNote não contém nenhum valor.
Unknown Tag	Tag desconhecido
Unknown value	Valor desconhecido
EXIF tags in '%s' ('%s' byte order):	tags EXIF em '%s' ('%s' ordem de byte):
Tag	Tag Tag
Value	Valor Valor
EXIF data contains a thumbnail (%i bytes).	Os dados EXIF contêm uma miniatura (%i bytes).
ThumbnailSize	%i	ThumbnailSize %i
Display software version	A versão do software de exibição
Show IDs instead of tag names	Mostre IDs em vez de nomes de tags
Select tag	Selecione a tag.
tag	tag tag tag
Select IFD	Selecione IFD
IFD	IFD IFD
List all EXIF tags	Lista de todos os tags EXIF
Show contents of tag MakerNote	Mostre o conteúdo da tag MakerNote.
Remove tag or ifd	Remove tag or ifd
Show description of tag	Mostre descrição de tag
Extract thumbnail	Extrair uma miniatura
Remove thumbnail	Remove thumbnail
Insert FILE as thumbnail	Insira o FILE como um miniatura
FILE	FILE  FILE 
Do not fix existing tags in files	Não corrija tags existentes em arquivos
Write data to FILE	Escreva dados para FILE
Value of tag	Valor de tag
STRING	STRING
Create EXIF data if not existing	Criar dados EXIF se não existirem
Output in a machine-readable (tab delimited) format	Output em um formato machine-readable (tab delimited)
Width of output	Largura de saída
WIDTH	WIDTH
Output in a XML format	A saída em um formato XML
Show debugging messages	Mostre mensagens de depuração
Help options:	Opções de ajuda:
Show this help message	Mostre esta mensagem de ajuda
Display brief usage message	Display brief usage message
[OPTION...] file	[OPTION...] arquivo
Invalid IFD '%s'. Valid IFDs are '0', '1', 'EXIF', 'GPS', and 'Interoperability'.	IFDs válidas são '0', '1', 'EXIF', 'GPS' e 'Interoperabilidade'.
Invalid tag '%s'!	Tag inválido '%s'!
You need to specify a tag!	Você precisa especificar uma etiqueta!
You need to specify an IFD!	Você precisa especificar um IFD!
Tag '%s'	Tag '%s'
(0x%04x, '%s'):	(0x%04x, '%s'):
Specify input file or --create-exif	Especifique o arquivo de entrada ou --create-exif.
'%s' is not readable or does not contain EXIF data!	'%s' não é legível ou não contém dados EXIF!
XML format is not available for Maker Notes	O formato XML não está disponível para Maker Notes
