original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
write error,erro de escrita,erro de escrita,"ZH_CN,RU",LLAMA,98.75631928443909,100.0,100.00000000000004,0.0,100.00001192092896
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"ZH_CN,RU",LLAMA,87.13856339454651,74.76256538834086,50.81327481546149,50.0,95.59170007705688
unbalanced [,não é correspondente [,[ sem correspondente,"ZH_CN,RU",LLAMA,79.28614616394043,63.25219733926573,18.99589214128981,100.0,77.7967095375061
invalid character class,classe de caracteres inválida,classe de caracteres inválida,"ZH_CN,RU",LLAMA,97.32041954994202,100.0,100.00000000000004,0.0,99.99998807907104
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","ZH_CN,RU",LLAMA,92.0819342136383,77.7616482849441,72.00242075875518,27.27272727272727,93.26432347297668
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,"ZH_CN,RU",LLAMA,82.03967213630676,27.55730548105143,12.703318703865365,100.0,77.17410326004028
? at start of expression,? no começo da expressão?,? no início da expressão,"ZH_CN,RU",LLAMA,92.49233603477478,59.99833949625758,22.957488466614336,40.0,94.71635222434998
* at start of expression,no context provided for the original English phrase to be translated into Portuguese.,* no início da expressão,"ZH_CN,RU",LLAMA,43.27509105205536,10.923366283477982,2.8398387225677895,100.0,70.36144137382507
+ at start of expression,+ no começo da expressão,+ no início da expressão,"ZH_CN,RU",LLAMA,97.96246290206909,61.14250085999312,30.213753973567677,20.0,99.27661418914795
invalid content of \{\},conteúdo inválido em \{\},conteúdo inválido de \{\},"ZH_CN,RU",LLAMA,94.3484902381897,74.52819883934436,48.892302243490086,25.0,97.21487164497375
regular expression too big,expressão regular muito grande,expressão regular grande demais,"ZH_CN,RU",LLAMA,93.03708672523499,64.38143936124148,35.35533905932737,50.0,90.13787508010864
unbalanced (,não é correspondente (,( sem correspondente,"ZH_CN,RU",LLAMA,80.42522668838501,63.25219733926573,18.99589214128981,100.0,81.39455318450928
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,"ZH_CN,RU",LLAMA,95.92345356941223,70.03453092019379,55.03212081491043,33.33333333333333,94.74600553512573
unbalanced ),não é correspondente,) sem correspondente,"ZH_CN,RU",LLAMA,75.96567869186401,59.5717966673849,27.516060407455225,66.66666666666666,81.92615509033203
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ZH_CN,RU",LLAMA,94.79895234107971,63.385693111236584,21.02241038134286,50.0,90.22595882415771
memory exhausted,memória esgotada,memória esgotada,"ZH_CN,RU",LLAMA,99.05359148979187,100.0,100.00000000000004,0.0,100.00001192092896
`,«,“,"ZH_CN,RU",LLAMA,96.10572457313538,0.0,0.0,100.0,70.93611359596252
',»,”,"ZH_CN,RU",LLAMA,92.98120141029358,0.0,0.0,100.0,64.94231820106506
Success,Sucesso,Sucesso,"ZH_CN,RU",LLAMA,99.38356280326843,100.0,100.00000000000004,0.0,99.99996423721313
No match,não há concordância,Nenhuma ocorrência do padrão,"ZH_CN,RU",LLAMA,62.11962103843689,12.658293909614748,0.0,100.0,71.87027931213379
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,"ZH_CN,RU",LLAMA,89.82717394828796,96.92054450360952,59.460355750136046,33.33333333333333,93.7693178653717
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,"ZH_CN,RU",LLAMA,77.59578824043274,56.518576287262434,35.35533905932737,25.0,92.88955926895142
Invalid character class name,Nome de classe de caracteres inválido,Nome inválido de classe de caracteres,"ZH_CN,RU",LLAMA,96.42966389656067,82.20257958578314,56.234132519034915,16.666666666666664,92.83598065376282
Trailing backslash,barra oblíqua invertida exclusiva no final,Barra invertida no final,"ZH_CN,RU",LLAMA,63.41559886932373,60.9275967075668,17.965205598154213,50.0,85.16438603401184
Invalid back reference,referência de volta inválida,Retrorreferência inválida,"ZH_CN,RU",LLAMA,78.53943705558777,54.337397199649885,15.97357760615681,100.0,83.03282856941223
"Unmatched [, [^, [:, [., or [=",não foi possível obter estado (stat) do arquivo %s,"[, [^, [:, [. ou [= sem correspondente","ZH_CN,RU",LLAMA,39.87225294113159,7.601062282165412,0.0,100.0,62.20032572746277
Unmatched ( or \(,ou §( não associado,( ou \( sem correspondente,"ZH_CN,RU",LLAMA,63.362717628479004,10.958000471554188,10.400597689005304,80.0,75.37187337875366
Unmatched \{,{ não encontrado,\{ sem correspondente,"ZH_CN,RU",LLAMA,67.01691746711731,13.175385121027311,19.716118825581447,100.0,69.95025277137756
Invalid content of \{\},Contém conteúdo inválido em \{\},Conteúdo inválido no \{\},"ZH_CN,RU",LLAMA,85.8133852481842,64.87926036982459,36.55552228545123,50.0,86.61967515945435
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"ZH_CN,RU",LLAMA,98.16741943359375,100.0,100.00000000000004,0.0,100.0
Memory exhausted,Memória esgotada,Memória esgotada,"ZH_CN,RU",LLAMA,98.39257597923279,100.0,100.00000000000004,0.0,99.99997019767761
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,"ZH_CN,RU",LLAMA,96.6994047164917,67.732663489083,37.99178428257963,16.666666666666664,97.15375304222107
Premature end of regular expression,Fim prematuro de uma expressão regular,Fim prematuro da expressão regular,"ZH_CN,RU",LLAMA,93.18518042564392,82.00498401340222,22.957488466614336,40.0,95.65619230270386
Regular expression too big,expressão regular muito grande,Expressão regular grande demais,"ZH_CN,RU",LLAMA,84.5478355884552,54.56007938051353,18.99589214128981,50.0,83.08677673339844
Unmatched ) or \),caractere não associado ou ),) ou \) sem correspondente,"ZH_CN,RU",LLAMA,57.39390254020691,15.053484536518969,10.400597689005304,100.0,73.97862076759338
No previous regular expression,Não há expressões regulares anteriores.,Nenhuma expressão regular anterior,"ZH_CN,RU",LLAMA,82.29786157608032,39.26497673846913,0.0,100.0,77.90931463241577
setting permissions for %s,Defini as permissões para %s,definindo permissões de %s,"ZH_CN,RU",LLAMA,89.01591897010803,47.30644449890305,17.965205598154213,75.0,88.91410827636719
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
","ZH_CN,RU",LLAMA,97.31995463371277,100.0,100.00000000000004,0.0,100.0
