original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção: %s: nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,"RU,ES",LLAMA,46.92470064105599
can't determine current directory,não foi possível determinar qual é o diretório atual,não foi possível determinar o diretório atual,"RU,ES",LLAMA,43.167001068522545
can't set effective uid,não foi possível posicionar o proprietário efetivo (UID),não foi possível definir o uid efetivo,"RU,ES",LLAMA,17.747405280050266
"the setuid man user ""%s"" does not exist","o utilizador com privilégio setuid ""%s"" não existe","o usuário man setuid ""%s"" não existe","RU,ES",LLAMA,59.00468726392806
fatal: regex `%s': %s,erro fatal: expressão matemática `%s': %s,"fatal: regex ""%s"": %s","RU,ES",LLAMA,18.36028134946796
multi key %s does not exist,a chave múltipla %s não existe,a multichave %s não existe,"RU,ES",LLAMA,43.47208719449914
can't lock index cache %s,não foi possível verificar o cache de índices %s,não foi possível travar o cache de índice %s,"RU,ES",LLAMA,29.84745896009822
index cache %s corrupt,o cache de índices %s está danificado,o cache de índice %s está corrompido,"RU,ES",LLAMA,34.57207846419412
cannot replace key %s,não foi possível substituir a chave %s,não foi possível substituir a chave %s,"RU,ES",LLAMA,100.00000000000004
bad fetch on multi key %s,acesso inválido para chave múltipla %s,busca ruim na multichave %s,"RU,ES",LLAMA,13.134549472120788
Database %s corrupted; rebuild with mandb --create,"A base de dados %s está corrompida, reconstrua-lá com mandb --create.",Banco de dados %s corrompido; reconstrua-o com mandb --create,"RU,ES",LLAMA,25.712008025141323
"warning: %s has no version identifier
",aviso: %s não possui identificador de versão,"aviso: %s não possui identificador de versão
","RU,ES",LLAMA,100.00000000000004
"warning: %s is version %s, expecting %s
",atenção: %s tem versão %s ao invés de %s,"aviso: %s é versão %s, esperava-se %s
","RU,ES",LLAMA,21.97281387499715
fatal: unable to insert version identifier into %s,erro fatal: impossível inserir o identificador de versão no %s,fatal: não foi possível de inserir o identificador de versão em %s,"RU,ES",LLAMA,34.399309793662525
[MAN DATABASE],[BASE DE DONNÉES DE MAN],[BANDO-DE-DADOS MAN],"RU,ES",LLAMA,14.535768424205482
The man database defaults to %s%s.,A base de dados padrão é %s%s.,O banco de dados man tem como padrão %s%s.,"RU,ES",LLAMA,34.78635157752423
emit debugging messages,exibição de mensagens de depuração,emite mensagens de depuração,"RU,ES",LLAMA,39.76353643835252
can't open %s for reading,não foi possível abrir %s para leitura,não foi possível abrir %s para leitura,"RU,ES",LLAMA,100.00000000000004
[SECTION...],[SEÇÃO...],[SEÇÃO...],"RU,ES",LLAMA,100.00000000000004
PATH,CHEMIN,CAMINHO,"RU,ES",LLAMA,0.0
set search path for manual pages to PATH,configurar o caminho de pesquisa das páginas do manual para CHEMIN,define o caminho de pesquisa por páginas de manual com CAMINHO,"RU,ES",LLAMA,25.965358893403383
FILE,FICHERO,ARQUIVO,"RU,ES",LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário.,usa esse arquivo de configuração de usuário,"RU,ES",LLAMA,22.089591134157878
man command failed with exit status %d,a commande man falhou com %d como código de retorno,o comando man falhou com estado de saída %d,"RU,ES",LLAMA,18.36028134946796
NULL content for key: %s,conteúdo vazio (NULL) para a chave : %s,conteúdo NULL para a chave: %s,"RU,ES",LLAMA,49.616830003403614
"
Updating cat files for section %s of man hierarchy %s
",Atualização dos arquivos préformatados para a seção %s da hierarquia de localizadores do sistema operacional GNU/Linux.,"
Atualizando arquivos cat para seção %s da hierarquia man %s
","RU,ES",LLAMA,19.49624907951977
cannot write within %s,não foi possível escrever no %s,não foi possível escrever dentro de %s,"RU,ES",LLAMA,42.38365628278778
