original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,"DE,ZH_CN",LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para a criação de um valor para esta marca!,Não há suporte à definição de um valor para esta etiqueta!,"DE,ZH_CN",LLAMA,39.832871551569504
"Too few components specified (need %d, found %d)
","Chamado para indicar que o número de componentes especificados é insuficiente (%d necessários, %d identificados)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","DE,ZH_CN",LLAMA,7.535838128770536
"Numeric value expected
",É necessário um valor numérico,"Valor numérico esperado
","DE,ZH_CN",LLAMA,10.682175159905848
Internal error. Please contact <%s>.,"Erro interno. Por favor, entre em contato com <%s>.","Erro interno. Por favor, contate <%s>.","DE,ZH_CN",LLAMA,57.02822264405544
Not yet implemented!,Não foi possível concluir a operação!,Não implementado ainda!,"DE,ZH_CN",LLAMA,7.809849842300637
Warning; Too many components specified!,Aviso: Informação insuficiente sobre os componentes!,Aviso; Especificados componentes demais!,"DE,ZH_CN",LLAMA,7.267884212102741
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Existe muito dado EXIF (%i byte). O máximo permitido é %i byte.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"DE,ZH_CN",LLAMA,12.512236921161914
Could not write '%s' (%s).,Não foi possível escrever '%s' (%s).,"Não foi possível escrever ""%s"" (%s).","DE,ZH_CN",LLAMA,50.16513759455242
Wrote file '%s'.,Foi feito treinamento no arquivo '%s'.,"Escrever arquivo ""%s"".","DE,ZH_CN",LLAMA,6.27465531099474
EXIF entry '%s' ,Mục tin EXIF »%s« ,"Entrada EXIF ""%s""","DE,ZH_CN",LLAMA,9.652434877402245
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","DE,ZH_CN",LLAMA,43.44371253135793
"exists in IFD '%s':
",existiu no IFD »%s«:,"existe em IFD ""%s"":
","DE,ZH_CN",LLAMA,7.492442692259767
Adding entry...,Adiciona módulos...,Adicionando entrada...,"DE,ZH_CN",LLAMA,39.76353643835252
IFD '%s' does not contain a tag '%s'!,"IFD ""%s"" não contém nenhuma marcação de '%s'!","IFD ""%s"" não contém uma etiqueta ""%s""!","DE,ZH_CN",LLAMA,46.0462862587273
Could not open '%s' (%s)!,Não foi possível abrir o arquivo %s (%s)!,"Não foi possível abrir ""%s"" (%s)!","DE,ZH_CN",LLAMA,52.664038784792666
Could not determine size of '%s' (%s).,Não foi possível determinar o tamanho do arquivo %s (%s).,"Não foi possível determinar o tamanho de ""%s"" (%s).","DE,ZH_CN",LLAMA,57.11023016171072
Could not read '%s' (%s).,Não foi possível ler o arquivo %s (%s).,"Não foi possível ler ""%s"" (%s)!","DE,ZH_CN",LLAMA,42.50281413416977
IFD '%s' does not contain tag '%s'.,IFD »%s« não contém a marcação '%s'.,"IFD ""%s"" não contém uma etiqueta ""%s"".","DE,ZH_CN",LLAMA,7.545339613823573
'%s' does not contain tag '%s'.,O arquivo '%s' não contém a marcação de 'DE'.,"""%s"" não contém uma etiqueta ""%s""!","DE,ZH_CN",LLAMA,6.8962421077164695
'%s' does not contain a thumbnail!,"Se não houver imagens de exemplo em ""%s"", aviso!","IFD ""%s"" não contém uma miniatura!","DE,ZH_CN",LLAMA,19.67497981115564
Could not open '%s' for writing (%s)!,Não foi possível abrir o arquivo %s para escrever (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!","DE,ZH_CN",LLAMA,45.788313721339826
EXIF tags in '%s':,Thêm EXIF trong »%s«:,"Etiquetas EXIF em ""%s"":","DE,ZH_CN",LLAMA,7.492442692259767
"Unknown format or nonexistent MakerNote.
",Não há informações sobre o formato ou não há anotação do fabricante.,"Formato desconhecido ou MakerNote inexistente.
","DE,ZH_CN",LLAMA,3.673526562988939
"MakerNote does not contain any value.
",MakerNote não contém valor.,"MakerNote não contém qualquer valor.
","DE,ZH_CN",LLAMA,40.93653765389909
Unknown Tag,Marcação desconhecida,Etiqueta desconhecida,"DE,ZH_CN",LLAMA,49.99999999999999
Unknown value,Valor desconhecido,Valor desconhecido,"DE,ZH_CN",LLAMA,100.00000000000004
EXIF tags in '%s' ('%s' byte order):,Thẻ EXIF trong »%s« (thứ tự byte %d):,"Tags EXIF em ""%s"" (ordem de ""%s"" byte):","DE,ZH_CN",LLAMA,6.270144942040139
Tag,marcação,Etiqueta,"DE,ZH_CN",LLAMA,0.0
Value,Valor,Valor,"DE,ZH_CN",LLAMA,100.00000000000004
EXIF data contains a thumbnail (%i bytes).,Os dados EXIF contêm uma imagem de referência (%i bytes).,Dados EXIF contêm uma miniatura (%i bytes).,"DE,ZH_CN",LLAMA,44.534504264163466
"ThumbnailSize	%i
","Tamanho da miniatura do arquivo %i
","TamanhoMiniatura	%i
","DE,ZH_CN",LLAMA,13.134549472120788
Display software version,Hipervisor de software em análise,Exiba a versão do software,"DE,ZH_CN",LLAMA,10.682175159905848
Show IDs instead of tag names,Exibir código de identificação em vez do nome da marca no lugar.,Mostra IDs em vez de nomes de etiquetas,"DE,ZH_CN",LLAMA,6.837203339116283
Select tag,Escolha a marcação,Seleciona uma etiqeuta,"DE,ZH_CN",LLAMA,0.0
tag,etiqueta,etiqueta,"DE,ZH_CN",LLAMA,100.00000000000004
Select IFD,Escolha IFD,Seleciona IFD,"DE,ZH_CN",LLAMA,49.99999999999999
IFD,IFD,IFD,"DE,ZH_CN",LLAMA,100.00000000000004
List all EXIF tags,Listagem de todas as marcas EXIF disponíveis.,Lista todas as etiquetas EXIF,"DE,ZH_CN",LLAMA,12.22307556087252
Show contents of tag MakerNote,Contenido da nota do fabricante mostrar,Mostra conteúdos ,"DE,ZH_CN",LLAMA,0.0
Remove tag or ifd,Remover marcação ou IFD.,Remove etiqueta ou ifd,"DE,ZH_CN",LLAMA,10.682175159905848
Show description of tag,Descrição da marca atual do sinal.,Mostra descrição de etiqueta,"DE,ZH_CN",LLAMA,0.0
Extract thumbnail,Truncated image preview,Extrai miniatura,"DE,ZH_CN",LLAMA,0.0
Remove thumbnail,Remover a miniatura do álbum,Remove miniatura,"DE,ZH_CN",LLAMA,10.682175159905848
Insert FILE as thumbnail,Colar a imagem de exemplo na pasta,Insere ARQUIVO como miniatura,"DE,ZH_CN",LLAMA,0.0
FILE,TARDE TIN,ARQUIVO,"DE,ZH_CN",LLAMA,0.0
Do not fix existing tags in files,Não corrija alterações já existentes no arquivo,Não fixa etiquetas existentes em arquivos,"DE,ZH_CN",LLAMA,7.809849842300637
Write data to FILE,Ghi dữ liệu vào TẬP TIN,Escreve dados para ARQUIVO,"DE,ZH_CN",LLAMA,0.0
Value of tag,Valor da marcação do botão,Valor de uma etiqueta,"DE,ZH_CN",LLAMA,10.682175159905848
STRING,CHUỖI,STRING,"DE,ZH_CN",LLAMA,0.0
Create EXIF data if not existing,"Se não tiver EXIF dados, crie eles.","Cria dados EXIF, se não existentes","DE,ZH_CN",LLAMA,6.742555929751843
Output in a machine-readable (tab delimited) format,Xuất ra một định dạng cho máy đọc được (định giới bằng khoảng tab),"Saída em um formato legível por máquina (delimitado por ""tab"")","DE,ZH_CN",LLAMA,3.21858262703621
Width of output,Chiêu róng kết xuất,Largura da saída,"DE,ZH_CN",LLAMA,0.0
WIDTH,largura do rio,LARGURA,"DE,ZH_CN",LLAMA,0.0
Output in a XML format,Saída em formato XML,Saída em um formato XML,"DE,ZH_CN",LLAMA,35.1862973998119
Show debugging messages,Atualização de mensagens do erro,Mostra mensagens de depuração,"DE,ZH_CN",LLAMA,12.703318703865365
Help options:,Escolha a opção de ajuda:,Opções de ajuda:,"DE,ZH_CN",LLAMA,30.213753973567677
Show this help message,Olá! Estou aqui para ajudar.,Mostra esta mensagem de ajuda,"DE,ZH_CN",LLAMA,0.0
Display brief usage message,Aviso curto de assistência necessária,Exibe uma breve mensagem de uso,"DE,ZH_CN",LLAMA,8.745825313180626
[OPTION...] file,[TÙY_CHỌN...] tập_tin,[OPÇÃO...] arquivo,"DE,ZH_CN",LLAMA,24.808415001701817
"Invalid IFD '%s'. Valid IFDs are '0', '1', 'EXIF', 'GPS', and 'Interoperability'.","Se o IFD for inválido '%s'. Os IFD válidos são: '0', '1', 'EXIF', 'GPS' e 'Tiossintonia (Interoperability)'.","IFD inválido ""%s"". IFDs válidos são ""0"", ""1"", ""EXIF"", ""GPS"" e ""Interoperability"".","DE,ZH_CN",LLAMA,3.8917325995787935
Invalid tag '%s'!,Markagem não aceita o símbolo '%s'!,"Etiqueta inválida ""%s""!","DE,ZH_CN",LLAMA,5.669791110976001
You need to specify a tag!,Você precisa marcar uma etiqueta!,Você precisa especificar uma etiqueta!,"DE,ZH_CN",LLAMA,37.99178428257963
You need to specify an IFD!,É necessário que você indique um IFD!,Você precisa especificar um IFD!,"DE,ZH_CN",LLAMA,20.556680845025987
Tag '%s' ,Marcação »%s« ,"Tag ""%s""","DE,ZH_CN",LLAMA,12.44023474812678
"(0x%04x, '%s'): ","(0x%04x, '%s'): ","(0x%04x, ""%s""): ","DE,ZH_CN",LLAMA,42.2683921634124
Specify input file or --create-exif,"Digite o nome do arquivo de entrada ou --create-exif para criar um EXIF
",Especifique um arquivo de entrada ou --create-exif,"DE,ZH_CN",LLAMA,30.26643726685862
'%s' is not readable or does not contain EXIF data!,%s não pode ser lido ou não contém dados EXIF!,"""%s"" não é legível ou não contém dados EXIF!","DE,ZH_CN",LLAMA,44.462966469165124
XML format is not available for Maker Notes,O XML não é utilizado para o Markdown Notes.,Formato XML não está disponível para Maker Notes,"DE,ZH_CN",LLAMA,9.980099403873663
