original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
(dir),(катал),(dir),"RU,VI",LLAMA,81.248539686203,12.493690055527512,34.66806371753173,100.0,72.03052043914795
(parent dir),(род. кат.),(dir acima),"RU,VI",LLAMA,61.37152910232544,5.624999999999999,9.652434877402245,100.0,63.45964074134827
(huge),(mais),gigante,"RU,VI",LLAMA,64.10375237464905,4.201680672268907,0.0,100.0,72.9986310005188
Search Wrapped,Pesquisa em andamento desde o começo,Pesquisa recomeçou,"RU,VI",LLAMA,67.50314235687256,43.210123584355514,8.116697886877475,100.0,80.75312376022339
This is the only occurrence,Este é o único acaso coincidente.,Esta é a única ocorrência,"RU,VI",LLAMA,73.18339943885803,20.7935958219697,6.567274736060395,100.0,77.86216735839844
Search,Pesquisar,Pesquisa,"RU,VI",LLAMA,86.88403964042664,82.4341755492997,0.0,100.0,95.40709257125854
 [Backwards],Voltar, [Retroceder],"RU,VI",LLAMA,50.77241659164429,3.9682539682539675,0.0,100.0,74.6791660785675
Cancelled,Отменено,Cancelado,"RU,VI",LLAMA,88.23511004447937,0.0,0.0,100.0,83.62113237380981
No current search pattern,Não há motivo para buscar.,Nenhum padrão de pesquisa atualmente,"RU,VI",LLAMA,67.10259318351746,6.695422781716584,0.0,100.0,75.15206933021545
Cannot open directory: %s,Не foi possível abrir o diretório %s,Não foi possível abrir o diretório: %s,"RU,VI",LLAMA,93.69226694107056,79.67926334337265,52.47357977607325,28.57142857142857,92.13584065437317
Go To Directory,no_directory_found,Ir para o diretório,"RU,VI",LLAMA,42.75377690792084,12.801942336896454,0.0,100.0,63.1649374961853
Can't go outside of %s,Não é possível sair do %s,Não é possível sair de %s,"RU,VI",LLAMA,89.42485451698303,82.97386388766033,48.892302243490086,16.666666666666664,98.24702143669128
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,"RU,VI",LLAMA,71.6038167476654,61.19498964985024,32.46679154750991,33.33333333333333,92.10647344589233
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,"RU,VI",LLAMA,88.53557705879211,42.75418891309098,54.10822690539397,40.0,90.97763895988464
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,"RU,VI",LLAMA,88.44119906425476,67.68269130102334,32.46679154750991,40.0,85.72518825531006
Unknown syntax name: %s,Nome desconhecido do sintaxe: %s,Nome de sintaxe desconhecido: %s,"RU,VI",LLAMA,94.71059441566467,70.03229570349133,29.071536848410968,60.0,93.80616545677185
magic_load() failed: %s,Erro ao carregar o magic_load(): %s,magic_load() falhou: %s,"RU,VI",LLAMA,81.76313638687134,49.810013720184664,42.40125351805035,100.0,85.55804491043091
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,"RU,VI",LLAMA,81.07072710990906,56.99737857489574,63.40466277046863,100.0,88.99827003479004
Nothing was cut,Não há nada cortado.,Nada foi cortado,"RU,VI",LLAMA,88.3329451084137,37.76422424756535,10.682175159905848,100.0,82.54231810569763
Copied nothing,Nenhum arquivo foi copiado.,Nada foi copiado,"RU,VI",LLAMA,78.11524271965027,55.31210770267626,21.3643503198117,100.0,79.88747954368591
Cutbuffer is empty,O buffer de troca está vazio.,buffer-de-transferência está vazio,"RU,VI",LLAMA,76.56002044677734,45.30400136747748,13.134549472120788,100.0,82.25880861282349
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,"RU,VI",LLAMA,89.02061581611633,48.417391405729404,41.06517147271933,33.33333333333333,90.07803201675415
Couldn't determine my identity for lock file,não foi possível determinar o arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,"RU,VI",LLAMA,76.91057324409485,33.51666576406931,10.552670315936318,88.88888888888889,77.24974751472473
Couldn't determine hostname: %s,Не foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,"RU,VI",LLAMA,65.63825607299805,37.700498082135866,15.851165692617148,85.71428571428571,83.55672359466553
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,"RU,VI",LLAMA,87.71825432777405,41.56351812727177,36.029870008455966,55.55555555555556,86.19994521141052
Someone else is also editing this file,Alguém mais está atualmente editando esse arquivo,Outra pessoa também está editando esse arquivo,"RU,VI",LLAMA,87.9191517829895,51.20495299360991,26.269098944241588,57.14285714285714,88.86046409606934
Error opening lock file %s: %s,Erro ao abrir o arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,"RU,VI",LLAMA,90.10031819343567,69.55729400028184,64.07117598241614,22.22222222222222,93.42965483665466
Bad lock file is ignored: %s,Arquivo bloqueável ruim ignorado: %s,Arquivo de trava inválido é ignorado: %s,"RU,VI",LLAMA,72.07315564155579,45.85126389767745,32.66828640925501,57.14285714285714,87.2249186038971
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s está sendo editado pelo usuário %s (com a ferramenta %s, PID %s); ainda assim, abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?","RU,VI",LLAMA,83.54140520095825,52.17192441075981,31.823566221963034,76.92307692307693,85.62989830970764
Directory '%s' does not exist,"Categoria ""%s"" não existe","O diretório ""%s"" não existe","RU,VI",LLAMA,85.76485514640808,58.32390427305816,70.1396726799769,40.0,86.40224933624268
Path '%s': %s,"Pedido de caminho para o diretório '\u0428s' com base no código '%d'. Para obter mais informações, tente executar '\u041e --help'.","Caminho ""%s"": %s","RU,VI",LLAMA,45.127707719802856,9.440654886413258,1.286713095960916,100.0,66.58306121826172
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório","RU,VI",LLAMA,96.9670832157135,100.0,100.00000000000004,0.0,100.00002384185791
Path '%s' is not accessible,Pedido de caminho inválido.,"O caminho ""%s"" não é acessível","RU,VI",LLAMA,52.127230167388916,19.72048698777348,4.79981069911921,100.0,69.50212121009827
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável","RU,VI",LLAMA,63.347941637039185,34.33753343344561,35.08439695638686,100.0,82.63711929321289
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,"RU,VI",LLAMA,67.74148344993591,46.78738002901647,10.127993013562818,55.55555555555556,83.20690989494324
"""%s"" is a directory","Arquivo ""%s"" é um diretório.","""%s"" é um diretório","RU,VI",LLAMA,84.0786874294281,89.95729071087541,72.59795291154772,50.0,90.27185440063477
"""%s"" is a device file","Arquivo ""%s"" é um arquivo de dispositivo.","""%s"" é um arquivo dispositivo","RU,VI",LLAMA,95.14729976654053,83.71914241308961,59.00468726392806,60.0,89.5531952381134
"""%s"" is a FIFO","Arquivo ""%s"" é um FIFO","""%s"" é um FIFO","RU,VI",LLAMA,84.05999541282654,88.71580113923994,84.08964152537145,25.0,93.28896999359131
%s is meant to be read-only,%s considerado como acessível apenas para leitura,%s tem a intenção de ser somente leitura,"RU,VI",LLAMA,75.16201734542847,24.839376427473297,10.786826322527466,75.0,79.61611747741699
New Buffer,novo buffer,Novo buffer,"RU,VI",LLAMA,94.42314505577087,70.6795634920635,49.99999999999999,0.0,92.59878396987915
DOS,DOS,DOS,"RU,VI",LLAMA,99.14366602897644,100.0,100.00000000000004,0.0,100.00001192092896
