original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção: %s: nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,"RU,DE",LLAMA,46.92470064105599
can't determine current directory,não foi possível determinar qual é o diretório atual,não foi possível determinar o diretório atual,"RU,DE",LLAMA,43.167001068522545
can't set effective uid,não foi possível posicionar o proprietário efetivo (UID) baseado no seu contexto atual.,não foi possível definir o uid efetivo,"RU,DE",LLAMA,10.343603005129705
"the setuid man user ""%s"" does not exist","o utilizador com privilégio setuid ""%s"" não existe","o usuário man setuid ""%s"" não existe","RU,DE",LLAMA,59.00468726392806
fatal: regex `%s': %s,"erro fatal: expressão matemática ""%s"": %s","fatal: regex ""%s"": %s","RU,DE",LLAMA,57.067457770559976
multi key %s does not exist,a chave múltipla %s não existe,a multichave %s não existe,"RU,DE",LLAMA,43.47208719449914
can't lock index cache %s,não foi possível verificar o cache de índice %s,não foi possível travar o cache de índice %s,"RU,DE",LLAMA,65.80370064762461
index cache %s corrupt,o cache de índice %s está danificado,o cache de índice %s está corrompido,"RU,DE",LLAMA,84.08964152537145
cannot replace key %s,não foi possível substituir a chave %s,não foi possível substituir a chave %s,"RU,DE",LLAMA,100.00000000000004
bad fetch on multi key %s,acesso inválido para chave múltipla %s,busca ruim na multichave %s,"RU,DE",LLAMA,13.134549472120788
Database %s corrupted; rebuild with mandb --create,"A base de dados %s está corrompida, reconstrua-lá com mandb --create.",Banco de dados %s corrompido; reconstrua-o com mandb --create,"RU,DE",LLAMA,25.712008025141323
"warning: %s has no version identifier
",Préstacão: %s não possui identificador de versão,"aviso: %s não possui identificador de versão
","RU,DE",LLAMA,86.33400213704509
"warning: %s is version %s, expecting %s
",Préstacão: %s tem versão %s ao invés de %s,"aviso: %s é versão %s, esperava-se %s
","RU,DE",LLAMA,21.97281387499715
fatal: unable to insert version identifier into %s,erro fatal: impossível inserir o identificador de versão no campo %s,fatal: não foi possível de inserir o identificador de versão em %s,"RU,DE",LLAMA,34.32413993263389
[MAN DATABASE],[BASE DE DONNÉES MAN],[BANDO-DE-DADOS MAN],"RU,DE",LLAMA,17.965205598154213
The man database defaults to %s%s.,A base de dados padrão é %s%s.,O banco de dados man tem como padrão %s%s.,"RU,DE",LLAMA,34.78635157752423
emit debugging messages,exibição de mensagens de depuração,emite mensagens de depuração,"RU,DE",LLAMA,39.76353643835252
can't open %s for reading,não foi possível abrir %s em modo de leitura,não foi possível abrir %s para leitura,"RU,DE",LLAMA,53.7284965911771
[SECTION...],[SEÇÃO...],[SEÇÃO...],"RU,DE",LLAMA,100.00000000000004
PATH,CHEMIN,CAMINHO,"RU,DE",LLAMA,0.0
set search path for manual pages to PATH,configurar o caminho de pesquisa para as páginas do manual em CHEMIN,define o caminho de pesquisa por páginas de manual com CAMINHO,"RU,DE",LLAMA,23.462350320527996
FILE,FICHERIO,ARQUIVO,"RU,DE",LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário.,usa esse arquivo de configuração de usuário,"RU,DE",LLAMA,22.089591134157878
man command failed with exit status %d,Comando 'man' falhou com %d como código de retorno.,o comando man falhou com estado de saída %d,"RU,DE",LLAMA,11.208466750961147
NULL content for key: %s,conteúdo do campo %s: NULL,conteúdo NULL para a chave: %s,"RU,DE",LLAMA,14.31720073264775
"
Updating cat files for section %s of man hierarchy %s
",Atualização dos arquivos préformados para a seção %s da documentação do sistema operacional.,"
Atualizando arquivos cat para seção %s da hierarquia man %s
","RU,DE",LLAMA,18.20705281109213
cannot write within %s,não foi possível escrever no %s,não foi possível escrever dentro de %s,"RU,DE",LLAMA,42.38365628278778
cannot read database %s,não foi possível ler a base de dados %s,não foi possível ler o banco de dados %s,"RU,DE",LLAMA,52.53819788848316
unable to update %s,não foi possível atualizar %s,não foi possível de atualizar %s,"RU,DE",LLAMA,43.01250851313264
warning: %s/man%s/%s.%s*: competing extensions,Pré-aviso: %s/man%s/%s.%s*: extensões em conflito,aviso: %s/man%s/%s.%s*: extensões conflitantes,"RU,DE",LLAMA,82.77932960330115
can't update index cache %s,não foi possível atualizar o cache de indexação %s,não foi possível atualizar cache de índice %s,"RU,DE",LLAMA,35.494810560100525
warning: %s: bad symlink or ROFF `.so' request,Pré-aviso: %s: referência simbólica ou diretiva ROFF incorreta para o símbolo de lixeira '.'so'.,"aviso: %s: link simbólico ruim ou requisição "".so"" ROFF","RU,DE",LLAMA,13.785929931830408
warning: %s: ignoring empty file,Atenção: %s: arquivo vazio ignorado,aviso: %s: ignorando arquivo vazio,"RU,DE",LLAMA,41.11336169005198
warning: %s: whatis parse for %s(%s) failed,atenção: %s: análise do whatis em %s(%s) falhou,aviso: %s: análise por whatis para %s(%s) falhou,"RU,DE",LLAMA,61.47881529512643
can't search directory %s,não foi possível encontrar o diretório %s,não foi possível pesquisar no diretório %s,"RU,DE",LLAMA,34.57207846419412
can't chown %s,não foi possível alterar o proprietário de %s,não foi possível fazer chown em %s,"RU,DE",LLAMA,22.31618068926665
warning: cannot create catdir %s,préstabeza: não foi possível criar o diretório de páginas préformatas %s,aviso: não foi possível criar o catdir %s,"RU,DE",LLAMA,42.803206067505954
can't chmod %s,não foi possível alterar os direitos de %s,não foi possível fazer chmod em %s,"RU,DE",LLAMA,22.31618068926665
can't change to directory %s,não foi possível ir para o diretório %s,não foi possível mudar para o diretório %s,"RU,DE",LLAMA,59.694917920196445
can't create index cache %s,não foi possível criar o cache de índice %s,não foi possível criar cache de índice %s,"RU,DE",LLAMA,65.80370064762461
Updating index cache for path `%s/%s'. Wait...,Atualização do cache de indexação para o caminho `%s/%s'. Aguarde...,"Atualizando o cache de índice para o caminho ""%s/%s"". Aguarde...","RU,DE",LLAMA,38.48963373212608
"done.
",terminado.,"feito.
","RU,DE",LLAMA,49.99999999999999
"Purging old database entries in %s...
","Efetivar as entradas desnecessárias da %s em curso...
","Descartando entradas antigas de banco de dados em %s...
","RU,DE",LLAMA,15.8636093934526
warning: failed to store entry for %s(%s),Pré-aviso: não foi possível armazenar a entrada para %s(%s),aviso: falha ao armazenar entradas para %s(%s),"RU,DE",LLAMA,42.61082723917019
PATH SECTION NAME,Caminho da Seção Nome,CAMINHO SEÇÃO NOME,"RU,DE",LLAMA,0.0
EXTENSION,EXTENSION,EXTENSÃO,"RU,DE",LLAMA,0.0
limit search to extension type EXTENSION,limite a pesquisa apenas à extensões EXTENSION,limita a pesquisa ao tipo de extensão EXTENSÃO,"RU,DE",LLAMA,11.386050660556927
look for pages case-insensitively (default),pesquisar as páginas sem distinguir maiúsculas das minúsculas (padrão),procura por páginas sem diferenciar maiúsculo de minúsculo (padrão),"RU,DE",LLAMA,17.542198478193427
look for pages case-sensitively,realizar busca das páginas distinguindo maiúsculas e minúsculas,procura por páginas diferenciando maiúsculo de minúsculo,"RU,DE",LLAMA,5.522397783539471
interpret page name as a regex,considere o nome da página como uma expressão regular,interpreta o nome da páginas como uma expressão regular,"RU,DE",LLAMA,43.167001068522545
the page name contains wildcards,o nome da página contém caracteres de jogo,o nome da página contém caracteres curingas,"RU,DE",LLAMA,68.037493331712
can't open %s,não foi possível abrir %s,não foi possível abrir %s,"RU,DE",LLAMA,100.00000000000004
FILE...,FICHIER...,ARQUIVO...,"RU,DE",LLAMA,59.460355750136046
The defaults are --man and --whatis.,As opções padrão são --man e --whatis.,Os padrões são --man e --whatis.,"RU,DE",LLAMA,51.697315395717055
parse as man page,ler os arquivos como páginas de manual do manuais,analisa como uma página man,"RU,DE",LLAMA,4.767707020457095
parse as cat page,lida os arquivos como páginas préformatadas,analisa como uma página cat,"RU,DE",LLAMA,8.116697886877475
show whatis information,exibir informações como whatis,mostra informação whatis,"RU,DE",LLAMA,15.97357760615681
show guessed series of preprocessing filters,exibir a lista suposta de filtros de pré-processamento,mostra séries adivinhadas de filtros de pré-processamento,"RU,DE",LLAMA,34.57207846419409
ENCODING,ENCODAGE,CODIFICAÇÃO,"RU,DE",LLAMA,0.0
use selected output encoding,utilize a codificação de exibição escolhida,usa a codificação de saída selecionada,"RU,DE",LLAMA,30.213753973567677
%s: incompatible options,%s: opções incompatíveis,%s: opções incompatíveis,"RU,DE",LLAMA,100.00000000000004
command exited with status %d: %s,comando concluído com código de retorno %d: %s,o comando saiu com status %d: %s,"RU,DE",LLAMA,38.16330911371339
[SECTION] PAGE...,[СЕКЦИА] Página...,[SEÇÃO] PÁGINA...,"RU,DE",LLAMA,27.77619034011791
reset all options to their default values,reinicializa as opções para seus valores padrão,redefine todas opções para seus valores padrão,"RU,DE",LLAMA,61.47881529512643
WARNINGS,AVISO(S),AVISOS,"RU,DE",LLAMA,0.0
enable warnings from groff,ativar alertas de groff,habilita avisos do groff,"RU,DE",LLAMA,15.97357760615681
Main modes of operation:,Modos operacionais principais:,Modos principais de operação:,"RU,DE",LLAMA,16.37226966703825
equivalent to whatis,equivalente a whatis,equivalente a whatis,"RU,DE",LLAMA,100.00000000000004
equivalent to apropos,equivalente a aproximadamente,equivalente a apropos,"RU,DE",LLAMA,55.03212081491043
search for text in all pages,busque o texto em todas as páginas,pesquisa pelo texto em todas as páginas,"RU,DE",LLAMA,61.47881529512643
print physical location of man page(s),exibir o local das páginas do manual,emite localização física da(s) página(s) man,"RU,DE",LLAMA,0.0
print physical location of cat file(s),exibir o local físico dos arquivos cat,emite localização física do(s) arquivo(s) cat,"RU,DE",LLAMA,3.2149545730574576
interpret PAGE argument(s) as local filename(s),interpretar o argumento PAGE como um nome de arquivo,interpreta argumento(s) PÁGINA como nome(s) de arquivo(s) local(is),"RU,DE",LLAMA,3.5319959007203203
used by catman to reformat out of date cat pages,utilizado por catman para reformatar as páginas muito antigas,usado por catman para reformatar páginas cat desatualizadas,"RU,DE",LLAMA,31.55984539112946
output source page encoded in ENCODING,exibir a fonte do código convertida em ENCODAGE,emite a página fonte codificada em CODIFICAÇÃO,"RU,DE",LLAMA,7.267884212102741
Finding manual pages:,Pesquisa de páginas do manual:,Localizando as páginas de manual:,"RU,DE",LLAMA,19.304869754804482
LOCALE,LOCALE,LOCALIDADE,"RU,DE",LLAMA,0.0
define the locale for this particular man search,defina a localização para esta pesquisa de manual,define a localidade para esta pesquisa de man em particular,"RU,DE",LLAMA,28.46946938149361
SYSTEM,Sistema,SISTEMA,"RU,DE",LLAMA,0.0
use manual pages from other systems,utilize as páginas de manual dos outros sistemas,usa páginas de manual para outros sistemas,"RU,DE",LLAMA,25.848657697858535
LIST,LISTA,LISTA,"RU,DE",LLAMA,100.00000000000004
use colon separated section list,utilize a lista de seções separadas por dois pontos,usa lista de seções separada por dois-pontos,"RU,DE",LLAMA,19.070828081828378
