original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Imprimir a versão do GStreamer,Exibe a versão do GStreamer,"DE,ES",LLAMA,66.87403049764218
Make all warnings fatal,Tratamento das advertências como erros,Trata todos avisos como fatais,"DE,ES",LLAMA,10.682175159905848
Print available debug categories and exit,Categorias de diagnóstico de erros disponíveis e término do programa.,Exibe as categorias de depuração disponíveis e sair,"DE,ES",LLAMA,8.29519350710986
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,"Nível de diagnóstico predeterminado para erros desde a escala 1 (somente falhas) até 9 (tudo permitido), ou 0 sem saída",Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"DE,ES",LLAMA,20.18515981688661
LEVEL,estagio,NÍVEL,"DE,ES",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de pares 'Categoria_Nome':nível separados por vírgulas para atribuir níveis específicos às categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","DE,ES",LLAMA,56.61010770661687
LIST,LISTA,LISTA,"DE,ES",LLAMA,100.00000000000004
Disable colored debugging output,Desactivar a exibição de erros coloridos.,Desabilita saída de depuração colorida,"DE,ES",LLAMA,6.567274736060395
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Cambie o modo de cor do protocolo de diagnóstico de erros. Modos possíveis: off (ausente), on (ativo), disable (desligado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","DE,ES",LLAMA,47.87493375533728
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,"DE,ES",LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de Dois pontos, separados por espaços, acessar os plugins","Caminhos, separados por dois-pontos, de plug-ins","DE,ES",LLAMA,13.065113298388567
PATHS,PFADE,CAMINHOS,"DE,ES",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista de plugins separados por vírgula, além dos presentes na variável de ambiente GST_PLUGIN_PATH.","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","DE,ES",LLAMA,38.60080841767298
