original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,%s argumento para %s inválido,argumento inválido para %s: %s,"ID,ZH_CN",LLAMA,28.98580955281284
ambiguous argument %s for %s,%s argumento para %s ambíguo,argumento ambíguo %s para %s,"ID,ZH_CN",LLAMA,33.437015248821105
Valid arguments are:,Argumentos válidos incluem:,Argumentos válidos são:,"ID,ZH_CN",LLAMA,35.35533905932737
regular empty file,arquivo regular vazio,arquivo comum vazio,"ID,ZH_CN",LLAMA,34.66806371753173
regular file,arquivo regular,arquivo comum,"ID,ZH_CN",LLAMA,49.99999999999999
directory,diretório,diretório,"ID,ZH_CN",LLAMA,100.00000000000004
symbolic link,simbolo tautológico,link simbólico,"ID,ZH_CN",LLAMA,0.0
message queue,fila de mensagens do antrãni,fila de mensagem,"ID,ZH_CN",LLAMA,21.3643503198117
semaphore,semafor,semáforo,"ID,ZH_CN",LLAMA,0.0
shared memory object,objeto de memória compartilhada,objeto em memória compartilhada,"ID,ZH_CN",LLAMA,35.35533905932737
typed memory object,Tipo de objeto em memória,objeto de memória tipificada,"ID,ZH_CN",LLAMA,14.058533129758727
block special file,arquivo especial de bloco,arquivo especial de bloco,"ID,ZH_CN",LLAMA,100.00000000000004
character special file,arquivo de caracteres especiais,arquivo especial de caractere,"ID,ZH_CN",LLAMA,18.99589214128981
contiguous data,dados em sequência,dados contíguos,"ID,ZH_CN",LLAMA,27.516060407455225
fifo,FIFO,fifo,"ID,ZH_CN",LLAMA,0.0
door,porta,porta,"ID,ZH_CN",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de arquivo com múltiplas referências,arquivo multiplexado especial de bloco,"ID,ZH_CN",LLAMA,15.619699684601283
multiplexed character special file,arquivo especial de caracteres especiais com múltiplas letras,arquivo multiplexado especial de caractere,"ID,ZH_CN",LLAMA,12.22307556087252
multiplexed file,arquivo com múltiplas chaves (berkas ter-multipleks),arquivo multiplexado,"ID,ZH_CN",LLAMA,5.522397783539471
named file,arquivo de nome (nome do arquivo),arquivo nomeado,"ID,ZH_CN",LLAMA,5.522397783539471
network special file,arquivo especial de rede,arquivo especial de rede,"ID,ZH_CN",LLAMA,100.00000000000004
migrated file with data,arquivo de migração com dados,arquivo migrado com dados,"ID,ZH_CN",LLAMA,23.643540225079384
migrated file without data,ficheiro de terminação sem dados,arquivo migrado sem dados,"ID,ZH_CN",LLAMA,21.3643503198117
port,porta de rede,porta,"ID,ZH_CN",LLAMA,27.516060407455225
socket,soquete,soquete,"ID,ZH_CN",LLAMA,100.00000000000004
