original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,"FR,ES",LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"FR,ES",LLAMA,50.81327481546149
unbalanced [,não é compatível,[ sem correspondente,"FR,ES",LLAMA,0.0
invalid character class,classe de caractere inválida,classe de caracteres inválida,"FR,ES",LLAMA,35.35533905932737
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","FR,ES",LLAMA,72.00242075875518
unfinished \ escape,"sequência de escape 
 não concluída",escape \ não terminado,"FR,ES",LLAMA,12.703318703865365
? at start of expression,? no começo da expressão,? no início da expressão,"FR,ES",LLAMA,30.213753973567677
* at start of expression,no começo da expressão,* no início da expressão,"FR,ES",LLAMA,27.534765745159184
+ at start of expression,+ ao início da expressão,+ no início da expressão,"FR,ES",LLAMA,42.72870063962342
invalid content of \{\},conteúdo inválido de {},conteúdo inválido de \{\},"FR,ES",LLAMA,30.28512683288236
regular expression too big,expressão regular muito grande,expressão regular grande demais,"FR,ES",LLAMA,35.35533905932737
unbalanced (,( desajustada),( sem correspondente,"FR,ES",LLAMA,27.516060407455225
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,"FR,ES",LLAMA,55.03212081491043
unbalanced ),opção não aplicável,) sem correspondente,"FR,ES",LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"FR,ES",LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,"FR,ES",LLAMA,100.00000000000004
`,« ,“,"FR,ES",LLAMA,0.0
', »,”,"FR,ES",LLAMA,0.0
Success,Éxito,Sucesso,"FR,ES",LLAMA,0.0
No match,não há concordância,Nenhuma ocorrência do padrão,"FR,ES",LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,"FR,ES",LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,"FR,ES",LLAMA,35.35533905932737
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,"FR,ES",LLAMA,34.32945239845197
Trailing backslash,Barre oblique invertida sozinha no final,Barra invertida no final,"FR,ES",LLAMA,17.965205598154213
Invalid back reference,referência de volta inválida,Retrorreferência inválida,"FR,ES",LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [. ou [= não combinado","[, [^, [:, [. ou [= sem correspondente","FR,ES",LLAMA,85.07331335123531
Unmatched ( or \(,( ou §( não parecido),( ou \( sem correspondente,"FR,ES",LLAMA,14.535768424205482
Unmatched \{,{ não há parância},\{ sem correspondente,"FR,ES",LLAMA,10.682175159905848
Invalid content of \{\},Contenuto inválido de {},Conteúdo inválido no \{\},"FR,ES",LLAMA,9.423716574733431
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"FR,ES",LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,"FR,ES",LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,"FR,ES",LLAMA,37.99178428257963
Premature end of regular expression,Fim prematuro de uma expressão regular,Fim prematuro da expressão regular,"FR,ES",LLAMA,22.957488466614336
Regular expression too big,Ex Expressão regular excessivamente grande.,Expressão regular grande demais,"FR,ES",LLAMA,17.965205598154213
Unmatched ) or \),ou) não combinado,) ou \) sem correspondente,"FR,ES",LLAMA,11.521590992286539
No previous regular expression,Não há uma expressão regular anterior.,Nenhuma expressão regular anterior,"FR,ES",LLAMA,24.446151121745054
setting permissions for %s,Definir as permissões para %s,definindo permissões de %s,"FR,ES",LLAMA,17.965205598154213
"Packaged by %s (%s)
","Empacotado por %s (%s) 
","Empacotado por %s (%s)
","FR,ES",LLAMA,100.00000000000004
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
","FR,ES",LLAMA,100.00000000000004
(C),©,(C),"FR,ES",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
",Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres de modificá-lo e redistribuí-lo. Não há nenhuma garantia dentro das limitações permitidas pela lei.,"Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,ES",LLAMA,51.512481134279255
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","FR,ES",LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
","FR,ES",LLAMA,100.00000000000004
