original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,Fallou OpenCV ao carregar a imagem de plantela,O OpenCV falhou ao carregar a imagem modelo,"ES,DE",LLAMA,36.55552228545123
Could not read title information for DVD.,não foi possível obter a informação do título para o DVD.,Não foi possível ler as informações de título do DVD.,"ES,DE",LLAMA,10.600313379512592
Failed to open DVD device '%s'.,"Não foi possível abrir o dispositivo DVD ""%s"".","Falha ao abrir o dispositivo de DVD ""%s"".","ES,DE",LLAMA,53.107253497886994
Failed to set PGC based seeking.,não foi possível configurar o localizador baseado em PGC.,Falha ao definir busca baseada em PGC.,"ES,DE",LLAMA,15.619699684601283
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e a biblioteca necessária para decifrar o DVD não foi instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"ES,DE",LLAMA,34.69638886951256
Could not read DVD.,não foi possível ler o DVD.,Não foi possível ler o DVD.,"ES,DE",LLAMA,80.91067115702207
This file contains no playable streams.,Este arquivo contém fluxos que não podem ser reproduzidos.,Este arquivo não contém fluxos reproduzíveis.,"ES,DE",LLAMA,13.134549472120794
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"ES,DE",LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,A seção de preenchimento do arquivo gerado ultrapassa o seu próprio fluxo.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"ES,DE",LLAMA,6.299392144493405
Missing element '%s' - check your GStreamer installation.,Falta o componente '%s' - verifique sua instalação do GStreamer.,"O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","ES,DE",LLAMA,24.973315050397872
"File location is set to NULL, please set it to a valid filename","A localização do arquivo foi definida como NULL. Por favor, defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","ES,DE",LLAMA,33.38080021677296
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"ES,DE",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato de subimagem não foi configurado antes do fluxo de dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"ES,DE",LLAMA,67.03420896351791
Failed to get fragment URL.,não foi possível obter o URL do fragmento.,Falha ao obter um fragmento de URL.,"ES,DE",LLAMA,6.742555929751843
Couldn't download fragments,não foi possível baixar o fragmento.,Não foi possível baixar os fragmentos,"ES,DE",LLAMA,24.446151121745054
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"ES,DE",LLAMA,100.00000000000004
"Device ""%s"" does not exist.","O dispositivo ""%s"" não existe.","O dispositivo ""%s"" não existe.","ES,DE",LLAMA,100.00000000000004
"Could not open frontend device ""%s"".",Não foi possível abrir o dispositivo frontend «%s».,"Não foi possível abrir o dispositivo de interface ""%s"".","ES,DE",LLAMA,41.36817680097793
"Could not get settings from frontend device ""%s"".","Não foi possível obter as configurações do dispositivo frontend ""%s"".","Não foi possível obter as configurações do dispositivo de interface ""%s"".","ES,DE",LLAMA,72.85959997974687
"Cannot enumerate delivery systems from frontend device ""%s"".","Não foi possível enumerar os sistemas de entrega do dispositivo frontend ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","ES,DE",LLAMA,57.56799653136483
"Could not open file ""%s"" for reading.",Não foi possível abrir o arquivo %s para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.","ES,DE",LLAMA,53.27206776493443
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"ES,DE",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: '%s'.,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","ES,DE",LLAMA,53.2800971987552
Couldn't find details for channel '%s',não foi possível obter detalhes para o canal '%s',"Não foi possível encontrar detalhes para o canal ""%s""","ES,DE",LLAMA,26.477952261405967
No properties for channel '%s',o canal '%s' não possui propriedades,"Não há propriedades para o canal ""%s""","ES,DE",LLAMA,10.229197414177778
Failed to set properties for channel '%s',"não foi possível definir as propriedades para o canal ""%s"".","Falha ao definir propriedades para o canal ""%s""","ES,DE",LLAMA,52.960749334062214
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: '%s'.,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","ES,DE",LLAMA,53.2800971987552
Channel configuration file doesn't contain any channels,No arquivo de configuração do canal há nenhum canal,Nenhum canal foi encontrado no arquivo de configuração de canal,"ES,DE",LLAMA,18.04438612975343
