original,translated,reference,context_languages,strategy,bleu
(dir),(cadeia),(dir),RU,LLAMA,34.66806371753173
(parent dir),(ród. cat.),(dir acima),RU,LLAMA,9.652434877402245
(huge),(maior),gigante,RU,LLAMA,0.0
Search Wrapped,Pesquisa em andamento desde o começo,Pesquisa recomeçou,RU,LLAMA,8.116697886877475
This is the only occurrence,Este é o único acaso encontrado.,Esta é a única ocorrência,RU,LLAMA,6.567274736060395
Search,Pesquisa,Pesquisa,RU,LLAMA,100.00000000000004
 [Backwards],Voltar, [Retroceder],RU,LLAMA,0.0
Cancelled,Отменено,Cancelado,RU,LLAMA,0.0
No current search pattern,Não há necessidade de procurar.,Nenhum padrão de pesquisa atualmente,RU,LLAMA,8.116697886877475
Cannot open directory: %s,Não é possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,RU,LLAMA,75.06238537503395
Go To Directory,no_directory_found,Ir para o diretório,RU,LLAMA,0.0
Can't go outside of %s,Não é possível sair do %s,Não é possível sair de %s,RU,LLAMA,48.892302243490086
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,RU,LLAMA,32.46679154750991
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,RU,LLAMA,54.10822690539397
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,RU,LLAMA,32.46679154750991
Unknown syntax name: %s,Nome desconhecido do sintaxe: %s,Nome de sintaxe desconhecido: %s,RU,LLAMA,29.071536848410968
magic_load() failed: %s,Erro na carga de magic_load(): %s,magic_load() falhou: %s,RU,LLAMA,42.40125351805035
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,RU,LLAMA,63.40466277046863
Nothing was cut,Nenhum elemento foi cortado.,Nada foi cortado,RU,LLAMA,21.3643503198117
Copied nothing,Nenhum arquivo foi copiado.,Nada foi copiado,RU,LLAMA,21.3643503198117
Cutbuffer is empty,O buffer de troca está vazio.,buffer-de-transferência está vazio,RU,LLAMA,13.134549472120788
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,RU,LLAMA,41.06517147271933
Couldn't determine my identity for lock file,falha na determinação do arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,RU,LLAMA,9.746997877627233
Couldn't determine hostname: %s,Não foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,RU,LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,RU,LLAMA,36.029870008455966
Someone else is also editing this file,Alguém ainda está editando este arquivo em tempo real.,Outra pessoa também está editando esse arquivo,RU,LLAMA,9.287528999566801
Error opening lock file %s: %s,Erro ao abrir o arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,RU,LLAMA,64.07117598241614
Bad lock file is ignored: %s,Arquivo de bloqueio inválido: %s,Arquivo de trava inválido é ignorado: %s,RU,LLAMA,24.177237023718654
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s está sendo editado pelo usuário %s (com a ajuda de %s, PID %s); ainda assim, abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",RU,LLAMA,30.62049088236489
Directory '%s' does not exist,"Catalogo ""%s"" não existe","O diretório ""%s"" não existe",RU,LLAMA,70.1396726799769
Path '%s': %s,Pedido de caminho para diretório '\u0420\u043e\u0441\u043a\u0438\u0439': \u041f\u0435\u0442\u0438\u043d\u0430,"Caminho ""%s"": %s",RU,LLAMA,1.199348129252962
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório",RU,LLAMA,100.00000000000004
Path '%s' is not accessible,"O caminho ""%s"" não está disponível.","O caminho ""%s"" não é acessível",RU,LLAMA,63.894310424627285
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável",RU,LLAMA,35.08439695638686
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,RU,LLAMA,10.127993013562818
"""%s"" is a directory","Arquivo ""%s"" é um diretório","""%s"" é um diretório",RU,LLAMA,84.08964152537145
"""%s"" is a device file","Arquivo ""%s"" é um arquivo de dispositivo.","""%s"" é um arquivo dispositivo",RU,LLAMA,59.00468726392806
"""%s"" is a FIFO","Arquivo ""%s"" é FIFO","""%s"" é um FIFO",RU,LLAMA,64.34588841607616
%s is meant to be read-only,%s considerado como acessível apenas para leitura,%s tem a intenção de ser somente leitura,RU,LLAMA,10.786826322527466
New Buffer,novo buffer,Novo buffer,RU,LLAMA,49.99999999999999
DOS,DOS,DOS,RU,LLAMA,100.00000000000004
Mac,Mac,Mac,RU,LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos,Não há mais nenhum buffer de arquivos abertos,RU,LLAMA,35.640264633541825
Interrupted,Interrompido,Interrompido,RU,LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável",RU,LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,RU,LLAMA,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado",RU,LLAMA,100.00000000000004
Reading from FIFO...,Leitura de um FIFO...,Lendo de FIFO...,RU,LLAMA,43.47208719449914
Reading...,Leitura...,Lendo...,RU,LLAMA,59.460355750136046
Could not create pipe: %s,Não foi possível criar o pipeline de entrada/saída padrão: %s,Não foi possível criar o pipe: %s,RU,LLAMA,35.55670235668696
Could not fork: %s,Não foi possível criar um processo filho: %s,Não foi possível bifurcar: %s,RU,LLAMA,26.269098944241577
Executing...,Executa-se…,Executando...,RU,LLAMA,0.0
filtering,filtragem,filtragem,RU,LLAMA,100.00000000000004
Failed to open pipe: %s,Não foi possível abrir o canal de entrada/saída padrão: %s,Falha ao abrir o pipe: %s,RU,LLAMA,13.292417883329383
Error: %s,Erro de leitura %s: %s,Erro: %s,RU,LLAMA,22.089591134157878
Command to execute in new buffer,Comando para execução no novo buffer,Comando para execução no novo buffer,RU,LLAMA,100.00000000000004
Command to execute,Comando para execução,Comando para execução,RU,LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura sem conversão em novo buffer [de %s],Arquivo para ler não convertido no novo buffer [de %s],RU,LLAMA,52.055103630534376
