original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,DE,LLAMA,100.00000000000004
preserving permissions for %s,As permissões de %s serão preservadas.,preservando permissões de %s,DE,LLAMA,34.57207846419409
unbalanced [,opção não associada,[ sem correspondente,DE,LLAMA,0.0
invalid character class,Classe de caracteres inválida,classe de caracteres inválida,DE,LLAMA,59.460355750136046
"character class syntax is [[:space:]], not [:space:]","A sintaxe de uma classe de caracteres é [[:space:]], não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",DE,LLAMA,72.00242075875518
unfinished \ escape,"sequência de escape 
 não concluída",escape \ não terminado,DE,LLAMA,12.703318703865365
? at start of expression,? no começo da expressão,? no início da expressão,DE,LLAMA,30.213753973567677
* at start of expression,* no começo da expressão,* no início da expressão,DE,LLAMA,30.213753973567677
+ at start of expression,+ am início do comando,+ no início da expressão,DE,LLAMA,12.703318703865365
invalid content of \{\},conteúdo inválido de \\{\\},conteúdo inválido de \{\},DE,LLAMA,45.180100180492225
regular expression too big,expressão regular muito grande,expressão regular grande demais,DE,LLAMA,35.35533905932737
unbalanced (,opção não associada,( sem correspondente,DE,LLAMA,0.0
no syntax specified,nenhuma sintaxe especificada,nenhuma sintaxe especificada,DE,LLAMA,100.00000000000004
unbalanced ),opção inválida -- '%c',) sem correspondente,DE,LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,DE,LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,DE,LLAMA,100.00000000000004
`,»,“,DE,LLAMA,0.0
',»,”,DE,LLAMA,0.0
Success,Sucesso,Sucesso,DE,LLAMA,100.00000000000004
No match,sem concordância,Nenhuma ocorrência do padrão,DE,LLAMA,0.0
Invalid regular expression,expressão regular inválida,Expressão regular inválida,DE,LLAMA,55.03212081491043
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,DE,LLAMA,35.35533905932737
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,DE,LLAMA,34.32945239845197
Trailing backslash,barra invertida oblíqua única no final da linha de código.,Barra invertida no final,DE,LLAMA,8.29519350710986
Invalid back reference,referência de volta inválida,Retrorreferência inválida,DE,LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","Não é par, [, [^, [:, . ou [=","[, [^, [:, [. ou [= sem correspondente",DE,LLAMA,61.71392021671751
Unmatched ( or \(,Não é par (ou §),( ou \( sem correspondente,DE,LLAMA,13.134549472120788
Unmatched \{,não é par,\{ sem correspondente,DE,LLAMA,0.0
Invalid content of \{\},"Contênu de \""invalide\"" em \{\}",Conteúdo inválido no \{\},DE,LLAMA,21.200626759025184
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,DE,LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,DE,LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,DE,LLAMA,37.99178428257963
Premature end of regular expression,expressão regular prematuramente concluída,Fim prematuro da expressão regular,DE,LLAMA,24.880469496253564
Regular expression too big,Expressão regular muito grande,Expressão regular grande demais,DE,LLAMA,35.35533905932737
Unmatched ) or \),não é par ou não aparece,) ou \) sem correspondente,DE,LLAMA,8.116697886877475
No previous regular expression,não há nenhum expressão regular anterior,Nenhuma expressão regular anterior,DE,LLAMA,30.213753973567677
setting permissions for %s,Permissões definidas para %s,definindo permissões de %s,DE,LLAMA,21.3643503198117
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
",DE,LLAMA,100.00000000000004
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
",DE,LLAMA,100.00000000000004
(C),©,(C),DE,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres de modificá-lo e redistribuí-lo. Não há garantias, salvo as expressas por lei.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",DE,LLAMA,52.03717233011182
"Written by %s.
","Escrito por %s. 
","Escrito por %s.
",DE,LLAMA,100.00000000000004
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
	(C) Copyright DE.","Escrito por %s, %s e %s.
",DE,LLAMA,61.02169202557915
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %s. 
","Escrito por %s, %s, %s
e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 

","Escrito por %s, %s, %s,
%s, %s e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s
e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s e %s.
",DE,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e outros.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s e outros.
",DE,LLAMA,100.00000000000004
"Report bugs to: %s
","Rapportez as anomalias para: %s
","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
",DE,LLAMA,2.0469137492953364
"Report %s bugs to: %s
","Rapportez os bugs %s ao fórum de suporte ou envie para o desenvolvedor responsável. Para obter mais informações, tente `%s --help'.","Relate erros do %s para: %s
",DE,LLAMA,4.150547731411289
"%s home page: <%s>
",Página inicial de %s: <%s>,"Página do %s: <%s>
",DE,LLAMA,66.06328636027612
"General help using GNU software: <%s>
",Ajuda geral para o uso de software GNU: <%s>.,"Ajuda geral no uso de software GNU: <%s>
",DE,LLAMA,64.50001140844256
multiple `!'s,Múltiplas instâncias de '!',exclamações `!' múltiplas,DE,LLAMA,16.233395773754953
"unexpected `,'",Ocorrência não esperada,"vírgula `,' inesperada",DE,LLAMA,0.0
invalid usage of +N or ~N as first address,utilização inválida de +N ou ~N como primeira endereço,não use +N ou ~N como o primeiro endereço,DE,LLAMA,47.987820666906615
unmatched `{',{ não aparece sem parático },`{' sem correspondente,DE,LLAMA,9.652434877402245
unexpected `}',Ocultação não intencionada,`}' inesperada,DE,LLAMA,0.0
extra characters after command,caracteres desnecessários após a instrução,há caracteres sobrando após o comando,DE,LLAMA,10.400597689005304
"expected \ after `a', `c' or `i'","Após 	extit{a}, 	extit{c} ou 	extit{i}, é esperado.","deve haver um escape \ depois dos comandos `a', `c' e `i'",DE,LLAMA,2.0244462660665508
`}' doesn't want any addresses,não há necessidade de nenhuma endereço,`}' não recebe endereços,DE,LLAMA,8.116697886877475
: doesn't want any addresses,: nenhuma adresse é necessária.,`:' não recebe endereços,DE,LLAMA,8.116697886877475
comments don't accept any addresses,Os comentários não aceitam endereços,comentários não aceitam endereços,DE,LLAMA,66.87403049764218
missing command,comando ausente,falta especificar um comando,DE,LLAMA,18.393972058572114
command only uses one address,a comando não utiliza mais do que uma endereço,este comando usa apenas um endereço,DE,LLAMA,5.669791110976001
unterminated address regex,expressão regular não concluída para endereço,a expressão regular do endereço está inacabada (falta a /),DE,LLAMA,6.60902979597904
unterminated `s' command,comando não concluído,comando `s' inacabado (s/// - faltou delimitador),DE,LLAMA,0.9816077559181531
unterminated `y' command,comando não concluído de 'y',comando `y' inacabado (y/// - faltou delimitador),DE,LLAMA,2.156693969393992
unknown option to `s',opção desconhecida para 's',opção desconhecida para o comando `s' (s///?),DE,LLAMA,4.880803219926451
multiple `p' options to `s' command,Mais de umas opções 'p' para o comando 's',opções `p' múltiplas para o comando `s',DE,LLAMA,19.070828081828378
multiple `g' options to `s' command,Mais de várias opções 'g' ao comando 's',opções `g' múltiplas para o comando `s',DE,LLAMA,5.795599612995366
multiple number options to `s' command,mais de várias opções numéricas ao comando 's',opções numéricas múltiplas para o comando `s' (s///n),DE,LLAMA,5.095335964988335
number option to `s' command may not be zero,A opção numérica da comando 's' não pode ser nula,a opção numérica para o comando `s' não pode ser zero (s///0),DE,LLAMA,8.357722736558308
strings for `y' command are different lengths,As cadeias destinadas ao comando 'y' possuem comprimentos diferentes.,os textos para o comando `y' têm tamanhos diferentes (y/abc/z/),DE,LLAMA,2.242173863464727
delimiter character is not a single-byte character,O caractere delimitador não é um único byte de caracteres,"o delimitador deve ser um caractere normal, ASCII",DE,LLAMA,5.522397783539471
expected newer version of sed,é esperada uma versão mais recente do sed.,esperada uma versão mais recente do sed,DE,LLAMA,72.59795291154772
invalid usage of line address 0,utilização inválida da linha de endereço %s,uso incorreto do endereço de linha 0,DE,LLAMA,7.267884212102741
unknown command: `%c',comando desconhecido: »%c«,comando desconhecido: `%c',DE,LLAMA,32.46679154750991
incomplete command,comando inválido ou incompleto,comando incompleto,DE,LLAMA,18.99589214128981
""":"" lacks a label",uma etiqueta está faltando para ':',""":"" carece de uma marcação",DE,LLAMA,6.567274736060395
recursive escaping after \c not allowed,"um escapamento recursivo após \""não é permitido""",escape recursivo após \c não permitido,DE,LLAMA,17.747405280050266
e/r/w commands disabled in sandbox mode,As operações de leitura/escrita (e/r/w) estão desativadas na sandbox.,comandos e/r/w desabilitados no modo sandbox,DE,LLAMA,21.042990347620457
"%s: file %s line %lu: %s
","%s: ficheiro %s linha %lu: %s
","%s: arquivo %s linha %lu: %s
",DE,LLAMA,73.48889200874659
"%s: -e expression #%lu, char %lu: %s
","%s: -e expressão n°%lu, caractere %lu: %s
","%s: -e expressão #%lu, caractere %lu: %s
",DE,LLAMA,80.03203203845001
can't find label for jump to `%s',"impossível encontrar a etiqueta para saltar em ""%s""","não foi possível encontrar a marcação ""%s""",DE,LLAMA,27.901593935858266
case conversion produced an invalid character,a conversão de caixa gerou um caractere inválido,conversão maiúsculo/minúsculo produziu um caractere inválido,DE,LLAMA,22.089591134157878
"%s: can't read %s: %s
",%s: é impossível ler %s: %s,"%s: não foi possível ler %s: %s
",DE,LLAMA,53.66551979187755
couldn't edit %s: is a terminal,impossível editar %s: é um terminal,"não foi possível editar %s, pois é um terminal",DE,LLAMA,23.76101887396088
couldn't edit %s: not a regular file,impossível editar %s: não é um arquivo regular,"não foi possível editar %s, pois não é um arquivo comum",DE,LLAMA,28.1450060327443
%s: warning: failed to set default file creation context to %s: %s,%s: aviso: não foi possível alterar o contexto de criação do arquivo padrão para %s: %s,%s: aviso: falha ao definir o contexto de criação do arquivo padrão para %s: %s,DE,LLAMA,72.45511487202049
%s: warning: failed to get security context of %s: %s,"%s: aviso de segurança: não foi possível determinar o contexto de segurança do %s, pois falta informações suficientes. Por favor, verifique se as permissões estão corretamente configuradas.",%s: aviso: falha ao obter o contexto de segurança de %s: %s,DE,LLAMA,15.20686177458848
couldn't open temporary file %s: %s,impossível abrir a pasta temporária %s: %s,não foi possível abrir o arquivo temporário %s: %s,DE,LLAMA,33.66077357806371
error in subprocess,erro no subprocesso,erro no subprocesso,DE,LLAMA,100.00000000000004
option `e' not supported,A opção 'e' não é suportada.,sem suporte à opção `e',DE,LLAMA,6.567274736060395
`e' command not supported,Comando 'e' não é suportado.,sem suporte ao comando `e',DE,LLAMA,0.0
no input files,não há arquivos de entrada disponíveis,nenhum arquivo de entrada,DE,LLAMA,16.233395773754953
no previous regular expression,não há nenhum expressão regular anterior,não há expressão regular anterior,DE,LLAMA,37.99178428257963
invalid reference \%d on `s' command's RHS,"referência \\%d inválida no membro de direita da comando ""s""",referência inválida \%d na segunda parte do comando `s',DE,LLAMA,11.633270842295033
regex input buffer length larger than INT_MAX,A tamanho do buffer de entrada da expressão regular é maior que INT_MAX,tamanho do buffer de entrada da expressão regular maior que INT_MAX,DE,LLAMA,72.41577342575832
Jay Fenlason,Jay Fenlason,Jay Fenlason,DE,LLAMA,100.00000000000004
Tom Lord,Tom Lord,Tom Lord,DE,LLAMA,100.00000000000004
Ken Pizzini,Ken Pizzini,Ken Pizzini,DE,LLAMA,100.00000000000004
Paolo Bonzini,Paolo Bonzini,Paolo Bonzini,DE,LLAMA,100.00000000000004
Jim Meyering,Jim Meyering,Jim Meyering,DE,LLAMA,100.00000000000004
