original,translated,reference,context_languages,strategy,bleu
write error,erro de escritura,erro de escrita,ES,LLAMA,55.03212081491043
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,ES,LLAMA,50.81327481546149
unbalanced [,[ descompensado,[ sem correspondente,ES,LLAMA,30.326532985631665
invalid character class,classe de carácteres inválida,classe de caracteres inválida,ES,LLAMA,35.35533905932737
"character class syntax is [[:space:]], not [:space:]","A sintaxe desta classe de caracteres é [[:space:]], e não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",ES,LLAMA,82.38874726594145
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,ES,LLAMA,12.703318703865365
? at start of expression,? ao início da expressão,? no início da expressão,ES,LLAMA,42.72870063962342
* at start of expression,* ao início da expressão,* no início da expressão,ES,LLAMA,42.72870063962342
+ at start of expression,+ ao início da expressão,+ no início da expressão,ES,LLAMA,42.72870063962342
invalid content of \{\},conteúdo inválido de {},conteúdo inválido de \{\},ES,LLAMA,30.28512683288236
regular expression too big,expressão regular excessivamente grande,expressão regular grande demais,ES,LLAMA,35.35533905932737
unbalanced (,( descompensado),( sem correspondente,ES,LLAMA,27.516060407455225
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,ES,LLAMA,55.03212081491043
unbalanced ),opção desbalanceada,) sem correspondente,ES,LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,ES,LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,ES,LLAMA,100.00000000000004
`,«,“,ES,LLAMA,0.0
',»,”,ES,LLAMA,0.0
Success,Éxito,Sucesso,ES,LLAMA,0.0
No match,Não há concordância,Nenhuma ocorrência do padrão,ES,LLAMA,0.0
Invalid regular expression,Expresão regular inválida,Expressão regular inválida,ES,LLAMA,55.03212081491043
Invalid collation character,Carácter de reorganização inválido,Caractere de combinação inválido,ES,LLAMA,18.99589214128981
Invalid character class name,Nome de classe inválido para caracteres,Nome inválido de classe de caracteres,ES,LLAMA,20.412414523193146
Trailing backslash,barra oblíqua invertida sozinha ao final,Barra invertida no final,ES,LLAMA,9.652434877402245
Invalid back reference,Referência aritmética inválida,Retrorreferência inválida,ES,LLAMA,27.516060407455225
