original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s invÃ¡lido para %s,argumento inválido %s para %s,ID,LLAMA,32.17294420803808
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,ID,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,ID,LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,ID,LLAMA,55.03212081491043
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,ID,LLAMA,21.02241038134286
"%s: option '%s%s' is ambiguous
","%s: a opciÃ³n '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
",ID,LLAMA,31.440065102016753
%s: option '%s%s' is ambiguous; possibilities:,%s: a opciÃ³n '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",ID,LLAMA,46.17268461265338
"%s: unrecognized option '%s%s'
",%s: opção '%s%s' não reconhecida.,"%s: opção desconhecida ""%s%s""
",ID,LLAMA,30.66148710292676
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
",ID,LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
","%s: a opciÃ³n '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
",ID,LLAMA,28.863046226018728
"%s: invalid option -- '%c'
",%s: a opciÃ³n invÃ¡lida -- '%c',"%s: opção inválida -- ""%c""
",ID,LLAMA,17.747405280050266
"%s: option requires an argument -- '%c'
",%s: a opciÃ³n requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
",ID,LLAMA,29.167552921712726
`,`,“,ID,LLAMA,0.0
',ID,”,ID,LLAMA,0.0
Success,Conseguido,Sucesso,ID,LLAMA,0.0
No match,Sin coincidencia,Nenhuma ocorrência do padrão,ID,LLAMA,0.0
Invalid regular expression,ExpresiÃ£o regular inválida,Expressão regular inválida,ID,LLAMA,55.03212081491043
Invalid collation character,Caracter de colação inválido,Caractere de combinação inválido,ID,LLAMA,18.99589214128981
Invalid character class name,Nome de classe de caracteres invÃ¡lido,Nome inválido de categoria de caracteres,ID,LLAMA,19.304869754804482
Trailing backslash,barra invertida no final,Barra invertida no final,ID,LLAMA,59.460355750136046
Invalid back reference,ReferÃªncia para atrás inválida,Retrorreferência inválida,ID,LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","Tidak cocok [, [^, [:, [., atau [=","[, [^, [:, [. ou [= sem correspondente",ID,LLAMA,62.628449627654696
Unmatched ( or \(,"Tidak cocok ( atau "") ID desemparelhado",( ou \( sem correspondente,ID,LLAMA,5.522397783539471
Unmatched \{,Tidak cocok { desemparejado},\{ sem correspondente,ID,LLAMA,10.682175159905848
Invalid content of \{\},Contenido invÃ¡lido de \\{\},Conteúdo inválido de \{\},ID,LLAMA,39.281465090051306
Invalid range end,ID final inválido,Fim de intervalo inválido,ID,LLAMA,19.716118825581447
Memory exhausted,Memória insuficiente,Memória esgotada,ID,LLAMA,49.99999999999999
Invalid preceding regular expression,A expressÃ£o regular anterior é invÃ¡lida,A expressão regular precedente é inválida,ID,LLAMA,10.682175159905853
Premature end of regular expression,Fim prematuro da expressÃ£o regular,Fim prematuro da expressão regular,ID,LLAMA,42.72870063962342
Regular expression too big,A expressão regular é muito grande.,Expressão regular grande demais,ID,LLAMA,7.809849842300637
Unmatched ) or \),"Tidak cocokei ) ou "")",) ou \) sem correspondente,ID,LLAMA,17.965205598154213
No previous regular expression,Não há nenhuma expressÃ£o regular anterior.,Nenhuma expressão regular anterior,ID,LLAMA,13.134549472120788
^[yY],^[sS] = ID,^[+1SsyY],ID,LLAMA,17.965205598154213
^[nN],^[tT],^[-0nN],ID,LLAMA,35.35533905932737
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
",ID,LLAMA,100.00000000000004
"Packaged by %s
",Empacotado por %s,"Empacotado por %s
",ID,LLAMA,100.00000000000004
(C),©,(C),ID,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licenciamento GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é software livre: ele lhe dá a liberdade de modificar e redistribuir. Não há garantias, até onde a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",ID,LLAMA,37.065734067703936
"Written by %s.
","Escrito por %s. 
","Escrito por %s.
",ID,LLAMA,100.00000000000004
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
",ID,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s, e %s.
",ID,LLAMA,74.26141117870938
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %d. Dan %<PRIuMAX>.
","Escrito por %s, %s, %s,
e %s.
",ID,LLAMA,50.02148597462021
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, 
%s e dan %s. 
","Escrito por %s, %s, %s,
%s, e %s.
",ID,LLAMA,78.96895367562644
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e dan %s. 
","Escrito por %s, %s, %s,
%s, %s, e %s.
",ID,LLAMA,82.42510954197306
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, e %s.
",ID,LLAMA,88.62476419965998
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
dan %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
e %s.
",ID,LLAMA,89.85396083419644
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, dan %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, e %s.
",ID,LLAMA,90.9593063222022
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, %s e outros.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s, e outros.
",ID,LLAMA,91.67409308877167
"Report bugs to: %s
",Laporkan erros no programa para: %s,"Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
",ID,LLAMA,3.0006599964971663
"Report %s bugs to: %s
","Comunicar erros sobre %s para o repositório do GitHub em nome de %s
","Relate erros do %s para: %s
",ID,LLAMA,13.380161378318954
"%s home page: <%s>
",Beranda %s: <%s>,"Página do %s: <%s>
",ID,LLAMA,74.20884818558928
"General help using GNU software: <%s>
","Bem-vindo ao manual geral sobre o uso de software de GNU e Linux. Para obter mais informações, consulte 'Ayuda general' ou utilize a opção '-h'.
","Ajuda geral no uso de softwares GNU: <%s>
",ID,LLAMA,3.176023542809473
memory exhausted,memória agotada,memória esgotada,ID,LLAMA,49.99999999999999
Disk Image,Imagem de Disco,Imagem de disco,ID,LLAMA,55.03212081491043
Error opening %s: %s,Erro ao abrir %s: %s,Erro ao abrir %s: %s,ID,LLAMA,100.00000000000004
Unable to open %s read-write (%s).  %s has been opened read-only.,"Não é possível abrir %s no modo de leitura e escrita (%d). O arquivo foi aberto apenas para leitura.
",Não foi possível abrir %s para leitura e escrita (%s). %s foi aberto somente-leitura.,ID,LLAMA,29.81792160679168
%s during seek for read on %s,%s durante a preparaÃ§Ã£o para leitura em %s,%s durante busca para leitura em %s,ID,LLAMA,52.53819788848316
%s during read on %s,%s durante a leitura em %s,%s durante leitura em %s,ID,LLAMA,50.000000000000014
"Can't write to %s, because it is opened read-only.","Não podemos escrever em %s, pois atualmente está aberto para leitura apenas.","Não é possível escrever em %s, pois foi aberto como somente-leitura.",ID,LLAMA,35.83129187641355
%s during seek for write on %s,%s durante a preparaÃ§Ã£o para escrever em %s,%s durante busca para escrita em %s,ID,LLAMA,27.301208627090666
%s during write on %s,%s durante a escritura em %s,%s durante escrita em %s,ID,LLAMA,34.57207846419412
"Try `%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
",ID,LLAMA,33.010083098515025
"Usage: %s [OPTION] [DEVICE]...
",Penggunaan: %s [OPSI] [PERANGKAT]...,"Uso: %s [OPÇÃO] [DISPOSITIVO]...
",ID,LLAMA,42.50281413416977
"Inform the operating system about partition table changes.

  -d, --dry-run    do not actually inform the operating system
  -s, --summary    print a summary of contents
  -h, --help       display this help and exit
  -v, --version    output version information and exit
","Informe ao sistema operacional sobre alterações na tabela de particionamento. 

 -d, --dry-run    Não informe ao sistema operacional.
 -s, --summary    Mostre um resumo do conteúdo.
 -h, --help       Mostre esta ajuda e saia.
 -v, --version    Mostre informações sobre a versão e saia.","Informa ao sistema operacional sobre alterações na tabela de partição.

  -d, --dry-run    não chega a informar ao sistema operacional
  -s, --summary    exibe um resumo do conteúdo
  -h, --help       exibe esta ajuda e sai
  -v, --version    mostra informações da versão e sai
",ID,LLAMA,36.29057877413487
"
When no DEVICE is given, probe all partitions.
","Sem dispositivo, analise todas as partições.","
Quando nenhum DISPOSITIVO é informado, investiga todas as partições.
",ID,LLAMA,25.124218547395092
"
Report bugs to <%s>.
","Comunicar erros <%s>. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus porta vel nulla eget sagittis.","
Relate erros para <%s>.
",ID,LLAMA,15.41506497751075
Unable to open %s.,Não é possível abrir %s.,Não foi possível abrir %s.,ID,LLAMA,64.34588841607616
Unable to probe store.,Não é possível sondear a loja.,Não foi possível investigar armazenamento.,ID,LLAMA,8.643019616048525
%s trying to sync %s to disk,%s tentando sincronizar %s com o disco,%s tentando sincronizar %s ao disco,ID,LLAMA,61.04735835807847
Could not stat device %s - %s.,Não é possível executar `stat' sobre o dispositivo %s - %s.,Não foi possível obter estado do dispositivo %s - %s.,ID,LLAMA,42.61082723917019
Unable to determine the dm type of %s.,Não é possível determinar o tipo de DM dado por %s.,Não foi possível determinar o tipo dm de %s.,ID,LLAMA,29.782017963590448
"Could not determine sector size for %s: %s.
Using the default sector size (%lld).","Não foi possível determinar o tamanho do setor para %s: %s. 

Utiliza-se, por omissÃ£o, um valor padrÃ³rio (%lld).","Não foi possível determinar o tamanho do setor para %s: %s.
Utilizando tamanho padrão do setor (%lld).",ID,LLAMA,63.647132443926075
"Could not determine physical sector size for %s.
Using the logical sector size (%lld).","Não foi possível determinar o tamanho do setor físico para %s. Utiliza-se, em vez disso, o tamanho do setor lógico (%lld).","Não foi possível determinar o tamanho do setor físico para %s.
Utilizando tamanho do setor lógico (%lld).",ID,LLAMA,68.66540812681794
Unable to determine the size of %s (%s).,Não é possível determinar o tamanho do %s (%s).,Não foi possível determinar tamanho de %s (%s).,ID,LLAMA,50.317476265301394
Generic IDE,IDE Gerenciado,IDE genérico,ID,LLAMA,49.99999999999999
Could not get identity of device %s - %s,Não é possível obter a identidade do dispositivo %s - %s,Não foi possível obter a identificação do dispositivo %s - %s,ID,LLAMA,59.230330720232516
"Device %s has multiple (%d) logical sectors per physical sector.
GNU Parted supports this EXPERIMENTALLY for some special disk label/file system combinations, e.g. GPT and ext2/3.
Please consult the web site for up-to-date information.","O dispositivo %s possui vários (%d) setores lógicos por cada setor físico. GNU Parted implementa isso de forma EXPERIMENTAL para algumas combinações especiais de etiquetas de disco/sistema de arquivos, como GPT e ext2/3. Por favor consulte o site web para informações atualizadas.","O dispositivo %s possui múltiplos setores lógicos (%d) por setores físicos.
GNU Parted suporta isto de forma EXPERIMENTAL para alguns rótulos de disco/combinações de sistema de arquivos especiais, ex.: GPT e ext2/3.
Por gentileza, consulte o site para informações atualizadas.",ID,LLAMA,39.303578860799306
Error initialising SCSI device %s - %s,Erro ao iniciar o dispositivo SCSI %s - %s,Erro ao inicializar dispositivo SCSI %s - %s,ID,LLAMA,63.15552371794039
The device %s is so small that it cannot possibly store a file system or partition table.  Perhaps you selected the wrong device?,O dispositivo %s é tão pequeno que não pode conter um sistema de arquivos ou tabela de particionamento. Talvez tenha selecionado o dispositivo errado?,O dispositivo %s é tão pequeno que possivelmente não pode armazenar um sistema de arquivos ou tabela de partições. Talvez você selecionou o dispositivo errado?,ID,LLAMA,57.614109264282824
Unable to determine geometry of file/device %s.  You should not use Parted unless you REALLY know what you're doing!,"NÃO é possível determinar a geometria do ficheiro/dispositivo %s. NÃO deve utilizar Parted, salvo que seja BENAR-BENAR saber o que está fazendo!",Não foi possível determinar a geometria do arquivo/dispositivo %s. Você não deveria utilizar o Parted a menos que você REALMENTE saiba o que está fazendo!,ID,LLAMA,36.54534408821579
Generic SD/MMC Storage Card,CartÃ£o de Memoria Secreta/MMC Gerencial,Cartão de armazenamento genérico SD/MMC,ID,LLAMA,14.535768424205482
NVMe Device,Dispositivo NVMe,Dispositivo NVMe,ID,LLAMA,100.00000000000004
DAC960 RAID controller,Controladora RAID DAC960,Controlador RAID DAC960,ID,LLAMA,55.03212081491043
Promise SX8 SATA Device,Perangkat Promise SX8 SATA,Dispositivo Promise SX8 SATA,ID,LLAMA,59.460355750136046
ATA over Ethernet Device,Dispositivo ATA por Ethernet,ATA através de dispositivo Ethernet,ID,LLAMA,14.794015674776452
IBM S390 DASD drive,Unidade DASD IBM S390,Unidade DASD IBM S390,ID,LLAMA,100.00000000000004
IBM iSeries Virtual DASD,DASD Virtual IBM iSeries,DASD Virtual IBM iSeries,ID,LLAMA,100.00000000000004
Compaq Smart Array,Estrutura Smart de Compaq,Compaq Smart Array,ID,LLAMA,18.99589214128981
ATARAID Controller,Controladora ATARAID,Controlador ATARAID,ID,LLAMA,49.99999999999999
I2O Controller,Controladora I20,Controlador I2O,ID,LLAMA,0.0
User-Mode Linux UBD,UBD de User-Mode Linux,Linux UBD modo usuário,ID,LLAMA,18.99589214128981
Loopback device,Dispositivo de origem,Dispositivo loopback,ID,LLAMA,27.516060407455225
Linux device-mapper (%s),Mapeador de dispositivos do Linux (%s),Mapeador de dispositivo Linux (%s),ID,LLAMA,51.33450480401705
Xen Virtual Block Device,Dispositivo orientado a bloques virtual Xen,Dispositivo de bloco virtual Xen,ID,LLAMA,17.965205598154213
Unknown,Desconhecida,Desconhecido,ID,LLAMA,0.0
Virtio Block Device,Dispositivo orientado a bloques Virtio,Dispositivo de bloco Virtio,ID,LLAMA,12.703318703865365
Linux Software RAID Array,Conjunto Software RAID de Linux,Conjunto RAID por software Linux,ID,LLAMA,14.058533129758727
ped_device_new()  Unsupported device type,ped_device_new() Tipo de dispositivo não suportado,ped_device_new()  Tipo de dispositivo não suportado,ID,LLAMA,100.00000000000004
Error fsyncing/closing %s: %s,Erro ao usar fsync ou fechar %s: %s,Erro ao chamar fsync/fechar %s: %s,ID,LLAMA,53.48259312838876
%0.0send of file while reading %s,%0.0s akhir berkas saat membaca %s,%0.0s fim de arquivo enquanto lê %s,ID,LLAMA,13.784336590962209
Error informing the kernel about modifications to partition %s -- %s.  This means Linux won't know about any changes you made to %s until you reboot -- so you shouldn't mount it or use it in any way before rebooting.,"Erro ao informar o núcleo sobre as modificificações na participação %s -- %s. Isso significa que Linux não reconhecerá nenhum dos alteraÃºrios feitos no kernel até que seja reiniciado - portanto, ele não pode montar ou utilizar a partição antes de um reboot.",Erro ao informar ao kernel sobre alterações na partição %s -- %s. Isto significa que o Linux não saberá de qualquer alteração que você tenha feito em %s até que o computador seja reiniciado -- logo você não deve montá-lo ou usá-lo de maneira alguma antes de reiniciar.,ID,LLAMA,16.184254478573774
Unable to determine the start and length of %s.,Não é possível determinar o início e tamanho do %s.,Não foi possível determinar o início e comprimento de %s.,ID,LLAMA,43.66835442847811
"Partition(s) %s on %s have been written, but we have been unable to inform the kernel of the change, probably because it/they are in use.  As a result, the old partition(s) will remain in use.  You should reboot now before making further changes.","As participações(s) %s em %s foram escritas, porém não conseguimos informar ao núcleo do sistema sobre o alteração feita. Probavelmente porque estão em uso atualmente. Consequentemente, as participações antigas continuarÃ£o no uso. Deve-se reiniciar agora antes de fazer mais alterações.","As partição(ões) %s em %s foram escritas, mas não foi possível informar ao kernel sobre as alterações, provavelmente está(ão) em uso. Como resultado, a(s) partição(ões) antiga(s) permanecerá(ão) em uso.  Você deve reinicializar agora antes de realizar alterações posteriores.",ID,LLAMA,19.218251527144712
Can't have the end before the start! (start sector=%jd length=%jd),Não é possível ter o final da participação antes do início! (sector de inicio=%jd tamanho=%jd),Não é possível ter o fim antes do início! (setor inicial=%jd comprimento=%jd),ID,LLAMA,44.438146210688274
Attempt to write sectors %ld-%ld outside of partition on %s.,Tentaram escrever os sectores %ld-%ld fora do participante em %s.,Tentativa de escrever setores %ld-%ld fora da partição em %s.,ID,LLAMA,42.311785416105785
checking for bad blocks,comprobando blocos errôneus,verificando por blocos defeituosos,ID,LLAMA,19.716118825581447
"Backtrace has %d calls on stack:
","Backtrace tem %d chamadas na pilha:
","Backtrace possui %d chamadas na pilha:
",ID,LLAMA,70.71067811865478
Assertion (%s) at %s:%d in function %s() failed.,A assinatura (%s) caiu em %s:%d na funÃ§Ã£o %s().,A declaração (%s) em %s:%d na função %s() falhou.,ID,LLAMA,55.4791407310483
%s: unrecognised disk label,%s: etiqueta de disco desconhecida,%s: rótulo de disco irreconhecível,ID,LLAMA,30.739407647563215
This libparted doesn't have write support for %s.  Perhaps it was compiled read-only.,Esta biblioteca libparted não possui suporte para escrita em %s. Quem sabe foi compilada apenas para leitura.,O libparted não possui suporte para escrita em %s.  Talvez isto tenha sido compilado como somente-leitura.,ID,LLAMA,46.728253537438206
"Partition %d is %s, but the file system is %s.","A participÃ£o %d é %s, porém o sistema de ficheiros é do tipo %s.","A partição %d é %s, mas o sistema de arquivos é %s.",ID,LLAMA,39.51500216160541
cylinder_alignment,alinhamento cilíndrico do alinhaciÃ³n_cilÃ­ndrica,cylinder_alignment,ID,LLAMA,8.116697886877475
pmbr_boot,arranque_pmbr,pmbr_boot,ID,LLAMA,34.66806371753173
"Unknown disk flag, %d.","Bandeira de disco desconhecida, %d.","Opção desconhecida de partição, %d.",ID,LLAMA,38.260294162784454
%s disk labels do not support extended partitions.,As etiquetas de disco %s não suportam partições estendidas.,Rótulos de disco %s não suportam partições estendidas.,ID,LLAMA,78.60753021519781
%s disk labels don't support logical or extended partitions.,As etiquetas de disco %s não suportam partições estendidas ou lógicas.,Rótulos de disco %s não suportam partições lógicas ou estendidas.,ID,LLAMA,52.664038784792645
Too many primary partitions.,Existe demasiadas particiones primarias.,Há partições primárias demais.,ID,LLAMA,10.682175159905848
"Can't add a logical partition to %s, because there is no extended partition.","Não é possível adicionar uma participação lógica em %s, porque não há nenhuma partição estendida.","Não posso adicionar uma partição lógica em %s, pois não há uma partição estendida.",ID,LLAMA,32.62478546610939
Can't have more than one extended partition on %s.,Não pode haver mais de uma participação estendida em %s.,Não pode existir mais de uma partição estendida em %s.,ID,LLAMA,46.59538415189962
Can't have logical partitions outside of the extended partition.,Não é possível ter uma participação lógica fora da partição estendida.,Partições lógicas não podem existir fora da partição estendida.,ID,LLAMA,31.702331385234313
Can't have a logical partition outside of the extended partition on %s.,Não pode haver uma participação legal fora da partida estendida em %s.,Uma partição lógica não pode existir fora da partição estendida em %s.,ID,LLAMA,31.61487584488944
Can't have a primary partition inside an extended partition.,Não é possível ter uma partição primária dentro de uma partição extensiva.,Não é possível ter uma partição primária dentro de uma partição estendida.,ID,LLAMA,84.23626743789745
Can't have a partition outside the disk!,Não se pode participar fora do disco!,Não é possível ter uma partição para fora do disco!,ID,LLAMA,25.124218547395092
Can't have overlapping partitions.,Não é possível ter partições sobrepostas.,Não é possível ter partições que se sobrepõem.,ID,LLAMA,48.35447404743731
metadata,metadados,metadados,ID,LLAMA,100.00000000000004
free,livre,livre,ID,LLAMA,100.00000000000004
extended,extensão,estendida,ID,LLAMA,0.0
logical,lógica,lógica,ID,LLAMA,100.00000000000004
primary,ID da tabela primária,primária,ID,LLAMA,15.97357760615681
boot,arranque do sistema operacional,boot,ID,LLAMA,0.0
bios_grub,bios_grub,bios_grub,ID,LLAMA,100.00000000000004
root,raiz,root,ID,LLAMA,0.0
swap,troca de memória,swap,ID,LLAMA,0.0
hidden,oculta,escondida,ID,LLAMA,0.0
raid,raid,raid,ID,LLAMA,100.00000000000004
lvm,volume lógico (LVM),lvm,ID,LLAMA,0.0
lba,lba,lba,ID,LLAMA,100.00000000000004
hp-service,utilidade hp,hp-service,ID,LLAMA,0.0
palo,vara,palo,ID,LLAMA,0.0
prep,ID,prep,ID,LLAMA,0.0
msftres,msftres,msftres,ID,LLAMA,100.00000000000004
msftdata,msftdata,msftdata,ID,LLAMA,100.00000000000004
atvrecv,atvrecv,atvrecv,ID,LLAMA,100.00000000000004
diag,diag,diag,ID,LLAMA,100.00000000000004
legacy_boot,arranque_legacy,legacy_boot,ID,LLAMA,34.66806371753173
irst,ID,irst,ID,LLAMA,0.0
esp,ID,esp,ID,LLAMA,0.0
bls_boot,arranque_bls,bls_boot,ID,LLAMA,34.66806371753173
"Unknown partition flag, %d.","Modificador de particion desconhecido, %d.","Opção de partição desconhecida, %d.",ID,LLAMA,36.55552228545123
Information,Informação,Informação,ID,LLAMA,100.00000000000004
Warning,Peringatan,Atenção,ID,LLAMA,0.0
Error,Erro,Erro,ID,LLAMA,100.00000000000004
Fatal,Fatal,Fatal,ID,LLAMA,100.00000000000004
Bug,Erro,Erro,ID,LLAMA,100.00000000000004
No Implementation,Sin ImplementaciÃ³n,Sem implementação,ID,LLAMA,0.0
Fix,Reparar,Arrumar,ID,LLAMA,0.0
Yes,São as letras 'SI' em maiúsculas.,Sim,ID,LLAMA,0.0
No,Não,Não,ID,LLAMA,100.00000000000004
OK,Acordado,OK,ID,LLAMA,0.0
Retry,Reintentar,Repetir,ID,LLAMA,0.0
Ignore,Descartar,Ignorar,ID,LLAMA,0.0
Cancel,_Cancelar_,Cancelar,ID,LLAMA,27.516060407455225
A bug has been detected in GNU Parted.  Refer to the web site of parted http://www.gnu.org/software/parted/parted.html for more information of what could be useful for bug submitting!  Please email a bug report to %s containing at least the version (%s) and the following message:  ,"Se detectou um erro no GNU Parted. Consulte o site web da parted http://www.gnu.org/software/parted/parted.html para mais informações sobre o que pode ser útil ao relatar o erro! Por favor, envie uma mensagem de email para %s contendo pelo menos a versão (%d) e este aviso: 'Erro detectado no GNU Parted'","Um erro foi detectado no GNU parted.  Visite o site do parted: http://www.gnu.org/software/parted/parted.html para mais informações sobre o que pode ser útil na hora de submeter um relatório de erro. Por favor, envie um relatório de erro para %s contendo ao menos a versão (%s) e a seguinte mensagem:  ",ID,LLAMA,50.89778741850828
Support for reading AIX disk labels is is not implemented yet.,Suporte para ler etiquetas de disco AIX ainda não está implementado.,O suporte para leitura de rótulos de disco AIX ainda não foi implementado.,ID,LLAMA,31.912901122227073
Support for writing AIX disk labels is is not implemented yet.,O suporte para escrever etiquetas de disco AIX ainda não está implementado.,O suporte para escrita de rótulos de disco AIX ainda não foi implementado.,ID,LLAMA,39.355951621009716
Support for adding partitions to AIX disk labels is not implemented yet.,Suporte para adicionar partições a etiquetas de disco AIX ainda não está implementado.,O suporte para adicionar partições em rótulos de disco AIX ainda não foi implementado.,ID,LLAMA,36.380163164158446
Support for duplicating partitions in AIX disk labels is not implemented yet.,Suporte para duplicar partições em etiquetas de disco AIX ainda não está implementado.,O suporte para duplicar partições em rótulos de disco AIX ainda não foi implementado.,ID,LLAMA,45.07763457323718
Support for setting system type of partitions in AIX disk labels is not implemented yet.,O suporte para definir o tipo de sistema de particionamento em etiquetas do disco AIX ainda não está implementado.,O suporte para definir o tipo de sistema de partições em rótulos de disco AIX ainda não foi implementado.,ID,LLAMA,56.79161104357995
Support for setting flags in AIX disk labels is not implemented yet.,O suporte para a configuração de flags em etiquetas de disco AIX ainda não está implementado.,O suporte para definir as opções em rótulos de disco AIX não foi implementado ainda.,ID,LLAMA,16.659659447684103
Can't use Atari partition tables on disks with a sector size not equal to %d bytes.,Não podem ser utilizadas tabelas de participação Atari em discos com um tamanho de setor diferente de %d bytes.,Não é possível usar tabelas de partição Atari em discos com um tamanho de setor diferente de %d bytes.,ID,LLAMA,68.38626312597371
Unable to satisfy all constraints on the partition.,Não é possível satisfazer todas as restriÃ³es na participaÃ§Ã£o.,Não foi possível satisfazer todos as restrições na partição.,ID,LLAMA,11.044795567078939
Unable to allocate a partition number.,Não podem ser atribuídos números de participação.,Não é possível alocar um número de partição.,ID,LLAMA,6.413885305524152
Unable to allocate a bsd disklabel slot.,Não é possível alocar uma ranura na etiqueta de disco BSD.,Não foi possível alocar uma posição para rótulo de disco bsd.,ID,LLAMA,17.242221289766636
Unable to allocate a dasd disklabel slot,Não é possível alocar uma ranura na etiqueta de disco dasd.,Não foi possível alocar uma posição para rótulo de disco dasd.,ID,LLAMA,31.702331385234313
Invalid partition table on %s -- wrong signature %x.,Tabela de particionamento inválida em %s -- firma digital incorreta %x.,Tabela de partições inválida em %s -- assinatura errada %x.,ID,LLAMA,39.07380249452502
Invalid partition table - recursive partition on %s.,Tabela de particionamento inválida - partição recursiva em %s.,Tabela de partições inválida - partição recursiva em %s.,ID,LLAMA,74.19446627365011
Extended partitions cannot be hidden on msdos disk labels.,Partições estendidas não podem ser escondidas em etiquetas de disco msdos.,Partições estendidas não podem ser escondidas em rótulos de disco msdos.,ID,LLAMA,73.48889200874659
Extended partitions cannot be recovery partitions on msdos disk labels.,As parti%s de estendida nÃ£o podem ser partisi na recupera%<PRIuMAX> em etiquetas do disco msdos.,Partições estendidas não podem ser partições recuperadas em rótulos de disco msdos.,ID,LLAMA,8.794090522118719
Parted can't resize partitions managed by Windows Dynamic Disk.,Parted não pode redimensionar partições gerenciadas pelo Disco Dinâmico de Arquivos do Windows.,O Parted não pode redimensionar partições gerenciadas com o Disco Dinâmico do Windows.,ID,LLAMA,48.41524713034602
cannot create any more partitions,não é possível criar mais partições (%s),não é possível criar mais nenhuma partição,ID,LLAMA,39.281465090051306
%s has no extended partition (volume header partition).,%s não tem participação estendida (participação de cabecera do volume).,%s não possui partições estendidas (cabeçalho de volume da partição).,ID,LLAMA,14.949751774990691
"Checksum is wrong, indicating the partition table is corrupt.","A soma de comprovação é incorreta, indicando que a tabela de particionamento está corrompida.","A soma de verificação está errada, indicando que a tabela de partições está corrompida.",ID,LLAMA,45.93073632354733
Only primary partitions can be root partitions.,SÃ³lo as partições primárias podem ser particulas raiz.,Apenas partições primárias podem ser partições root.,ID,LLAMA,31.55984539112946
