original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tenha em vista ler do CD.,Não foi possível ler as informações do CD.,ID,LLAMA,46.308502554893494,21.201250079654766,19.740631366145518,62.5,83.51559638977051
Could not open CD device for reading.,Tenha em mente abrir o disco compacto para ler.,Não foi possível abrir o dispositivo de CD para leitura.,ID,LLAMA,60.85790395736694,26.21209380274215,9.030367376343264,70.0,81.17870688438416
Disc is not an Audio CD.,Cakram não é CD Audio.,O disco não é um CD de áudio.,ID,LLAMA,76.42063498497009,25.741723500057468,11.708995388048026,62.5,82.89300799369812
Could not open DVD,Tenha em mente abrir o DVD,Não foi possível abrir o DVD,ID,LLAMA,69.88248229026794,35.698305213939705,30.213753973567677,50.0,80.82056045532227
Could not open DVD title %d,Tenha em vista abrir o título do DVD %d,Não foi possível abrir o título %d do DVD,ID,LLAMA,56.794148683547974,46.52021594952942,22.957488466614326,44.44444444444444,86.12793684005737
Failed to go to chapter %d of DVD title %d,Não foi possível percorrer para a babai %d do título DVD %d.,Falha ao avançar para o capítulo %d do título %d do DVD,ID,LLAMA,51.77905559539795,32.70913611286596,21.023693683267553,75.0,77.30231881141663
Could not open DVD title %d. Interactive titles are not supported by this element,Tá aí para abrir o título do DVD %d. O título interativo não é suportado por este elemento,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,ID,LLAMA,71.8751609325409,49.31064990947133,15.435109972796836,66.66666666666666,86.7247462272644
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,"Tenha em mente que é necessário instalar drivers e decodificadores para ler o DVD, pois ele possui técnicas de criptografia.",Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,ID,LLAMA,74.66725707054138,27.4299556775434,6.33089084479343,88.0,77.87702679634094
Could not read DVD.,Tenha em mãos o DVD para ler.,Não foi possível ler o DVD.,ID,LLAMA,66.68276190757751,22.9231392687152,13.134549472120788,100.0,80.66165447235107
This stream contains no data.,O ID atual não contém dados.,Este fluxo não contém dados.,ID,LLAMA,81.20688796043396,60.749870241804416,41.11336169005198,60.0,87.5023901462555
