original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,"ID,RU",LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para a função de gerenciamento do valor deste identificador!,Não há suporte à definição de um valor para esta etiqueta!,"ID,RU",LLAMA,14.211672443220438
"Too few components specified (need %d, found %d)
","Chamado para indicar quase em excesso poucos componentes (requer %d, encontrou %d)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","ID,RU",LLAMA,39.56716729452429
"Numeric value expected
","bem vindo ao sistema de gerenciamento do diretório, você pode utilizar o comando 'cd' para navegar entre os subdiretórios.","Valor numérico esperado
","ID,RU",LLAMA,0.0
Internal error. Please contact <%s>.,"Erro interno. Por favor, conecte-se ao <%s>.","Erro interno. Por favor, contate <%s>.","ID,RU",LLAMA,67.03420896351791
Not yet implemented!,Não foi possível realizar a operação!,Não implementado ainda!,"ID,RU",LLAMA,7.809849842300637
Warning; Too many components specified!,Aviso de erro: há muito poucos elementos definidos no campo!,Aviso; Especificados componentes demais!,"ID,RU",LLAMA,4.02724819242185
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Existe muito dado EXIF (%i byte). Só %i byte é permitido.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"ID,RU",LLAMA,13.32358437599213
Could not write '%s' (%s).,Não é possível gravar '%s' (%s).,"Não foi possível escrever ""%s"" (%s).","ID,RU",LLAMA,32.80424072511114
Wrote file '%s'.,Fez treino com blocos '%s'.,"Escrever arquivo ""%s"".","ID,RU",LLAMA,6.567274736060395
EXIF entry '%s' ,Lema EXIF '%s' ,"Entrada EXIF ""%s""","ID,RU",LLAMA,10.400597689005304
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","ID,RU",LLAMA,43.44371253135793
"exists in IFD '%s':
",ada di IFD '%s': existe em estado de execução.,"existe em IFD ""%s"":
","ID,RU",LLAMA,7.768562846380176
Adding entry...,Adicione os campos...,Adicionando entrada...,"ID,RU",LLAMA,30.213753973567677
IFD '%s' does not contain a tag '%s'!,IFD '%s' não tem nenhum símbolo de tag '%s'!,"IFD ""%s"" não contém uma etiqueta ""%s""!","ID,RU",LLAMA,4.246549372656572
Could not open '%s' (%s)!,Não é possível abrir '%s' (%s)!,"Não foi possível abrir ""%s"" (%s)!","ID,RU",LLAMA,35.72281085191041
Could not determine size of '%s' (%s).,Não é possível determinar o tamanho do arquivo '%s' (%d).,"Não foi possível determinar o tamanho de ""%s"" (%s).","ID,RU",LLAMA,21.874057156123218
Could not read '%s' (%s).,Não é possível ler '%s' (%s).,"Não foi possível ler ""%s"" (%s)!","ID,RU",LLAMA,24.925832743644712
IFD '%s' does not contain tag '%s'.,IFD '%s' não possui thẻ '%s'.,"IFD ""%s"" não contém uma etiqueta ""%s"".","ID,RU",LLAMA,4.2665050358928855
'%s' does not contain tag '%s'.,'%s' não possui etiqueta '%s'.,"""%s"" não contém uma etiqueta ""%s""!","ID,RU",LLAMA,4.396165418527572
'%s' does not contain a thumbnail!,'%s' não possui imagens de pequeno tamanho!,"IFD ""%s"" não contém uma miniatura!","ID,RU",LLAMA,5.522397783539471
Could not open '%s' for writing (%s)!,Não é possível abrir '%s' para escrever (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!","ID,RU",LLAMA,31.124182233206028
