original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá aí para ler do CD.,Não foi possível ler as informações do CD.,"VI,RU",LLAMA,54.65503931045532,20.437494369403034,19.740631366145518,62.5,79.86117005348206
Could not open CD device for reading.,Tá aí para abrir o dispositivo de CDs para leitura.,Não foi possível abrir o dispositivo de CD para leitura.,"VI,RU",LLAMA,71.93528413772583,63.16211393531448,33.932513407933634,40.0,86.75345182418823
Disc is not an Audio CD.,Cakram bukan CD Audio.,O disco não é um CD de áudio.,"VI,RU",LLAMA,70.45664191246033,16.02757609585423,5.70796903405875,87.5,79.78289127349854
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"VI,RU",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,"VI,RU",LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,falha ao tentar navegar até o capítulo %d do DVD com título %d,Falha ao avançar para o capítulo %d do título %d do DVD,"VI,RU",LLAMA,83.07985663414001,58.85413971828816,42.311785416105785,41.66666666666667,84.54238176345825
Could not open DVD title %d. Interactive titles are not supported by this element,Tá a possibilidade de abrir o título do DVD %d. O campo interativo não é suportado por este elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"VI,RU",LLAMA,74.63387250900269,47.74317683176591,14.23071532720465,77.77777777777779,85.83895564079285
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tá aí para ler o DVD. Isso acontece porque o DVD está criptografado e não há biblioteca de descriptografia do DVD instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"VI,RU",LLAMA,74.29362535476685,58.45480772366592,28.768422508410207,48.0,89.20357823371887
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"VI,RU",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Arquivo não contém dados.,Este fluxo não contém dados.,"VI,RU",LLAMA,87.99735903739929,64.79074494139822,54.75182535069452,40.0,86.27123832702637
