original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,,NLLB,10.682175159905853
Setting a value for this tag is unsupported!,A definição de um valor para esta etiqueta não é suportada!,Não há suporte à definição de um valor para esta etiqueta!,,NLLB,53.3167536340577
"Too few components specified (need %d, found %d)","Poucos componentes especificados (necessidade de %d, encontrado %d)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
",,NLLB,33.094278637005694
Numeric value expected,Valor numérico esperado,"Valor numérico esperado
",,NLLB,100.00000000000004
Internal error. Please contact <%s>.,"Erro interno. Por favor, entre em contato com <%s>.","Erro interno. Por favor, contate <%s>.",,NLLB,57.02822264405539
Not yet implemented!,Ainda não foi implementado!,Não implementado ainda!,,NLLB,12.70331870386537
Warning; Too many components specified!,"Advertência, muitos componentes especificados!",Aviso; Especificados componentes demais!,,NLLB,9.652434877402245
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Demasiados dados EXIF (%i bytes). Apenas %i bytes são permitidos.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,,NLLB,80.65008590125565
Could not write '%s' (%s).,Não consegui escrever '%s' (%s).,"Não foi possível escrever ""%s"" (%s).",,NLLB,32.89890011227793
Wrote file '%s'.,Escreveu arquivo '%s'.,"Escrever arquivo ""%s"".",,NLLB,9.042266054940777
EXIF entry '%s',Entrada EXIF '%s',"Entrada EXIF ""%s""",,NLLB,19.357693493908812
"(0x%x, '%s')","0x%x, '%s')","(0x%x, ""%s"") ",,NLLB,29.797147054518852
exists in IFD '%s':,Existe no IFD '%s':,"existe em IFD ""%s"":
",,NLLB,7.492442692259767
Adding entry...,Adicionando entrada...,Adicionando entrada...,,NLLB,100.00000000000004
IFD '%s' does not contain a tag '%s'!,IFD '%s' não contém uma etiqueta '%s'!,"IFD ""%s"" não contém uma etiqueta ""%s""!",,NLLB,21.34144322916053
Could not open '%s' (%s)!,Não conseguiu abrir '%s' (%s)!,"Não foi possível abrir ""%s"" (%s)!",,NLLB,32.89890011227793
Could not determine size of '%s' (%s).,Não conseguiu determinar o tamanho de '%s' (%s).,"Não foi possível determinar o tamanho de ""%s"" (%s).",,NLLB,40.592153989989825
Could not read '%s' (%s).,Não conseguiu ler '%s' (%s).,"Não foi possível ler ""%s"" (%s)!",,NLLB,22.499268274284365
IFD '%s' does not contain tag '%s'.,IFD '%s' não contém tag '%s'.,"IFD ""%s"" não contém uma etiqueta ""%s"".",,NLLB,7.510002314354895
%s' does not contain tag '%s'.,%s' não contém tag '%s'.,"""%s"" não contém uma etiqueta ""%s""!",,NLLB,7.270717733704594
%s' does not contain a thumbnail!,%s' não contém uma miniatura!,"IFD ""%s"" não contém uma miniatura!",,NLLB,41.91742490576712
Could not open '%s' for writing (%s)!,Não consegui abrir '%s' para escrever (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!",,NLLB,28.71901769579641
EXIF tags in '%s':,Tags EXIF em '%s':,"Etiquetas EXIF em ""%s"":",,NLLB,13.540372457315735
Unknown format or nonexistent MakerNote.,Formatos desconhecidos ou MakerNote inexistente.,"Formato desconhecido ou MakerNote inexistente.
",,NLLB,50.81327481546147
MakerNote does not contain any value.,O MakerNote não contém qualquer valor.,"MakerNote não contém qualquer valor.
",,NLLB,80.91067115702207
Unknown Tag,Tag desconhecido,Etiqueta desconhecida,,NLLB,0.0
Unknown value,Valor desconhecido,Valor desconhecido,,NLLB,100.00000000000004
