original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Print the GStreamer version,Imprimir a versão do GStreamer,Exibe a versão do GStreamer,"ZH_CN,VI",LLAMA,78.4487783908844,74.9143849684194,66.87403049764218,20.0,91.28156304359436
Make all warnings fatal,Tratar todas as advertências como problemas graves,Trata todos avisos como fatais,"ZH_CN,VI",LLAMA,82.49185085296631,23.319451282770377,6.567274736060395,100.0,78.82402539253235
Print available debug categories and exit,Imprimir categorias de diagnóstico disponíveis e encerrar o programa.,Exibe as categorias de depuração disponíveis e sair,"ZH_CN,VI",LLAMA,68.31702589988708,47.6996139244406,11.868405219520975,75.0,77.09105610847473
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Vorgegebene Fehlerdiagnosestufe von 1 (nur Fehler) bis 9 (Alles) ou 0 para nenhum output,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"ZH_CN,VI",LLAMA,69.6398675441742,28.50575487869016,16.742585208389396,68.75,80.48343062400818
LEVEL,Estágio de Fadigação Muscular,NÍVEL,"ZH_CN,VI",LLAMA,40.22842347621918,1.8115942028985508,0.0,100.0,66.20917916297913
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgula de pares 'Categoria_Nome:Nível' para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","ZH_CN,VI",LLAMA,85.58273315429688,57.23026471730969,46.300599171369974,68.75,91.65950417518616
LIST,LISTE,LISTA,"ZH_CN,VI",LLAMA,84.3336284160614,45.27777777777778,0.0,100.0,95.8048939704895
Disable colored debugging output,Desabilitar a exibição de mensagens de erro em cores,Desabilita saída de depuração colorida,"ZH_CN,VI",LLAMA,63.53926062583923,27.6134572357212,4.767707020457095,100.0,78.48479747772217
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Alterar o modo de cores do protocolo de diagnóstico de erro. Modos possíveis são: off, on, disable, auto e unix.","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","ZH_CN,VI",LLAMA,78.90783548355103,43.46404937691558,10.716095459944366,66.66666666666666,81.56946897506714
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,"ZH_CN,VI",LLAMA,69.14194226264954,33.631422090756494,0.0,100.0,78.38131189346313
Colon-separated paths containing plugins,"Por meio de dois pontos, separados por caminhos para os plugins","Caminhos, separados por dois-pontos, de plug-ins","ZH_CN,VI",LLAMA,68.91271471977234,53.107711802113954,13.545994273378144,100.0,78.26175093650818
PATHS,PFADE,CAMINHOS,"ZH_CN,VI",LLAMA,66.26448035240173,2.2522522522522523,0.0,100.0,79.02510166168213
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista separada por vírgula de plugins pré-carregados, além dos plugins armazenados na variável GST_PLUGIN_PATH da ambiente.","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","ZH_CN,VI",LLAMA,84.02796387672424,56.8557655119014,22.50356833882628,64.70588235294117,84.9652886390686
PLUGINS,Plugins,PLUG-INS,"ZH_CN,VI",LLAMA,56.00184202194214,1.8315018315018312,0.0,100.0,67.98173189163208
Disable trapping of segmentation faults during plugin loading,Desligue o seguimento de erros graves no acesso ao armazenamento durante o carregamento de plugins,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"ZH_CN,VI",LLAMA,75.20611882209778,37.72556788445974,10.511846841633776,100.0,79.37130928039551
Disable updating the registry,Desabilitar a atualização da Registry,Desabilita atualização do registro,"ZH_CN,VI",LLAMA,81.56524300575256,58.18917791182835,10.682175159905848,100.0,89.6966814994812
Disable spawning a helper process while scanning the registry,Desligue o processo auxiliar ao ler a Registry desativada.,Desabilita a criação de um processo auxiliar durante a análise do registro,"ZH_CN,VI",LLAMA,46.2762326002121,32.77353576597769,7.603985612048923,83.33333333333334,76.683109998703
GStreamer Options,Opções do GStreamer,Opções do GStreamer,"ZH_CN,VI",LLAMA,98.38070273399353,100.0,100.00000000000004,0.0,99.99998807907104
Show GStreamer Options,Exibir as opções de GStreamer,Exibe opções do GStreamer,"ZH_CN,VI",LLAMA,90.175461769104,52.56086442197755,12.703318703865365,75.0,91.60451292991638
Unknown option,opção desconhecida,Opção desconhecida,"ZH_CN,VI",LLAMA,96.42961621284485,76.00406027795734,49.99999999999999,0.0,95.57121992111206
GStreamer encountered a general core library error.,GStreamer detectou um erro genérico na biblioteca de kernel.,O GStreamer encontrou um erro geral na biblioteca principal.,"ZH_CN,VI",LLAMA,82.16384053230286,50.2631302862116,13.134549472120794,55.55555555555556,91.20834469795227
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer não foram responsáveis, deixando este erro sem uma numeração.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,"ZH_CN,VI",LLAMA,72.62461185455322,35.47226632497146,6.053735079430112,75.0,82.25502967834473
Internal GStreamer error: code not implemented.,Erro interno do GStreamer: código não implementado.,Erro interno no GStreamer: código não implementado.,"ZH_CN,VI",LLAMA,96.27857804298401,89.17819205751707,66.06328636027612,14.285714285714285,98.63643050193787
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro GStreamer: falha ao alterar o estado e alguns elementos não enviaram mensagens de erro corretas com uma justificativa para a causa do erro.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,"ZH_CN,VI",LLAMA,84.47142839431763,50.303091107310095,19.359517339258716,65.21739130434783,85.5095386505127
Internal GStreamer error: pad problem.,Erro interno do GStreamer: problema de preenchimento.,Erro interno no GStreamer: problema no Pad.,"ZH_CN,VI",LLAMA,71.1088478565216,66.22753152562801,23.356898886410015,42.857142857142854,84.71420407295227
Internal GStreamer error: thread problem.,Erro interno do GStreamer: problema de thread.,Erro interno no GStreamer: problema na thread.,"ZH_CN,VI",LLAMA,90.1868224143982,74.62668441286863,26.084743001221455,28.57142857142857,96.28955125808716
GStreamer error: negotiation problem.,Erro GStreamer: problema de negociação.,Erro no GStreamer: problema de negociação.,"ZH_CN,VI",LLAMA,94.69882845878601,88.45580970882672,72.89545183625967,16.666666666666664,96.68671488761902
Internal GStreamer error: event problem.,Erro interno do GStreamer: problema de eventos.,Erro interno no GStreamer: problema no evento.,"ZH_CN,VI",LLAMA,87.9723608493805,69.68397182775789,23.356898886410015,42.857142857142854,94.81714367866516
Internal GStreamer error: seek problem.,Erro interno do GStreamer: problema de busca.,Erro interno no GStreamer: problema na busca.,"ZH_CN,VI",LLAMA,93.30578446388245,74.16809886043634,26.084743001221455,28.57142857142857,96.65666818618774
