original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção : %s: nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,"FR,ID",LLAMA,46.92470064105599
can't determine current directory,impossível determinar qual é o diretório atual,não foi possível determinar o diretório atual,"FR,ID",LLAMA,26.269098944241588
can't set effective uid,impossível posicionar o proprietário efetivo (UID),não foi possível definir o uid efetivo,"FR,ID",LLAMA,6.567274736060395
"the setuid man user ""%s"" does not exist","o utilizador com privilégio setuid (seteúde) ""%s"" não existe","o usuário man setuid ""%s"" não existe","FR,ID",LLAMA,37.59663529467017
fatal: regex `%s': %s,erreur fatale : expression rationnelle « %s » : %s,"fatal: regex ""%s"": %s","FR,ID",LLAMA,16.59038701421971
multi key %s does not exist,a chave múltipla %s não existe,a multichave %s não existe,"FR,ID",LLAMA,43.47208719449914
can't lock index cache %s,impossível de bloquear o cache do índice %s,não foi possível travar o cache de índice %s,"FR,ID",LLAMA,20.90067144241745
index cache %s corrupt,o cache de índice %s está danificado,o cache de índice %s está corrompido,"FR,ID",LLAMA,84.08964152537145
cannot replace key %s,impossível de substituir a chave %s,não foi possível substituir a chave %s,"FR,ID",LLAMA,53.29462628216855
bad fetch on multi key %s,acesso inválido na chave múltipla %s,busca ruim na multichave %s,"FR,ID",LLAMA,14.535768424205482
Database %s corrupted; rebuild with mandb --create,"A base %s está corrompida, reconstrua-lá com mandb --create",Banco de dados %s corrompido; reconstrua-o com mandb --create,"FR,ID",LLAMA,17.542198478193427
"warning: %s has no version identifier
",atenção : %s não possui identificador de versão,"aviso: %s não possui identificador de versão
","FR,ID",LLAMA,86.33400213704509
"warning: %s is version %s, expecting %s
","atenção : %s a versão %s, em vez de %s","aviso: %s é versão %s, esperava-se %s
","FR,ID",LLAMA,28.65612242047131
fatal: unable to insert version identifier into %s,erro fatal : impossível inserir o identificador de versão no campo %s,fatal: não foi possível de inserir o identificador de versão em %s,"FR,ID",LLAMA,34.32413993263389
[MAN DATABASE],[BASE DE DONNÉES DO MAN],[BANDO-DE-DADOS MAN],"FR,ID",LLAMA,14.535768424205482
The man database defaults to %s%s.,A base de dados padrão é %s%s.,O banco de dados man tem como padrão %s%s.,"FR,ID",LLAMA,34.78635157752423
emit debugging messages,exibição de mensagens de depuração,emite mensagens de depuração,"FR,ID",LLAMA,39.76353643835252
can't open %s for reading,impossível abrir %s em leitura,não foi possível abrir %s para leitura,"FR,ID",LLAMA,23.263472697663296
[SECTION...],[SECTION...],[SEÇÃO...],"FR,ID",LLAMA,53.7284965911771
PATH,CHEMIN,CAMINHO,"FR,ID",LLAMA,0.0
set search path for manual pages to PATH,configurar o caminho de pesquisa para as páginas do manual em CHEMIN,define o caminho de pesquisa por páginas de manual com CAMINHO,"FR,ID",LLAMA,23.462350320527996
FILE,FICHIER,ARQUIVO,"FR,ID",LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário.,usa esse arquivo de configuração de usuário,"FR,ID",LLAMA,22.089591134157878
man command failed with exit status %d,a commande man a échoué avec %d comme code de retour,o comando man falhou com estado de saída %d,"FR,ID",LLAMA,8.054496384843702
NULL content for key: %s,conteúdo vazio (NULL) para a chave : %s,conteúdo NULL para a chave: %s,"FR,ID",LLAMA,49.616830003403614
"
Updating cat files for section %s of man hierarchy %s
","Atualização dos arquivos préformatados para a seção %s da área de trabalho do sistema operacional Linux
","
Atualizando arquivos cat para seção %s da hierarquia man %s
","FR,ID",LLAMA,15.844501337268932
cannot write within %s,impossível escrever no %s,não foi possível escrever dentro de %s,"FR,ID",LLAMA,12.975849993980741
cannot read database %s,não é possível ler a base de dados %s,não foi possível ler o banco de dados %s,"FR,ID",LLAMA,32.46679154750989
unable to update %s,impossível de atualizar %s,não foi possível de atualizar %s,"FR,ID",LLAMA,44.82700320176826
warning: %s/man%s/%s.%s*: competing extensions,atenção : %s/man%s/%s.%s* : extensões em conflito,aviso: %s/man%s/%s.%s*: extensões conflitantes,"FR,ID",LLAMA,82.77932960330115
can't update index cache %s,impossível de atualizar o cache do índice %s,não foi possível atualizar cache de índice %s,"FR,ID",LLAMA,21.10534063187263
warning: %s: bad symlink or ROFF `.so' request,atenção : %s : símbolo de ligação ou diretiva ROFF « .so » incorreto,"aviso: %s: link simbólico ruim ou requisição "".so"" ROFF","FR,ID",LLAMA,19.56475149792291
warning: %s: ignoring empty file,atenção : %s : arquivo vazio ignorado,aviso: %s: ignorando arquivo vazio,"FR,ID",LLAMA,41.11336169005198
warning: %s: whatis parse for %s(%s) failed,atenção : %s : a pesquisa de whatis sobre %s(%s) falhou,aviso: %s: análise por whatis para %s(%s) falhou,"FR,ID",LLAMA,50.7196093945688
can't search directory %s,impossível de procurar no diretório %s,não foi possível pesquisar no diretório %s,"FR,ID",LLAMA,35.64026463354184
can't chown %s,impossível alterar o proprietário de %s,não foi possível fazer chown em %s,"FR,ID",LLAMA,11.386050660556927
warning: cannot create catdir %s,atenção : impossível criar o diretório de páginas préformatadas %s,aviso: não foi possível criar o catdir %s,"FR,ID",LLAMA,11.208466750961147
can't chmod %s,impossível alterar os direitos de %s,não foi possível fazer chmod em %s,"FR,ID",LLAMA,11.386050660556927
can't change to directory %s,impossível ir ao diretório %s,não foi possível mudar para o diretório %s,"FR,ID",LLAMA,18.325568129983203
can't create index cache %s,impossível criar o cache de índice %s,não foi possível criar cache de índice %s,"FR,ID",LLAMA,47.750342648354646
Updating index cache for path `%s/%s'. Wait...,"Método de atualização do cache de índice para o caminho ""%s/%s"". Aguarde…","Atualizando o cache de índice para o caminho ""%s/%s"". Aguarde...","FR,ID",LLAMA,67.63242708339007
"done.
",terminado.,"feito.
","FR,ID",LLAMA,49.99999999999999
"Purging old database entries in %s...
",Efetivar as entradas desnecessárias de %s em execução…,"Descartando entradas antigas de banco de dados em %s...
","FR,ID",LLAMA,7.687847996206941
warning: failed to store entry for %s(%s),atenção : impossível armazenar a entrada para %s(%s),aviso: falha ao armazenar entradas para %s(%s),"FR,ID",LLAMA,50.08718428920986
PATH SECTION NAME,Caminho de Seção Nome,CAMINHO SEÇÃO NOME,"FR,ID",LLAMA,0.0
EXTENSION,EXTENSION,EXTENSÃO,"FR,ID",LLAMA,0.0
limit search to extension type EXTENSION,limite a pesquisa apenas para extensões EXTENSION,limita a pesquisa ao tipo de extensão EXTENSÃO,"FR,ID",LLAMA,11.386050660556927
look for pages case-insensitively (default),pesquisa as páginas sem distinguir maiúsculas de minúsculas (padrão),procura por páginas sem diferenciar maiúsculo de minúsculo (padrão),"FR,ID",LLAMA,18.36028134946796
look for pages case-sensitively,pesquisar as páginas distinguindo maiúsculas de minúsculas,procura por páginas diferenciando maiúsculo de minúsculo,"FR,ID",LLAMA,7.809849842300637
interpret page name as a regex,considere o nome da página como uma expressão regular,interpreta o nome da páginas como uma expressão regular,"FR,ID",LLAMA,43.167001068522545
the page name contains wildcards,o nome da página contém caracteres de jogo,o nome da página contém caracteres curingas,"FR,ID",LLAMA,68.037493331712
can't open %s,impossível abrir %s,não foi possível abrir %s,"FR,ID",LLAMA,36.06452879987789
FILE...,FICHIER...,ARQUIVO...,"FR,ID",LLAMA,59.460355750136046
The defaults are --man and --whatis.,As opções padrão são --man e --whatis.,Os padrões são --man e --whatis.,"FR,ID",LLAMA,51.697315395717055
parse as man page,lida os arquivos como páginas de manual,analisa como uma página man,"FR,ID",LLAMA,6.567274736060395
parse as cat page,lê os arquivos como páginas formatadas préviamente,analisa como uma página cat,"FR,ID",LLAMA,6.567274736060395
show whatis information,exibir informações como whatis,mostra informação whatis,"FR,ID",LLAMA,15.97357760615681
show guessed series of preprocessing filters,exibir a lista suposta de filtros de pré-processamento,mostra séries adivinhadas de filtros de pré-processamento,"FR,ID",LLAMA,34.57207846419409
ENCODING,ENCODAGE,CODIFICAÇÃO,"FR,ID",LLAMA,0.0
use selected output encoding,utilize o código de exibição escolhido.,usa a codificação de saída selecionada,"FR,ID",LLAMA,6.567274736060395
%s: incompatible options,%s : opções incompatíveis,%s: opções incompatíveis,"FR,ID",LLAMA,100.00000000000004
command exited with status %d: %s,comando concluído com %d como código de retorno : %s,o comando saiu com status %d: %s,"FR,ID",LLAMA,17.242221289766636
[SECTION] PAGE...,[SECTION] PAGE...[/SECTION],[SEÇÃO] PÁGINA...,"FR,ID",LLAMA,15.851165692617148
reset all options to their default values,reinicializa as opções para valores padrão,redefine todas opções para seus valores padrão,"FR,ID",LLAMA,19.43309443637608
WARNINGS,AVISO,AVISOS,"FR,ID",LLAMA,0.0
enable warnings from groff,avisos ativos de groff,habilita avisos do groff,"FR,ID",LLAMA,18.99589214128981
Main modes of operation:,Modos operacionais principais :,Modos principais de operação:,"FR,ID",LLAMA,16.37226966703825
equivalent to whatis,equivalente a whatis,equivalente a whatis,"FR,ID",LLAMA,100.00000000000004
equivalent to apropos,equivalente à aproximação,equivalente a apropos,"FR,ID",LLAMA,27.516060407455225
search for text in all pages,recurso o texto em todas as páginas,pesquisa pelo texto em todas as páginas,"FR,ID",LLAMA,61.47881529512643
print physical location of man page(s),exibe o local das páginas do manual,emite localização física da(s) página(s) man,"FR,ID",LLAMA,0.0
print physical location of cat file(s),exibe o local dos arquivos 'cat',emite localização física do(s) arquivo(s) cat,"FR,ID",LLAMA,0.0
interpret PAGE argument(s) as local filename(s),interpreta o argumento PAGE como um nome de arquivo,interpreta argumento(s) PÁGINA como nome(s) de arquivo(s) local(is),"FR,ID",LLAMA,3.696711021882758
used by catman to reformat out of date cat pages,utilizado por Catman para reformatar as páginas muito antigas.,usado por catman para reformatar páginas cat desatualizadas,"FR,ID",LLAMA,9.980099403873663
output source page encoded in ENCODING,a mostra o código fonte convertido em ENCODAGE,emite a página fonte codificada em CODIFICAÇÃO,"FR,ID",LLAMA,7.267884212102741
Finding manual pages:,Pesquisar páginas de manual:,Localizando as páginas de manual:,"FR,ID",LLAMA,54.75182535069452
LOCALE,LOCALE,LOCALIDADE,"FR,ID",LLAMA,0.0
define the locale for this particular man search,defina a localização para esta pesquisa de manual,define a localidade para esta pesquisa de man em particular,"FR,ID",LLAMA,28.46946938149361
SYSTEM,Sistema,SISTEMA,"FR,ID",LLAMA,0.0
use manual pages from other systems,utilize as páginas de manual de outros sistemas,usa páginas de manual para outros sistemas,"FR,ID",LLAMA,25.848657697858535
LIST,LISTE,LISTA,"FR,ID",LLAMA,0.0
use colon separated section list,utilize a lista das seções separadas por dois pontos.,usa lista de seções separada por dois-pontos,"FR,ID",LLAMA,5.522397783539471
show all pages matching regex,exibe todas as páginas correspondentes à expressão regular,mostra todas as páginas que coincidem com a expressão regular,"FR,ID",LLAMA,20.130954856436926
show all pages matching wildcard,exibe todas as páginas correspondentes ao caractere joker,mostra todas as páginas que coincidem com o caractere curinga,"FR,ID",LLAMA,17.20339087300932
"make --regex and --wildcard match page names only, not descriptions","correspondem apenas aos nomes de páginas com --regex e --wildcard, não às descrições.","faz --regex e --wildcard coincidirem apenas nomes de páginas, e não descrições","FR,ID",LLAMA,18.69300079996002
find all matching manual pages,encontra todas as páginas correspondentes,localiza todas as páginas de manual correspondentes,"FR,ID",LLAMA,28.641904579795423
force a cache consistency check,forçar uma verificação de consistência do cache,força uma verificação de consistência de cache,"FR,ID",LLAMA,43.47208719449914
"don't try subpages, e.g. 'man foo bar' => 'man foo-bar'","não prenda em conta as sub-comandos, por exemplo 'man truc bidule' => 'man truc-bidule'","não tenta subpáginas, ex.: ""man foo bar"" => ""man foo-bar""","FR,ID",LLAMA,5.133162742626526
Controlling formatted output:,Controle do formato de exibição :,Controlando saída formatada:,"FR,ID",LLAMA,8.116697886877475
PAGER,AFFICHEUR,PAGINADOR,"FR,ID",LLAMA,0.0
use program PAGER to display output,utilize do programa AFFICHEUR para o exibição,usa o programa PAGINADOR para exibir a saída,"FR,ID",LLAMA,7.492442692259767
STRING,CANAL,TEXTO,"FR,ID",LLAMA,0.0
provide the `less' pager with a prompt,Dê uma string de prompt para o programa 'less'.,"fornece ao paginador ""less"" com uma pergunta","FR,ID",LLAMA,4.196114906296549
display ASCII translation of certain latin1 chars,exibe uma versão ASCII equivalente de alguns caracteres latino1,exibe a tradução ASCII de certos caracteres latin1,"FR,ID",LLAMA,6.742555929751843
turn off hyphenation,desabilita a cesura,desliga hifenização,"FR,ID",LLAMA,0.0
turn off justification,desabilitar a justificação,desliga justificação,"FR,ID",LLAMA,27.516060407455225
"STRING indicates which preprocessors to run:
e - [n]eqn, p - pic, t - tbl,
g - grap, r - refer, v - vgrind","CHAÎNE indique os préprocesores a utilizar : e - [n]eqn, p - pic, t - tbl, g - grap, r - refer, v - vgrind","TEXTO indica quais pré-processadores serão executados:
e - [n]eqn, p - pic, t - tbl,
g - grap, r - refer, v - vgrind","FR,ID",LLAMA,80.9254967501604
use %s to format pages,utilize o comando %s para formatar as páginas.,usa %s para formatar páginas,"FR,ID",LLAMA,27.77619034011791
DEVICE,PÉRIPHÉRIQUE,DISPOSITIVO,"FR,ID",LLAMA,0.0
use %s with selected device,utilize o %s com o perif<|end_of_one_example|>er selecionado,usa %s com o dispositivo selecionado,"FR,ID",LLAMA,12.673718536830808
BROWSER,Navegador,NAVEGADOR,"FR,ID",LLAMA,0.0
use %s or BROWSER to display HTML output,utilize %s ou NAVIGATEUR para exibir HTML,usa %s ou NAVEGADOR para exibir a saída HTML,"FR,ID",LLAMA,21.069764742263047
RESOLUTION,RESOLUÇÃO,RESOLUÇÃO,"FR,ID",LLAMA,100.00000000000004
"use groff and display through gxditview (X11):
-X = -TX75, -X100 = -TX100, -X100-12 = -TX100-12","utilize groff e exiba com gditview (X11) : 
 -X = -TX75, -X100 = -TX100, -X100-12 = -TX100-12","usa groff e exibe por meio de gxditview (X11):
-X = -TX75, -X100 = -TX100, -X100-12 = -TX100-12","FR,ID",LLAMA,71.37834097652805
use groff and force it to produce ditroff,utilize o groff e forçá-lo a produzir ditroff.,usa groff e força-o a produzir ditroff,"FR,ID",LLAMA,22.31618068926665
"No manual entry for %s
",Não há entrada de manual para %s,"Nenhuma entrada de manual para %s
","FR,ID",LLAMA,68.037493331712
"(Alternatively, what manual page do you want from section %s?)
","(Sinon, qual página do manual da seção %s você deseja ler ?)","(Alternativamente, qual a página de manual desejada da seção %s?)
","FR,ID",LLAMA,22.40152136940136
"What manual page do you want?
",Qual página do manual você deseja ver ?,"Qual a página de manual desejada?
","FR,ID",LLAMA,7.809849842300637
"No manual entry for %s in section %s
","Não há entrada de manual para %s na seção %s
","Nenhuma entrada de manual para %s na seção %s
","FR,ID",LLAMA,80.70557274927978
"See '%s' for help when manual pages are not available.
",veja « %s » para obter ajuda quando as páginas do manual não estão disponíveis.,"Veja ""%s"" para ajuda quando as páginas de manual não estiverem disponíveis.
","FR,ID",LLAMA,21.92534486373552
ignoring unknown preprocessor `%c',"o préprocesseur ""%c"" é desconhecido e ignorado.","ignorando pré-processador desconhecido ""%c""","FR,ID",LLAMA,24.808415001701817
can't rename %s to %s,impossível de renomear %s em %s,não foi possível renomear %s para %s,"FR,ID",LLAMA,22.811360354329615
can't set times on %s,impossível alterar a data de %s,não foi possível definir os horários de %s,"FR,ID",LLAMA,18.370727471078336
can't unlink %s,não é possível remover %s,não foi possível remover o link %s,"FR,ID",LLAMA,17.39350277271197
can't create temporary cat for %s,impossível criar uma página temporária de cat para %s,não foi possível criar o cat temporário para %s,"FR,ID",LLAMA,17.747405280050266
can't create temporary directory,não é possível criar o diretório temporário,não foi possível criar o diretório temporário,"FR,ID",LLAMA,64.34588841607616
can't open temporary file %s,impossível abrir o arquivo temporário %s,não foi possível abrir o arquivo temporário %s,"FR,ID",LLAMA,60.80253214198355
can't remove directory %s,impossível de remover o diretório %s,não foi possível remover o diretório %s,"FR,ID",LLAMA,53.29462628216855
"--Man-- next: %s [ view (return) | skip (Ctrl-D) | quit (Ctrl-C) ]
","--Man-- próximo : %s [ ver (entrada) | avançar (Ctrl-D) | sair (Ctrl-C) ]
","--Man-- próxima: %s [ ver (Enter) | pular (Ctrl-D) | sair (Ctrl-C) ]
","FR,ID",LLAMA,64.55651607183005
"
cannot write to %s in catman mode",impossível escrever para %s em modo catman,"
não foi possível escrever em %s no modo catman","FR,ID",LLAMA,13.462380890160203
Can't convert %s to cat name,impossível converter %s em nome de página préformatada,Não foi possível converter %s para um nome cat,"FR,ID",LLAMA,17.0653267718276
"%s: relying on whatis refs is deprecated
","%s : é recomendado não mais se basear nas referências do whatis
","%s: o uso de whatis refs está obsoleto
","FR,ID",LLAMA,12.35622127262679
mandb command failed with exit status %d,a commande mandb falhou com o código de retorno %d,o comando mandb falhou com status de saída %d,"FR,ID",LLAMA,19.081654556856684
internal error: candidate type %d out of range,erro interno : o tipo candidato %d está fora do alcance,erro interno: tipo de candidato %d fora da faixa,"FR,ID",LLAMA,22.781556051062047
 Manual page ,Página de manual, Página de manual ,"FR,ID",LLAMA,100.00000000000004
CODE,CODIGO,CÓDIGO,"FR,ID",LLAMA,0.0
encoding for output,codificação de exibição,codificação para a saída,"FR,ID",LLAMA,19.716118825581447
produce fewer warnings,crée moins d'avertissements,produz menos avisos,"FR,ID",LLAMA,0.0
must specify an output encoding,o código de saída deve ser especificado,deve-se especificar uma codificação de saída,"FR,ID",LLAMA,13.134549472120788
can't remove %s,impossível de remover %s,não foi possível remover %s,"FR,ID",LLAMA,32.555630133216134
can't write to standard output,impossível escrever para a saída padrão,não foi possível escrever para a saída padrão,"FR,ID",LLAMA,54.44460596606694
iconv: incomplete character at end of buffer,iconv : caractere incompleto no final do buffer,iconv: caractere incompleto no final do buffer,"FR,ID",LLAMA,100.00000000000004
[-f CODE[:...]] -t CODE [FILENAME],-f CODE[:...] -t CODE [NOM_DE_FICHIER],[-f CÓDIGO[:...]] -t CÓDIGO [NOME-DE-ARQUIVO],"FR,ID",LLAMA,33.50704079514751
CODE[:...],falha na verificação: a linha %<PRIuMAX> possui %<PRIuMAX> campos (esperado %<PRIuMAX>),CÓDIGO[:...],"FR,ID",LLAMA,1.6466642419110007
possible encodings of original text,codificações possíveis do texto original,codificações possíveis do texto original,"FR,ID",LLAMA,100.00000000000004
[MANPATH],[MANPATH],[CAMINHO-MAN],"FR,ID",LLAMA,34.66806371753173
"work quietly, except for 'bogus' warning",não exibe nada além dos avisos de dano funcional,"trabalha silenciosamente, exceto para aviso de erro","FR,ID",LLAMA,4.767707020457095
don't look for or add stray cats to the dbs,não procura nem adiciona arquivos 'cat' parasitas na base de dados.,não procura ou adiciona cats errantes aos bancos de dados,"FR,ID",LLAMA,10.127993013562818
don't purge obsolete entries from the dbs,Não remova as entradas obsoletas da base de dados.,não descarta entradas obsoletas dos bancos de dados,"FR,ID",LLAMA,11.868405219520975
produce user databases only,produz apenas as bases de usuário,produz apenas bancos de dados de usuário,"FR,ID",LLAMA,19.43309443637608
"create dbs from scratch, rather than updating",crée les bases du début plutôt qu'une mise à jour,"cria banco de dados do zero, ao invés de atualizá-los","FR,ID",LLAMA,0.0
check manual pages for correctness,verifique a validade das páginas de manual do sistema,verifica a exatidão de páginas de manual,"FR,ID",LLAMA,19.070828081828378
FILENAME,NOM_DE_FICHIER,NOME-DE-ARQUIVO,"FR,ID",LLAMA,0.0
update just the entry for this filename,atualizei apenas a entrada correspondente ao este nome de ficheiro,atualiza apenas a entrada deste nome de arquivo,"FR,ID",LLAMA,19.64073254502565
can't write to %s,impossível escrever no %s,não posso escrever em %s,"FR,ID",LLAMA,19.3576934939088
can't read from %s,impossível de ler a partir de %s,não foi possível ler de %s,"FR,ID",LLAMA,22.089591134157878
"Processing manual pages under %s...
",Tratamento das páginas do manual sob %s…,"Processando as páginas de manual sob %s...
","FR,ID",LLAMA,15.181939159382823
"Removing obsolete cat directory %s...
",Supressão do diretório cat obsoleto %s…,"Removendo diretório cat obsoleto %s...
","FR,ID",LLAMA,30.895757752065425
"warning: no MANDB_MAP directives in %s, using your manpath","atenção : não há diretiva MANDB_MAP no %s, seu caminho do manpath está sendo utilizado","aviso: nenhuma diretiva MANDB_MAP em %s, usando o seu caminho man","FR,ID",LLAMA,20.973425791310696
No databases created.,Nenhuma base de dados foi criada.,Nenhum banco de dados criado.,"FR,ID",LLAMA,14.535768424205482
can't make sense of the manpath configuration file %s,o arquivo de configuração do manpath %s é estranho,não há sentido algum no arquivo de configuração de caminho man %s,"FR,ID",LLAMA,14.55021253689141
warning: %s,atenção : %s,aviso: %s,"FR,ID",LLAMA,59.460355750136046
warning: %s isn't a directory,atenção : %s não é um diretório,aviso: %s não é um diretório,"FR,ID",LLAMA,84.08964152537145
warning: $PATH not set,atenção : a variável $PATH não está posicionada,aviso: $PATH não definido,"FR,ID",LLAMA,19.070828081828378
warning: empty $PATH,atenção : a variável $PATH está vazia,aviso: $PATH vazio,"FR,ID",LLAMA,12.22307556087252
"warning: $MANPATH set, prepending %s","atenção : a variável $MANPATH está posicionada, ela é precedida de %s","aviso: $MANPATH definido, acrescentando %s ao início","FR,ID",LLAMA,8.225964699966553
"warning: $MANPATH set, appending %s","atenção : a variável $MANPATH está posicionada, ela é seguida de %s","aviso: $MANPATH definido, acrescentando %s ao final","FR,ID",LLAMA,8.225964699966553
"warning: $MANPATH set, inserting %s","atenção : a variável $MANPATH está posicionada, %s é inserido","aviso: $MANPATH definido, inserindo %s","FR,ID",LLAMA,9.669265690880861
"warning: $MANPATH set, ignoring %s","atenção : a variável $MANPATH está posicionada, %s é ignorado.","aviso: $MANPATH definido, ignorando %s","FR,ID",LLAMA,8.889175589171739
can't parse directory list `%s',impossível de percorrer a lista de diretório '%s',"não foi possível analisar a lista de diretórios ""%s""","FR,ID",LLAMA,13.741953268935676
can't open the manpath configuration file %s,impossível abrir o arquivo de configuração do manpath %s,não foi possível abrir o arquivo de configuração do caminho man %s,"FR,ID",LLAMA,43.073448401045624
warning: mandatory directory %s doesn't exist,atenção : o diretório requerido %s não existe,aviso: diretório obrigatório %s não existe,"FR,ID",LLAMA,33.03164318013809
warning: %s does not begin with %s,atenção : %s não começa por %s,aviso: %s não começa com %s,"FR,ID",LLAMA,51.33450480401705
show relative catpaths,exibe os caminhos de acesso relativos às páginas '\ cat '.,mostra caminhos cat relativos,"FR,ID",LLAMA,4.065425428798724
show the entire global manpath,exibe os caminhos completos das páginas de manual do sistema operacional,mostra o caminho man global inteiro,"FR,ID",LLAMA,0.0
warning: no global manpaths set in config file %s,atenção : não há caminho de páginas do manual no arquivo de configuração %s,aviso: nenhum caminho man global definido no arquivo de configuração %s,"FR,ID",LLAMA,34.79159475128448
"Checking for stray cats under %s...
",Pesquisa de arquivos préformatados sem fontes sob %s…,"Verificando por cats errantes sob %s...
","FR,ID",LLAMA,8.532663385913803
warning: %s is a dangling symlink,atenção : %s é um link simbólico flutuante,aviso: %s é um link simbólico perdido,"FR,ID",LLAMA,72.59795291154772
can't resolve %s,impossível de resolver %s,não foi possível resolver %s,"FR,ID",LLAMA,32.555630133216134
%s is self referencing,%s s'auto-référence,%s referencia a si mesmo,"FR,ID",LLAMA,20.24518585186855
KEYWORD...,MOT-CLEF... (continuação da tradução necessária),PALAVRA-CHAVE...,"FR,ID",LLAMA,15.619699684601283
The --regex option is enabled by default.,A opção --regex está habilitada por padrão.,A opção --regex está habilitada por padrão.,"FR,ID",LLAMA,100.00000000000004
print verbose warning messages,exibição de mensagens avisatórias extensas,emite mensagens de aviso detalhadas,"FR,ID",LLAMA,12.703318703865365
interpret each keyword as a regex,interpreta cada palavra-chave como uma expressão regular,interpreta cada palavra-chave como uma expressão regular,"FR,ID",LLAMA,100.00000000000004
search each keyword for exact match,pesquisar uma correspondência exata para cada palavra chave,pesquisa cada palavra-chave por correspondência exata,"FR,ID",LLAMA,12.22307556087252
the keyword(s) contain wildcards,as palavras-chave contêm jokers,a(s) palavra-chave(s) não podem conter caracteres coringas,"FR,ID",LLAMA,0.0
require all keywords to match,todos os palavrões devem corresponder,exige correspondência de todas as palavra-chaves,"FR,ID",LLAMA,0.0
do not trim output to terminal width,não reduz o tamanho da exibição à largura do terminal,não corta a saída para a largura do terminal,"FR,ID",LLAMA,16.784459625186194
search only these sections (colon-separated),relação limitada a essas seções (separadas por dois pontos),pesquisa apenas nestas seções (separadas por dois-pontos),"FR,ID",LLAMA,24.808415001701817
define the locale for this search,defina a localização para esta pesquisa,define a localidade para esta pesquisa,"FR,ID",LLAMA,32.46679154750991
"%s what?
","%s comentar?
","%s o quê?
","FR,ID",LLAMA,27.534765745159184
warning: %s contains a pointer loop,atenção : %s contém uma referência circular,aviso: %s contém um laço de ponteiros,"FR,ID",LLAMA,30.509752160562883
(unknown subject),(sujet inconnu),(assunto desconhecido),"FR,ID",LLAMA,18.99589214128981
"%s: nothing appropriate.
",%s : nada adequado.,"%s: nada apropriado.
","FR,ID",LLAMA,53.7284965911771
