original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção: %s: nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,VI,LLAMA,46.92470064105599
can't determine current directory,não é possível determinar qual é o diretório atual,não foi possível determinar o diretório atual,VI,LLAMA,23.356898886410015
can't set effective uid,impossível de posicionar o proprietário (UID) efetivo,não foi possível definir o uid efetivo,VI,LLAMA,5.669791110976001
"the setuid man user ""%s"" does not exist","o utilizador com privilégio setuid ""%s"" não existe","o usuário man setuid ""%s"" não existe",VI,LLAMA,59.00468726392806
fatal: regex `%s': %s,"erro fatal: expressão racional ""%s"": %s","fatal: regex ""%s"": %s",VI,LLAMA,57.067457770559976
multi key %s does not exist,a chave múltipla %s não existe,a multichave %s não existe,VI,LLAMA,43.47208719449914
can't lock index cache %s,não é possível verificar o bloqueio do cache de índice %s,não foi possível travar o cache de índice %s,VI,LLAMA,35.65506208559251
index cache %s corrupt,o cache de índice %s está danificado,o cache de índice %s está corrompido,VI,LLAMA,84.08964152537145
cannot replace key %s,não é possível substituir a chave %s,não foi possível substituir a chave %s,VI,LLAMA,70.71067811865478
bad fetch on multi key %s,acesso inválido para a chave múltipla %s,busca ruim na multichave %s,VI,LLAMA,11.044795567078939
Database %s corrupted; rebuild with mandb --create,A base de dados %s está corrompida; reconstrua-a com o comando 'mandb -- create'.,Banco de dados %s corrompido; reconstrua-o com mandb --create,VI,LLAMA,15.844501337268932
"warning: %s has no version identifier
",cãonh báo: %s n't ter identificação de versão,"aviso: %s não possui identificador de versão
",VI,LLAMA,19.64073254502565
"warning: %s is version %s, expecting %s
","cão báfio: %s é a versão %s, em vez de %s
","aviso: %s é versão %s, esperava-se %s
",VI,LLAMA,33.64932442330151
fatal: unable to insert version identifier into %s,erro fatal : impossível inserir o identificador de versão no campo %s,fatal: não foi possível de inserir o identificador de versão em %s,VI,LLAMA,34.32413993263389
[MAN DATABASE],[BASE DE DONNÉES DE MAN],[BANDO-DE-DADOS MAN],VI,LLAMA,14.535768424205482
The man database defaults to %s%s.,A base de dados padrão possui o valor mínimo %s%s.,O banco de dados man tem como padrão %s%s.,VI,LLAMA,31.61487584488944
emit debugging messages,exibição dos mensagens de depuração,emite mensagens de depuração,VI,LLAMA,39.76353643835252
can't open %s for reading,não é possível abrir %s em leitura,não foi possível abrir %s para leitura,VI,LLAMA,38.260294162784454
[SECTION...],[SECTION...],[SEÇÃO...],VI,LLAMA,53.7284965911771
PATH,Caminho químico,CAMINHO,VI,LLAMA,0.0
set search path for manual pages to PATH,configuração do caminho de pesquisa para as páginas dos manuais a CHEMIN,define o caminho de pesquisa por páginas de manual com CAMINHO,VI,LLAMA,13.545994273378144
FILE,Ficheiro,ARQUIVO,VI,LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário,usa esse arquivo de configuração de usuário,VI,LLAMA,26.269098944241588
man command failed with exit status %d,a commande 'man' falhou com o código de retorno %d,o comando man falhou com estado de saída %d,VI,LLAMA,11.731175160263996
NULL content for key: %s,conteúdo vazio (NULL) para a chave : %s,conteúdo NULL para a chave: %s,VI,LLAMA,49.616830003403614
"
Updating cat files for section %s of man hierarchy %s
",Atualização dos arquivos préformatados para a seção %s da parte %s,"
Atualizando arquivos cat para seção %s da hierarquia man %s
",VI,LLAMA,24.71244254525359
cannot write within %s,não é possível escrever no %s,não foi possível escrever dentro de %s,VI,LLAMA,17.026116978186884
cannot read database %s,não é possível ler a base de dados %s,não foi possível ler o banco de dados %s,VI,LLAMA,32.46679154750989
unable to update %s,não é possível atualizar %s,não foi possível de atualizar %s,VI,LLAMA,29.05925408079185
warning: %s/man%s/%s.%s*: competing extensions,cão báfio: %s/man%s/%s.%s* : extensões em conflito,aviso: %s/man%s/%s.%s*: extensões conflitantes,VI,LLAMA,78.28785637123033
can't update index cache %s,não é possível atualizar o cache de index %s,não foi possível atualizar cache de índice %s,VI,LLAMA,15.106876986783844
warning: %s: bad symlink or ROFF `.so' request,"cão báfio: %s: símbolo de ligação ou comando ROFF inválido, '.so' não é reconhecido.","aviso: %s: link simbólico ruim ou requisição "".so"" ROFF",VI,LLAMA,13.076558875109015
warning: %s: ignoring empty file,cãonh báo: %s: fichier vazio ignorado,aviso: %s: ignorando arquivo vazio,VI,LLAMA,31.55984539112946
warning: %s: whatis parse for %s(%s) failed,cão báfio: %s: a tarefa de separação do tipo 'whatis' (o que é?) para '%s(%s)' falhou.,aviso: %s: análise por whatis para %s(%s) falhou,VI,LLAMA,24.32822124251244
can't search directory %s,não é possível procurar no diretório %s,não foi possível pesquisar no diretório %s,VI,LLAMA,38.260294162784454
can't chown %s,não é possível alterar o proprietário do arquivo %s,não foi possível fazer chown em %s,VI,LLAMA,9.980099403873663
warning: cannot create catdir %s,coração báfio: não é possível criar o diretório de páginas préformatas %s,aviso: não foi possível criar o catdir %s,VI,LLAMA,15.537125692760354
can't chmod %s,não é possível alterar os direitos de %s,não foi possível fazer chmod em %s,VI,LLAMA,11.339582221952005
can't change to directory %s,não é possível ir para o diretório %s,não foi possível mudar para o diretório %s,VI,LLAMA,48.54917717073236
can't create index cache %s,não é possível criar o cache de índice %s,não foi possível criar cache de índice %s,VI,LLAMA,46.713797772819994
Updating index cache for path `%s/%s'. Wait...,"Atualização do cache de índice para o caminho ""%s/%s"". Aguarde…","Atualizando o cache de índice para o caminho ""%s/%s"". Aguarde...",VI,LLAMA,67.50315590375331
"done.
",concluído.,"feito.
",VI,LLAMA,49.99999999999999
"Purging old database entries in %s...
",Efetivando a exclusão de entradas desnecessárias do diretório %s…,"Descartando entradas antigas de banco de dados em %s...
",VI,LLAMA,4.091092899898373
warning: failed to store entry for %s(%s),cãonh báo: gặp lỗi khi lưu trữ mục tin cho '%s(%s)',aviso: falha ao armazenar entradas para %s(%s),VI,LLAMA,25.921705371356865
PATH SECTION NAME,Caminho do Seção Nome,CAMINHO SEÇÃO NOME,VI,LLAMA,0.0
EXTENSION,EXTENSION,EXTENSÃO,VI,LLAMA,0.0
limit search to extension type EXTENSION,limite a pesquisa apenas à extensões EXTENSION,limita a pesquisa ao tipo de extensão EXTENSÃO,VI,LLAMA,11.386050660556927
look for pages case-insensitively (default),pesquisar as páginas sem distinguir maiúsculas das minúsculas (padrão),procura por páginas sem diferenciar maiúsculo de minúsculo (padrão),VI,LLAMA,17.542198478193427
look for pages case-sensitively,realce as letras maiúsculas e minúsculas para diferenciar entre páginas,procura por páginas diferenciando maiúsculo de minúsculo,VI,LLAMA,4.196114906296549
interpret page name as a regex,considere o nome da página como uma expressão lógica,interpreta o nome da páginas como uma expressão regular,VI,LLAMA,29.84745896009822
the page name contains wildcards,o nome da página contém caracteres de jogo,o nome da página contém caracteres curingas,VI,LLAMA,68.037493331712
can't open %s,não é possível abrir %s,não foi possível abrir %s,VI,LLAMA,53.7284965911771
FILE...,Ficheiro...,ARQUIVO...,VI,LLAMA,59.460355750136046
The defaults are --man and --whatis.,As opções padrão são --man e --whatis.,Os padrões são --man e --whatis.,VI,LLAMA,51.697315395717055
parse as man page,realiza o perfil dos arquivos como páginas de manual,analisa como uma página man,VI,LLAMA,4.767707020457095
parse as cat page,lê os arquivos como páginas préformatadas,analisa como uma página cat,VI,LLAMA,8.116697886877475
show whatis information,exibir informações como whatis (o que é),mostra informação whatis,VI,LLAMA,4.767707020457095
show guessed series of preprocessing filters,exibir a lista suposta de filtros pré-processamento,mostra séries adivinhadas de filtros de pré-processamento,VI,LLAMA,14.535768424205482
ENCODING,ENCODAGE,CODIFICAÇÃO,VI,LLAMA,0.0
use selected output encoding,utilize o encodificador de caracteres escolhido para a exibição do sistema operacional.,usa a codificação de saída selecionada,VI,LLAMA,3.673526562988939
%s: incompatible options,%s: cátches opcois incompatíveis entre si,%s: opções incompatíveis,VI,LLAMA,22.089591134157878
command exited with status %d: %s,comando concluído com trágico código de retorno %d: '%s'.,o comando saiu com status %d: %s,VI,LLAMA,12.571192676522521
[SECTION] PAGE...,[PHẦN] TRANG...,[SEÇÃO] PÁGINA...,VI,LLAMA,27.77619034011791
reset all options to their default values,reinicialize as valores padrão das opções,redefine todas opções para seus valores padrão,VI,LLAMA,15.207218222740094
WARNINGS,AVISO_CADASTROS,AVISOS,VI,LLAMA,0.0
enable warnings from groff,ativar os avisos de groff,habilita avisos do groff,VI,LLAMA,12.703318703865365
Main modes of operation:,Modos operacionais principais:,Modos principais de operação:,VI,LLAMA,16.37226966703825
equivalent to whatis,equivalente ao que é,equivalente a whatis,VI,LLAMA,15.97357760615681
equivalent to apropos,equivalente a aproximadamente igual ao apropos,equivalente a apropos,VI,LLAMA,17.965205598154213
search for text in all pages,recurra a pesquisa do texto em todas as páginas,pesquisa pelo texto em todas as páginas,VI,LLAMA,46.713797772819994
print physical location of man page(s),exibir o local das páginas do manual,emite localização física da(s) página(s) man,VI,LLAMA,0.0
print physical location of cat file(s),exibir o local dos arquivos cat,emite localização física do(s) arquivo(s) cat,VI,LLAMA,2.9859662827819125
interpret PAGE argument(s) as local filename(s),interpreta o argumento PAGE como um nome de arquivo,interpreta argumento(s) PÁGINA como nome(s) de arquivo(s) local(is),VI,LLAMA,3.696711021882758
used by catman to reformat out of date cat pages,utilizado por Catman para reformatar as páginas muito antigas.,usado por catman para reformatar páginas cat desatualizadas,VI,LLAMA,9.980099403873663
output source page encoded in ENCODING,exibir o código fonte convertido em ENCODAGE,emite a página fonte codificada em CODIFICAÇÃO,VI,LLAMA,7.809849842300637
Finding manual pages:,Recherche des pages de manuel :,Localizando as páginas de manual:,VI,LLAMA,9.652434877402245
LOCALE,LOCALE,LOCALIDADE,VI,LLAMA,0.0
define the locale for this particular man search,defina a localização para esta pesquisa de manual,define a localidade para esta pesquisa de man em particular,VI,LLAMA,28.46946938149361
SYSTEM,Sistema,SISTEMA,VI,LLAMA,0.0
use manual pages from other systems,utilize as páginas de manual do sistema alvo para obter orientações adicionais.,usa páginas de manual para outros sistemas,VI,LLAMA,12.35622127262679
LIST,LISTA,LISTA,VI,LLAMA,100.00000000000004
use colon separated section list,utilize a lista de seções separadas por dois pontos.,usa lista de seções separada por dois-pontos,VI,LLAMA,16.784459625186194
show all pages matching regex,montre todas as páginas correspondentes à expressão matemática,mostra todas as páginas que coincidem com a expressão regular,VI,LLAMA,17.20339087300932
show all pages matching wildcard,montre todas as páginas correspondentes ao caractere joker,mostra todas as páginas que coincidem com o caractere curinga,VI,LLAMA,17.20339087300932
"make --regex and --wildcard match page names only, not descriptions","correspondem apenas aos nomes de páginas com --regex e --wildcard, não às descrições.","faz --regex e --wildcard coincidirem apenas nomes de páginas, e não descrições",VI,LLAMA,18.69300079996002
find all matching manual pages,encontra todas as páginas correspondentes,localiza todas as páginas de manual correspondentes,VI,LLAMA,28.641904579795423
force a cache consistency check,forçar uma verificação de consistência do cache,força uma verificação de consistência de cache,VI,LLAMA,43.47208719449914
"don't try subpages, e.g. 'man foo bar' => 'man foo-bar'","Não prenda em conta as subcomandos, por exemplo ‘man truc bidule’ => 'man truc-bidule'.","não tenta subpáginas, ex.: ""man foo bar"" => ""man foo-bar""",VI,LLAMA,5.128598690816964
Controlling formatted output:,Controle do formato de exibição:,Controlando saída formatada:,VI,LLAMA,8.116697886877475
PAGER,AFFICHEUR,PAGINADOR,VI,LLAMA,0.0
use program PAGER to display output,utilize do programa AFFICHEUR para o exibição.,usa o programa PAGINADOR para exibir a saída,VI,LLAMA,7.267884212102741
STRING,Caminho,TEXTO,VI,LLAMA,0.0
