original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção: %s: nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,DE,LLAMA,46.92470064105599
can't determine current directory,não foi possível determinar qual é o diretório atual,não foi possível determinar o diretório atual,DE,LLAMA,43.167001068522545
can't set effective uid,impossível posicionar o proprietário efetivo (UID),não foi possível definir o uid efetivo,DE,LLAMA,6.567274736060395
"the setuid man user ""%s"" does not exist","o utilizador de privilégio setuid ""%s"" não existe","o usuário man setuid ""%s"" não existe",DE,LLAMA,59.00468726392806
fatal: regex `%s': %s,"erro fatal: expressão racional ""%s"": %s","fatal: regex ""%s"": %s",DE,LLAMA,57.067457770559976
multi key %s does not exist,A chave múltipla %s não existe,a multichave %s não existe,DE,LLAMA,41.11336169005198
can't lock index cache %s,não é possível bloquear o cache de índice %s,não foi possível travar o cache de índice %s,DE,LLAMA,55.55238068023578
index cache %s corrupt,o cache de índice %s está danificado,o cache de índice %s está corrompido,DE,LLAMA,84.08964152537145
cannot replace key %s,impossível de substituir a chave %s,não foi possível substituir a chave %s,DE,LLAMA,53.29462628216855
bad fetch on multi key %s,acesso inválido para chave múltipla %s,busca ruim na multichave %s,DE,LLAMA,13.134549472120788
Database %s corrupted; rebuild with mandb --create,"A base de dados %s está corrompida, reconstrua-lá com mandb --create.",Banco de dados %s corrompido; reconstrua-o com mandb --create,DE,LLAMA,25.712008025141323
"warning: %s has no version identifier
",Atenção: %s não possui identificador de versão,"aviso: %s não possui identificador de versão
",DE,LLAMA,86.33400213704509
"warning: %s is version %s, expecting %s
",Atenção: %s tem versão %d ao invés de %<PRIuMAX>.,"aviso: %s é versão %s, esperava-se %s
",DE,LLAMA,11.980914528565991
fatal: unable to insert version identifier into %s,erro fatal : impossível inserir a versão %s no campo especificado,fatal: não foi possível de inserir o identificador de versão em %s,DE,LLAMA,8.972971553870872
[MAN DATABASE],[HANDBUCHDATENBANK] DEMANDOS DA FONTE BRASILEIRA,[BANDO-DE-DADOS MAN],DE,LLAMA,7.809849842300637
The man database defaults to %s%s.,A base de dados padrão é %s%s.,O banco de dados man tem como padrão %s%s.,DE,LLAMA,34.78635157752423
emit debugging messages,exibição de mensagens para depuração,emite mensagens de depuração,DE,LLAMA,14.058533129758727
can't open %s for reading,não é possível abrir %s em leitura.,não foi possível abrir %s para leitura,DE,LLAMA,33.03164318013809
[SECTION...],[ABSCHNITT ...] (original text with variables replaced by their respective translations),[SEÇÃO...],DE,LLAMA,15.13851459876605
PATH,Caminho químico,CAMINHO,DE,LLAMA,0.0
set search path for manual pages to PATH,configurar o caminho de pesquisa para as páginas do manual no CHEMIN,define o caminho de pesquisa por páginas de manual com CAMINHO,DE,LLAMA,23.462350320527996
FILE,FICHIER,ARQUIVO,DE,LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário.,usa esse arquivo de configuração de usuário,DE,LLAMA,22.089591134157878
man command failed with exit status %d,a commande 'man' falhou com o código de retorno %d,o comando man falhou com estado de saída %d,DE,LLAMA,11.731175160263996
NULL content for key: %s,Contêiner vazio para chave : %s,conteúdo NULL para a chave: %s,DE,LLAMA,37.68499164492418
"
Updating cat files for section %s of man hierarchy %s
",Atualização dos arquivos préformatados para a seção %s da documentação do sistema %s.,"
Atualizando arquivos cat para seção %s da hierarquia man %s
",DE,LLAMA,19.56475149792291
cannot write within %s,não é possível escrever no %s,não foi possível escrever dentro de %s,DE,LLAMA,17.026116978186884
cannot read database %s,não é possível ler a base de dados %s,não foi possível ler o banco de dados %s,DE,LLAMA,32.46679154750989
unable to update %s,não é possível atualizar %s,não foi possível de atualizar %s,DE,LLAMA,29.05925408079185
warning: %s/man%s/%s.%s*: competing extensions,Atenção: %s/man%s/%s.%s*: extensões em conflito,aviso: %s/man%s/%s.%s*: extensões conflitantes,DE,LLAMA,82.77932960330115
can't update index cache %s,impossível de atualizar o cache do índice %s,não foi possível atualizar cache de índice %s,DE,LLAMA,21.10534063187263
warning: %s: bad symlink or ROFF `.so' request,Atenção: %s - a ligação simbólica ou diretiva ROFF para o arquivo '.so'' é inválida,"aviso: %s: link simbólico ruim ou requisição "".so"" ROFF",DE,LLAMA,8.961672320242714
warning: %s: ignoring empty file,Atenção: %s: arquivo vazio ignorado,aviso: %s: ignorando arquivo vazio,DE,LLAMA,41.11336169005198
warning: %s: whatis parse for %s(%s) failed,Atenção: %s - a procura do whatis sobre %s(%s) falhou,aviso: %s: análise por whatis para %s(%s) falhou,DE,LLAMA,43.85068972747104
can't search directory %s,não é possível procurar no diretório %s,não foi possível pesquisar no diretório %s,DE,LLAMA,38.260294162784454
can't chown %s,impossível alterar o proprietário de %s,não foi possível fazer chown em %s,DE,LLAMA,11.386050660556927
warning: cannot create catdir %s,atenção : impossível criar o diretório de páginas préformatas %s,aviso: não foi possível criar o catdir %s,DE,LLAMA,11.208466750961147
can't chmod %s,não é possível alterar os direitos de %s,não foi possível fazer chmod em %s,DE,LLAMA,11.339582221952005
can't change to directory %s,não foi possível ir para o diretório %s,não foi possível mudar para o diretório %s,DE,LLAMA,59.694917920196445
can't create index cache %s,não é possível criar o cache de índice %s,não foi possível criar cache de índice %s,DE,LLAMA,46.713797772819994
Updating index cache for path `%s/%s'. Wait...,"Atualização do cache de índice para o caminho ""%s/%s"". Por favor, espere ...","Atualizando o cache de índice para o caminho ""%s/%s"". Aguarde...",DE,LLAMA,64.3604545490784
"done.
",fim de tarefa.,"feito.
",DE,LLAMA,15.97357760615681
"Purging old database entries in %s...
",Eliminação de entradas desnecessárias em %s ...,"Descartando entradas antigas de banco de dados em %s...
",DE,LLAMA,41.15421581016571
warning: failed to store entry for %s(%s),Atenção: impossível armazenar a entrada para (%s)%s,aviso: falha ao armazenar entradas para %s(%s),DE,LLAMA,25.450938600202846
PATH SECTION NAME,Nome do Caminho de Combustível,CAMINHO SEÇÃO NOME,DE,LLAMA,0.0
EXTENSION,EXTENSION,EXTENSÃO,DE,LLAMA,0.0
limit search to extension type EXTENSION,limite a pesquisa apenas à extensões EXTENSION,limita a pesquisa ao tipo de extensão EXTENSÃO,DE,LLAMA,11.386050660556927
look for pages case-insensitively (default),pesquisar as páginas sem diferenciar maiúsculas e minúsculas (padrão),procura por páginas sem diferenciar maiúsculo de minúsculo (padrão),DE,LLAMA,23.462350320527996
look for pages case-sensitively,buscar as páginas distinguindo a caixa alta e baixa,procura por páginas diferenciando maiúsculo de minúsculo,DE,LLAMA,4.767707020457095
interpret page name as a regex,considere o nome da página como uma expressão regular,interpreta o nome da páginas como uma expressão regular,DE,LLAMA,43.167001068522545
the page name contains wildcards,o nome da página contém caracteres de jogo,o nome da página contém caracteres curingas,DE,LLAMA,68.037493331712
can't open %s,%s não pode ser aberto.,não foi possível abrir %s,DE,LLAMA,14.535768424205482
FILE...,FICHIER...,ARQUIVO...,DE,LLAMA,59.460355750136046
The defaults are --man and --whatis.,As opções padrão são --man e --whatis.,Os padrões são --man e --whatis.,DE,LLAMA,51.697315395717055
parse as man page,carrega os arquivos como páginas de manual do livro,analisa como uma página man,DE,LLAMA,4.767707020457095
parse as cat page,lê os arquivos como páginas préformatadas,analisa como uma página cat,DE,LLAMA,8.116697886877475
show whatis information,exibir os renseignements como whatis,mostra informação whatis,DE,LLAMA,10.682175159905848
show guessed series of preprocessing filters,exibir a suposta série de filtros de pré-processamento,mostra séries adivinhadas de filtros de pré-processamento,DE,LLAMA,34.57207846419409
ENCODING,Codificação ENCODAGE,CODIFICAÇÃO,DE,LLAMA,0.0
use selected output encoding,utilize a codificação de saída escolhida,usa a codificação de saída selecionada,DE,LLAMA,50.81327481546149
%s: incompatible options,%s: opções incompatíveis,%s: opções incompatíveis,DE,LLAMA,100.00000000000004
command exited with status %d: %s,comando concluído com %d como código de retorno : %s,o comando saiu com status %d: %s,DE,LLAMA,17.242221289766636
[SECTION] PAGE...,[ABSCHNITT] SEÇÃO ...,[SEÇÃO] PÁGINA...,DE,LLAMA,29.071536848410968
reset all options to their default values,reinicializa as opções para seus valores padrão,redefine todas opções para seus valores padrão,DE,LLAMA,61.47881529512643
WARNINGS,AVISO,AVISOS,DE,LLAMA,0.0
enable warnings from groff,ativar avisos de groff,habilita avisos do groff,DE,LLAMA,18.99589214128981
Main modes of operation:,Modos operacionais principais:,Modos principais de operação:,DE,LLAMA,16.37226966703825
equivalent to whatis,equivalente a whatis,equivalente a whatis,DE,LLAMA,100.00000000000004
equivalent to apropos,equivalente à apropos,equivalente a apropos,DE,LLAMA,34.66806371753173
search for text in all pages,busque o texto em todas as páginas,pesquisa pelo texto em todas as páginas,DE,LLAMA,61.47881529512643
print physical location of man page(s),exibir o local das páginas do manual,emite localização física da(s) página(s) man,DE,LLAMA,0.0
print physical location of cat file(s),exibir o local dos arquivos de origem para a operação 'cat'.,emite localização física do(s) arquivo(s) cat,DE,LLAMA,0.0
interpret PAGE argument(s) as local filename(s),interprete o argumento PAGE como um nome de arquivo local,interpreta argumento(s) PÁGINA como nome(s) de arquivo(s) local(is),DE,LLAMA,4.063153221069824
used by catman to reformat out of date cat pages,utilizado por Catman para reformatar as páginas muito antigas.,usado por catman para reformatar páginas cat desatualizadas,DE,LLAMA,9.980099403873663
output source page encoded in ENCODING,affiche le code source converti en ENCODAGE,emite a página fonte codificada em CODIFICAÇÃO,DE,LLAMA,0.0
Finding manual pages:,Encontrar as páginas do manual:,Localizando as páginas de manual:,DE,LLAMA,22.957488466614336
LOCALE,LOCALE,LOCALIDADE,DE,LLAMA,0.0
define the locale for this particular man search,definir a localidade para esta pesquisa de manual,define a localidade para esta pesquisa de man em particular,DE,LLAMA,52.98765308495279
SYSTEM,Sistema,SISTEMA,DE,LLAMA,0.0
use manual pages from other systems,utilize as páginas de manual dos outros sistemas.,usa páginas de manual para outros sistemas,DE,LLAMA,22.31618068926665
LIST,LISTE,LISTA,DE,LLAMA,0.0
use colon separated section list,utilize a lista de seções separadas por dois pontos,usa lista de seções separada por dois-pontos,DE,LLAMA,19.070828081828378
show all pages matching regex,exibe todas as páginas correspondentes à expressão regular,mostra todas as páginas que coincidem com a expressão regular,DE,LLAMA,20.130954856436926
show all pages matching wildcard,montre todas as páginas correspondentes ao caractere joker,mostra todas as páginas que coincidem com o caractere curinga,DE,LLAMA,17.20339087300932
"make --regex and --wildcard match page names only, not descriptions","correspondem apenas aos nomes de páginas com --regex e --wildcard, não às descrições.","faz --regex e --wildcard coincidirem apenas nomes de páginas, e não descrições",DE,LLAMA,18.69300079996002
find all matching manual pages,encontra todas as páginas correspondentes,localiza todas as páginas de manual correspondentes,DE,LLAMA,28.641904579795423
force a cache consistency check,forçar uma verificação de consistência do cache,força uma verificação de consistência de cache,DE,LLAMA,43.47208719449914
"don't try subpages, e.g. 'man foo bar' => 'man foo-bar'","não prenda em conta as subcomandos, por exemplo 'man truc bidule' => 'man truc-bidule'","não tenta subpáginas, ex.: ""man foo bar"" => ""man foo-bar""",DE,LLAMA,5.133162742626526
Controlling formatted output:,Controle do formato de exibição:,Controlando saída formatada:,DE,LLAMA,8.116697886877475
