original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido para %s: %s,ES,LLAMA,44.04890495145606
ambiguous argument %s for %s,argumento %s ambiguo para %s,argumento ambíguo %s para %s,ES,LLAMA,32.17294420803808
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,ES,LLAMA,39.76353643835252
regular empty file,arquivo regular vazio,arquivo comum vazio,ES,LLAMA,34.66806371753173
regular file,arquivo regular,arquivo comum,ES,LLAMA,49.99999999999999
directory,diretório,diretório,ES,LLAMA,100.00000000000004
symbolic link,símbolo tautológico,link simbólico,ES,LLAMA,0.0
message queue,antrâni pesando,fila de mensagem,ES,LLAMA,0.0
semaphore,semáforo,semáforo,ES,LLAMA,100.00000000000004
shared memory object,objeto de memória compartilhado,objeto em memória compartilhada,ES,LLAMA,18.99589214128981
typed memory object,objeto de memoria `tipado',objeto de memória tipificada,ES,LLAMA,21.3643503198117
block special file,arquivo especial de bloques,arquivo especial de bloco,ES,LLAMA,59.460355750136046
character special file,arquivo especial de caracteres especiais,arquivo especial de caractere,ES,LLAMA,39.76353643835252
contiguous data,dados contínuos,dados contíguos,ES,LLAMA,49.99999999999999
fifo,FIFO,fifo,ES,LLAMA,0.0
door,porta,porta,ES,LLAMA,100.00000000000004
multiplexed block special file,bloco especial de blocos multiplexados,arquivo multiplexado especial de bloco,ES,LLAMA,23.643540225079384
multiplexed character special file,conjunto especial de caracteres polifacetados,arquivo multiplexado especial de caractere,ES,LLAMA,21.3643503198117
multiplexed file,arquivo multiplexado,arquivo multiplexado,ES,LLAMA,100.00000000000004
named file,capa de nome,arquivo nomeado,ES,LLAMA,0.0
network special file,arquivo especial de rede,arquivo especial de rede,ES,LLAMA,100.00000000000004
migrated file with data,o arquivo foi migrante com dados,arquivo migrado com dados,ES,LLAMA,17.965205598154213
migrated file without data,ficheiro termigrasi sem dados,arquivo migrado sem dados,ES,LLAMA,31.947155212313625
port,porta,porta,ES,LLAMA,100.00000000000004
socket,soquete,soquete,ES,LLAMA,100.00000000000004
whiteout,suprimido,whiteout,ES,LLAMA,0.0
weird file,arquivo anônimo,arquivo estranho,ES,LLAMA,49.99999999999999
program error,erro do programa,erro do programa,ES,LLAMA,100.00000000000004
stack overflow,desbordamento de pilha,estouro de pilha,ES,LLAMA,55.03212081491043
Try '%s --help' for more information.,Pruebe '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.",ES,LLAMA,31.76215203205584
Unknown system error,Erro no sistema desconhecido,Erro desconhecido de sistema,ES,LLAMA,21.02241038134286
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
",ES,LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",ES,LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
",ES,LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite argumento
",ES,LLAMA,44.06401630925027
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
",ES,LLAMA,39.355951621009716
"%s: invalid option -- '%c'
",%s: opção '%c' não é válida,"%s: opção inválida -- ""%c""
",ES,LLAMA,27.77619034011791
