original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar modelo de imagem com OpenCV,O OpenCV falhou ao carregar a imagem modelo,"VI,FR",LLAMA,13.888095170058955
Could not read title information for DVD.,não foi possível obter título do DVD.,Não foi possível ler as informações de título do DVD.,"VI,FR",LLAMA,28.256772704628215
Failed to open DVD device '%s'.,Não foi possível abrir o dispositivo do DVD “%s”.,"Falha ao abrir o dispositivo de DVD ""%s"".","VI,FR",LLAMA,14.991106946711685
Failed to set PGC based seeking.,Não foi possível configurar a pesquisa baseada em PGC.,Falha ao definir busca baseada em PGC.,"VI,FR",LLAMA,26.269098944241588
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. O motivo pode ser que ele esteja criptografado e nenhuma biblioteca de descriptografia do DVD tenha sido instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"VI,FR",LLAMA,52.0494445443356
Could not read DVD.,Não foi possível ler o DVD.,Não foi possível ler o DVD.,"VI,FR",LLAMA,100.00000000000004
This file contains no playable streams.,Este arquivo contém um fluxo que não pode ser reproduzido.,Este arquivo não contém fluxos reproduzíveis.,"VI,FR",LLAMA,9.425159511373677
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"VI,FR",LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,A criação do arquivo gerou um segmento de previsão que ultrapassa o seu próprio tempo de execucialidade.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"VI,FR",LLAMA,5.653041175801492
Missing element '%s' - check your GStreamer installation.,"Falta o componente ""%s"" - Por favor, verifique seu instalador do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","VI,FR",LLAMA,23.07712507814924
"File location is set to NULL, please set it to a valid filename","O local do arquivo é nulo (NULL), por favor, defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","VI,FR",LLAMA,21.951524426618455
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"VI,FR",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato do painel de crianças não foi configurado antes da transmissão dos dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"VI,FR",LLAMA,21.651956746181064
Failed to get fragment URL.,não foi possível obter estado (stat) do arquivo %s,Falha ao obter um fragmento de URL.,"VI,FR",LLAMA,3.3864985683445354
Couldn't download fragments,não foi possível baixar o fragmento.,Não foi possível baixar os fragmentos,"VI,FR",LLAMA,24.446151121745054
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"VI,FR",LLAMA,100.00000000000004
"Device ""%s"" does not exist.",O dispositivo “%s” não existe.,"O dispositivo ""%s"" não existe.","VI,FR",LLAMA,23.87517132417733
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo de interface frontal ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".","VI,FR",LLAMA,78.25422900366432
"Could not get settings from frontend device ""%s"".",Não foi possível obter as configurações do dispositivo frontal “%s”.,"Não foi possível obter as configurações do dispositivo de interface ""%s"".","VI,FR",LLAMA,50.71202666576929
"Cannot enumerate delivery systems from frontend device ""%s"".","Não foi possível enumerar os sistemas de transmissão do dispositivo frontal ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","VI,FR",LLAMA,38.00427070295603
"Could not open file ""%s"" for reading.",Não é possível abrir o arquivo “%s” para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.","VI,FR",LLAMA,30.039183588157954
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"VI,FR",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: “%s”,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","VI,FR",LLAMA,53.606643761986305
Couldn't find details for channel '%s',"não foi possível obter informações detalhadas sobre o canal ""%s""","Não foi possível encontrar detalhes para o canal ""%s""","VI,FR",LLAMA,42.803206067505954
No properties for channel '%s',Không há atributo no canal “%s”,"Não há propriedades para o canal ""%s""","VI,FR",LLAMA,5.660233915657916
Failed to set properties for channel '%s',não foi possível configurar o atributo do canal “%s”.,"Falha ao definir propriedades para o canal ""%s""","VI,FR",LLAMA,4.456882760699063
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: “%s”,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","VI,FR",LLAMA,53.606643761986305
Channel configuration file doesn't contain any channels,No canal é especificado no arquivo de configuração do canal.,Nenhum canal foi encontrado no arquivo de configuração de canal,"VI,FR",LLAMA,25.965358893403383
