original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,"VI,RU",LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"VI,RU",LLAMA,50.81327481546149
unbalanced [,opção não balanceada [},[ sem correspondente,"VI,RU",LLAMA,10.682175159905848
invalid character class,código de caracteres inválido,classe de caracteres inválida,"VI,RU",LLAMA,31.947155212313625
"character class syntax is [[:space:]], not [:space:]","A sintaxe de uma classe de caracteres é [[:space:]], e não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","VI,RU",LLAMA,80.7681595142239
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,"VI,RU",LLAMA,12.703318703865365
? at start of expression,? no começo da expressão,? no início da expressão,"VI,RU",LLAMA,30.213753973567677
* at start of expression,"no biquique chinh quy khoi ngay hỗ trợ lệ vào tìm hiểu của mình
yêu dụng nào",* no início da expressão,"VI,RU",LLAMA,2.2869567780619007
+ at start of expression,+ no começo da expressão,+ no início da expressão,"VI,RU",LLAMA,30.213753973567677
invalid content of \{\},conteúdo inválido de \{\},conteúdo inválido de \{\},"VI,RU",LLAMA,100.00000000000004
regular expression too big,expressão regular muito grande,expressão regular grande demais,"VI,RU",LLAMA,35.35533905932737
unbalanced (,thiếu dấu ngoặc đơn mở (,( sem correspondente,"VI,RU",LLAMA,8.116697886877475
no syntax specified,não foi especificado nenhum símbolo de linguagem,nenhuma sintaxe especificada,"VI,RU",LLAMA,0.0
unbalanced ),opção não disponível,) sem correspondente,"VI,RU",LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"VI,RU",LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,"VI,RU",LLAMA,100.00000000000004
`,«,“,"VI,RU",LLAMA,0.0
',»,”,"VI,RU",LLAMA,0.0
Success,Sucesso,Sucesso,"VI,RU",LLAMA,100.00000000000004
No match,não há concordância,Nenhuma ocorrência do padrão,"VI,RU",LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,"VI,RU",LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,"VI,RU",LLAMA,35.35533905932737
Invalid character class name,Nome de classe de caractères inválido,Nome inválido de classe de caracteres,"VI,RU",LLAMA,34.32945239845197
Trailing backslash,Barre oblique invertida sozinha no final,Barra invertida no final,"VI,RU",LLAMA,17.965205598154213
Invalid back reference,referência de volta inválida,Retrorreferência inválida,"VI,RU",LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=",não foi possível obter estado (stat) do arquivo %s,"[, [^, [:, [. ou [= sem correspondente","VI,RU",LLAMA,0.0
Unmatched ( or \(,Chão não pariado ou »,( ou \( sem correspondente,"VI,RU",LLAMA,8.745825313180626
Unmatched \{,"{ não é um par de chaves ""{"" sem valor associado.",\{ sem correspondente,"VI,RU",LLAMA,3.377156414337854
Invalid content of \{\},"Contênu de \""\{\"" invalidado.",Conteúdo inválido no \{\},"VI,RU",LLAMA,15.619699684601283
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"VI,RU",LLAMA,100.00000000000004
