original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,o argumento '%s' para '{}' não é válido,argumento inválido para %s: %s,"ID,FR",LLAMA,4.065425428798724
ambiguous argument %s for %s,argumento %s ambigu para %s,argumento ambíguo %s para %s,"ID,FR",LLAMA,32.17294420803808
Valid arguments are:,Argumentos válidos são:,Argumentos válidos são:,"ID,FR",LLAMA,100.00000000000004
regular empty file,cadeia de caracteres regular vazia,arquivo comum vazio,"ID,FR",LLAMA,0.0
regular file,arquivo regular,arquivo comum,"ID,FR",LLAMA,49.99999999999999
directory,diretório,diretório,"ID,FR",LLAMA,100.00000000000004
symbolic link,símbolo tautológico,link simbólico,"ID,FR",LLAMA,0.0
message queue,fila de mensagens do antrian pesan,fila de mensagem,"ID,FR",LLAMA,16.233395773754953
semaphore,semafor,semáforo,"ID,FR",LLAMA,0.0
shared memory object,objeto em memória compartilhada,objeto em memória compartilhada,"ID,FR",LLAMA,100.00000000000004
typed memory object,tipo de objeto em memória,objeto de memória tipificada,"ID,FR",LLAMA,14.058533129758727
block special file,arquivo especial bloco,arquivo especial de bloco,"ID,FR",LLAMA,45.13864405503391
character special file,cadeia de caracteres especiais do arquivo,arquivo especial de caractere,"ID,FR",LLAMA,9.652434877402245
contiguous data,dados sequenciais,dados contíguos,"ID,FR",LLAMA,49.99999999999999
fifo,FIFO,fifo,"ID,FR",LLAMA,0.0
door,porta,porta,"ID,FR",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de arquivo com múltiplos bloco multiplexados,arquivo multiplexado especial de bloco,"ID,FR",LLAMA,13.134549472120788
multiplexed character special file,arquivo especial com caracteres múltiplos,arquivo multiplexado especial de caractere,"ID,FR",LLAMA,12.703318703865365
multiplexed file,arquivo múltiplo,arquivo multiplexado,"ID,FR",LLAMA,49.99999999999999
named file,capa de arquivo,arquivo nomeado,"ID,FR",LLAMA,27.516060407455225
network special file,arquivo especial de rede,arquivo especial de rede,"ID,FR",LLAMA,100.00000000000004
migrated file with data,arquivo termigravado com dados,arquivo migrado com dados,"ID,FR",LLAMA,35.35533905932737
migrated file without data,fichier termigrado sem dados,arquivo migrado sem dados,"ID,FR",LLAMA,31.947155212313625
port,porta,porta,"ID,FR",LLAMA,100.00000000000004
socket,soquete,soquete,"ID,FR",LLAMA,100.00000000000004
whiteout,desenvolvimento em branco (whiteout),whiteout,"ID,FR",LLAMA,8.116697886877475
weird file,arquivo desconhecido,arquivo estranho,"ID,FR",LLAMA,49.99999999999999
program error,erro do programa,erro do programa,"ID,FR",LLAMA,100.00000000000004
stack overflow,cadeia de pilha de desborde,estouro de pilha,"ID,FR",LLAMA,21.3643503198117
Try '%s --help' for more information.,Coba '%s --help' para informações adicionais.,"Tente ""%s --help"" para mais informações.","ID,FR",LLAMA,10.729256185679601
Unknown system error,Erro do sistema não reconhecido,Erro desconhecido de sistema,"ID,FR",LLAMA,12.703318703865365
