original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá aí para ler do CD.,Não foi possível ler as informações do CD.,"DE,FR",LLAMA,54.65503931045532,20.437494369403034,19.740631366145518,62.5,79.86117005348206
Could not open CD device for reading.,Tenha por favor aberto o drive de CD para leitura.,Não foi possível abrir o dispositivo de CD para leitura.,"DE,FR",LLAMA,75.89341998100281,41.46712124402022,36.72056269893591,50.0,86.56361699104309
Disc is not an Audio CD.,O CD não é de áudio.,O disco não é um CD de áudio.,"DE,FR",LLAMA,86.72059178352356,46.32296059904748,25.12715770770114,37.5,93.455970287323
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"DE,FR",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,"DE,FR",LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,Não foi possível chegar ao capítulo %d do DVD intitulado %d,Falha ao avançar para o capítulo %d do título %d do DVD,"DE,FR",LLAMA,75.62311887741089,47.950674446350426,31.843164596791894,66.66666666666666,77.53852605819702
Could not open DVD title %d. Interactive titles are not supported by this element,Tá aí para abrir o título do DVD %d. Titulos interativos não são suportados por este elemento,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"DE,FR",LLAMA,74.15223717689514,54.52950932636579,15.824382329465257,61.111111111111114,85.46233773231506
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tenha por objetivo ler o DVD. Isso acontece porque a região de criptografia do DVD e as bibliotecas para descriptografar discos não estão instaladas.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"DE,FR",LLAMA,70.84147930145264,43.361551484883506,10.658146793659137,80.0,85.52257418632507
Could not read DVD.,Tá para ler o DVD.,Não foi possível ler o DVD.,"DE,FR",LLAMA,68.56275200843811,37.139077860650346,43.01250851313264,50.0,86.35576963424683
This stream contains no data.,Este fluxo não contém dados.,Este fluxo não contém dados.,"DE,FR",LLAMA,98.55131506919861,100.0,100.00000000000004,0.0,99.99998807907104
