original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
OpenCV failed to load template image,falha ao carregar a imagem de plantela com OpenCV,O OpenCV falhou ao carregar a imagem modelo,"VI,ES",LLAMA,80.33298850059509,57.54724023708653,31.55984539112946,75.0,85.44743657112122
Could not read title information for DVD.,Não foi possível obter a informação do título para o DVD.,Não foi possível ler as informações de título do DVD.,"VI,ES",LLAMA,86.44049763679504,54.8908157117477,17.242221289766636,60.0,92.76074171066284
Failed to open DVD device '%s'.,"Não foi possível abrir o dispositivo de DVD ""%s"".","Falha ao abrir o dispositivo de DVD ""%s"".","VI,ES",LLAMA,88.75811100006104,75.18361334111773,73.61703354503862,37.5,91.75455570220947
Failed to set PGC based seeking.,não foi possível configurar a pesquisa baseada em PGC.,Falha ao definir busca baseada em PGC.,"VI,ES",LLAMA,78.64806056022644,42.66341037277622,26.269098944241588,85.71428571428571,82.75517225265503
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e a biblioteca necessária para decifrá-lo não foi instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"VI,ES",LLAMA,90.88127017021179,62.54926272378051,37.22380254077019,52.17391304347826,87.95329928398132
Could not read DVD.,Não foi possível ler o DVD.,Não foi possível ler o DVD.,"VI,ES",LLAMA,98.1618344783783,100.0,100.00000000000004,0.0,100.0
This file contains no playable streams.,Este arquivo contém fluxo não reproduzível.,Este arquivo não contém fluxos reproduzíveis.,"VI,ES",LLAMA,93.13998818397522,67.1479316595068,16.515821590069034,50.0,95.3816831111908
Could not open sndfile stream for reading.,Não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"VI,ES",LLAMA,93.21905970573425,70.38125396435818,39.281465090051285,44.44444444444444,93.44750046730042
Generated file has a larger preroll time than its streams duration,A segmentação preliminar do arquivo gerado ultrapassa o tempo de duração dos seus fluxos.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"VI,ES",LLAMA,74.10354018211365,41.45823621415553,7.8594386815106,86.66666666666667,81.59202933311462
Missing element '%s' - check your GStreamer installation.,"Falta o componente ""%s"" - por favor, verifique sua instalação do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","VI,ES",LLAMA,90.4482901096344,58.77322176913468,38.989389329183524,54.54545454545454,89.70142602920532
