original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,A versão do GStreamer é exibida,Exibe a versão do GStreamer,"FR,ID",LLAMA,30.213753973567677
Make all warnings fatal,"Todos os avisos, como erros, devem ser tratados com a mesma gravidade.",Trata todos avisos como fatais,"FR,ID",LLAMA,3.1251907639724417
Print available debug categories and exit,Exibição das categorias de diagnóstico disponíveis e sair do programa.,Exibe as categorias de depuração disponíveis e sair,"FR,ID",LLAMA,17.542198478193427
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,"Nível de erro padrão, de 1 (erros apenas) a 9 (tudo incluindo falhas não detectadas), ou 0 para nenhuma saída registrada.",Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"FR,ID",LLAMA,22.591429087907848
LEVEL,Estágio do sistema,NÍVEL,"FR,ID",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgulas de pares categoria_nome:nível, para definir níveis específicos para cada categoria. Exemplo : GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","FR,ID",LLAMA,65.62643730717217
LIST,LISTE,LISTA,"FR,ID",LLAMA,0.0
Disable colored debugging output,Desabilitar a exibição de erros em cores na saída do depurador.,Desabilita saída de depuração colorida,"FR,ID",LLAMA,4.02724819242185
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Modificação do modo de cor da ficha de diagnóstico de erro. Modos disponíveis: off (desligado), on (ligado), disable (deactivado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","FR,ID",LLAMA,47.92827638264362
Disable debugging,Desabilita o diagnóstico de erros,Desabilita depuração,"FR,ID",LLAMA,10.682175159905848
Colon-separated paths containing plugins,"Caminhos com pontos suspensos contendo plugins, separados por dois pontos","Caminhos, separados por dois-pontos, de plug-ins","FR,ID",LLAMA,14.991106946711685
PATHS,PFADE,CAMINHOS,"FR,ID",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista de plugins separados por vírgula, que serão adicionais aos plugins armazenados na variável GST_PLUGIN_PATH","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","FR,ID",LLAMA,19.865891395692966
PLUGINS,PLUGINS,PLUG-INS,"FR,ID",LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desabilitar a vigilância de erros de acesso ao armazenamento durante o carregamento dos plugins,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"FR,ID",LLAMA,11.359354890271161
Disable updating the registry,Desabilitar a actualização da Registry,Desabilita atualização do registro,"FR,ID",LLAMA,0.0
Disable spawning a helper process while scanning the registry,Desabilitar o processamento assistencial ao ler a registro de configuração.,Desabilita a criação de um processo auxiliar durante a análise do registro,"FR,ID",LLAMA,4.503733751056993
GStreamer Options,Opções de GStreamer,Opções do GStreamer,"FR,ID",LLAMA,34.66806371753173
Show GStreamer Options,Exibir as opções de GStreamer,Exibe opções do GStreamer,"FR,ID",LLAMA,12.703318703865365
Unknown option,opção desconhecida,Opção desconhecida,"FR,ID",LLAMA,49.99999999999999
GStreamer encountered a general core library error.,GStreamer detectou um erro geral na biblioteca central.,O GStreamer encontrou um erro geral na biblioteca principal.,"FR,ID",LLAMA,43.44371253135793
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer foram considerados preguiçosos, não atribuindo um número a este erro.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,"FR,ID",LLAMA,7.727578693391118
Internal GStreamer error: code not implemented.,Erro interno do GStreamer : código não implementado.,Erro interno no GStreamer: código não implementado.,"FR,ID",LLAMA,66.06328636027612
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro GStreamer : falha no estado de mudança e alguns elementos não conseguiram enviar uma mensagem de erro correta contendo a justificativa do fracasso.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,"FR,ID",LLAMA,21.690365808279147
Internal GStreamer error: pad problem.,Erro interno do GStreamer : problema de padding.,Erro interno no GStreamer: problema no Pad.,"FR,ID",LLAMA,23.356898886410015
Internal GStreamer error: thread problem.,Erro interno do GStreamer : problema de thread.,Erro interno no GStreamer: problema na thread.,"FR,ID",LLAMA,26.084743001221455
GStreamer error: negotiation problem.,Erro GStreamer : problema de negociação.,Erro no GStreamer: problema de negociação.,"FR,ID",LLAMA,72.89545183625967
Internal GStreamer error: event problem.,Erro interno do GStreamer : problema de evento.,Erro interno no GStreamer: problema no evento.,"FR,ID",LLAMA,26.084743001221455
Internal GStreamer error: seek problem.,Erro interno do GStreamer : problema de pesquisa.,Erro interno no GStreamer: problema na busca.,"FR,ID",LLAMA,23.356898886410015
Internal GStreamer error: caps problem.,Erro interno do GStreamer : problema de capacidades.,Erro interno no GStreamer: problema no Caps.,"FR,ID",LLAMA,23.356898886410015
Internal GStreamer error: tag problem.,Erro interno do GStreamer : problema de marcação.,Erro interno no GStreamer: problema na etiqueta.,"FR,ID",LLAMA,23.356898886410015
Your GStreamer installation is missing a plug-in.,Sua instalação de GStreamer fica com um plugin ausente.,Sua instalação do GStreamer está com um plug-in faltando.,"FR,ID",LLAMA,13.134549472120794
GStreamer error: clock problem.,Erro GStreamer : problema de relógio.,Erro no GStreamer: problema no temporizador.,"FR,ID",LLAMA,24.0785655451027
This application is trying to use GStreamer functionality that has been disabled.,Esta aplicação tenta utilizar uma funcionalidade do GStreamer que foi desabilitada.,Este aplicativo está tentando usar uma funcionalidade do GStreamer que foi desabilitada.,"FR,ID",LLAMA,56.41985990655355
GStreamer encountered a general supporting library error.,"Erro do GStreamer da Internet: Problema com a biblioteca de suporte. Por favor, envie um relatório de erro.",O GStreamer encontrou um erro geral na biblioteca de suporte.,"FR,ID",LLAMA,12.436722085116983
Could not initialize supporting library.,A biblioteca de suporte não pode ser inicializada.,Não foi possível iniciar a biblioteca de suporte.,"FR,ID",LLAMA,19.070828081828378
Could not close supporting library.,A biblioteca de suporte não pôde ser fechada.,Não foi possível fechar a biblioteca de suporte.,"FR,ID",LLAMA,19.070828081828378
Could not configure supporting library.,A biblioteca de suporte não pode ser configurada.,Não foi possível configurar a biblioteca de suporte.,"FR,ID",LLAMA,19.070828081828378
Encoding error.,Erro de codificação.,Erro de codificação.,"FR,ID",LLAMA,100.00000000000004
GStreamer encountered a general resource error.,GStreamer detectou um erro geral de recurso.,O GStreamer encontrou um erro geral nos recursos.,"FR,ID",LLAMA,20.612390921238426
Resource not found.,Ressource não encontrada.,Recurso não encontrado.,"FR,ID",LLAMA,18.99589214128981
Resource busy or not available.,Recurso em uso ou não disponível.,O recurso está ocupado ou não disponível.,"FR,ID",LLAMA,35.64026463354184
Could not open resource for reading.,Não foi possível abrir a recurso para leitura.,Não foi possível abrir o recurso para leitura.,"FR,ID",LLAMA,59.694917920196445
Could not open resource for writing.,Não foi possível abrir a recurso para escrita.,Não foi possível abrir o recurso para escrita.,"FR,ID",LLAMA,59.694917920196445
Could not open resource for reading and writing.,Não foi possível abrir a recurso para leitura e escrita.,Não foi possível abrir o recurso para leitura e escrita.,"FR,ID",LLAMA,70.16879391277372
Could not close resource.,Não foi possível fechar a recurso.,Não foi possível fechar o recurso.,"FR,ID",LLAMA,48.892302243490086
Could not read from resource.,não foi possível ler da fonte de dados.,Não foi possível ler do recurso.,"FR,ID",LLAMA,19.070828081828378
Could not write to resource.,não foi possível escrever na recurso.,Não foi possível escrever no recurso.,"FR,ID",LLAMA,30.739407647563215
Could not perform seek on resource.,Não foi possível executar o processo de pesquisa na recurso.,Não foi possível realizar uma busca no recurso.,"FR,ID",LLAMA,17.542198478193427
Could not synchronize on resource.,Não foi possível sincronizar a recurso.,Não foi possível sincronizar no recurso.,"FR,ID",LLAMA,48.892302243490086
Could not get/set settings from/on resource.,Os ajustes não podem ser lidos ou gravados na fonte de dados.,Não foi possível obter/definir configurações para/do recurso.,"FR,ID",LLAMA,3.0890553181566975
No space left on the resource.,Não há espaço livre disponível na recurso.,Não foi deixado espaço no recurso.,"FR,ID",LLAMA,13.134549472120788
