original,translated,reference,context_languages,strategy,bleu
a number between 0 and 1,uma número entre 0 e 1,um número entre 0 e 1,VI,LLAMA,75.98356856515926
"in the form ""<name> <value>""","DADOS DE EXEMPLO
Forma de exemplo: ""<Nome> <Valor>"";","na forma ""<nome> <valor>""",VI,LLAMA,8.47178590796544
string,cadeia de caracteres,texto,VI,LLAMA,0.0
integer,número inteiro,inteiro,VI,LLAMA,49.99999999999999
boolean,Valor de verdade,booleano,VI,LLAMA,0.0
list,lista de arquivos e diretórios disponíveis no sistema.,lista,VI,LLAMA,4.767707020457095
"either ""true"" or ""false""",ou verdadeiro (verdade) ou falso (falso),"tanto ""true"" ou ""false""",VI,LLAMA,4.196114906296549
a positive integer,uma número inteiro positivo,um inteiro positivo,VI,LLAMA,31.947155212313625
# default: ,# mặc định: ,# padrão: ,VI,LLAMA,18.99589214128981
"
#######################################################################
#
# Filter: %s
#   %s
#
# configured as follows:

","Bloco de filtragem: %s
   %s

Foi configurado da seguinte forma:
","
#######################################################################
#
# Filtro: %s
#   %s
#
# foi configurado deste modo:

",VI,LLAMA,0.07863221004956972
ASPELL_CONF env var,ASPELL_CONF Umgebungsvariable (variável de ambiente do Aspell),ASPELL_CONF env var,VI,LLAMA,13.950796967929138
main configuration file,arquivo de configuração principal,arquivo de configuração principal,VI,LLAMA,100.00000000000004
location of main configuration file,Nome da tabela de configuração principal,local do arquivo de configuração principal,VI,LLAMA,30.213753973567677
location of language data files,Nome dos arquivos de dados linguísticos,local dos arquivos de idiomas,VI,LLAMA,30.213753973567677
create dictionary aliases,gerar aliases de palavras no dicionário,cria apelidos de dicionário,VI,LLAMA,9.652434877402245
location of the main word list,Nome da lista principal de palavras,local do vocabulário principal,VI,LLAMA,8.116697886877475
encoding to expect data to be in,"codificação, na qual os dados são esperados para ocorrer",codificação de entrada,VI,LLAMA,4.196114906296549
add or removes a filter,adiciona ou remove um filtro,adiciona ou remove um filtro,VI,LLAMA,100.00000000000004
path(s) aspell looks for filters,Pfade(e) nos quais aspell procura filtros.,caminho(s) para aspell buscar filtros,VI,LLAMA,5.934202609760488
filter mode,modo de filtragem,modo filtro,VI,LLAMA,27.516060407455225
extra dictionaries to use,từ điển thêm cần dùng,dicionários adicionais,VI,LLAMA,0.0
location for personal files,Nome para arquivos pessoais,local dos arquivos pessoais,VI,LLAMA,31.947155212313625
ignore words <= n chars,ignore words with <= n characters,ignora palavras com menos de n caracteres,VI,LLAMA,6.567274736060395
ignore accents when checking words -- CURRENTLY IGNORED,ignorar acentuação ao verificar -- EM QUEIMADA PARTICIPAÇÃO LÓGICA,ignora acentuação ao verificar palavras -- ATUALMENTE IGNORADO,VI,LLAMA,19.070828081828378
ignore case when checking words,ignore diferença de maiúsculas e minúsculas ao verificar,ignora case ao verificar palavras,VI,LLAMA,11.044795567078939
ignore commands to store replacement pairs,"ignore comandos, pares de substituição para serem salvos.",ignora comandos de substituição,VI,LLAMA,9.287528999566801
extra information for the word list,informação adicional para a lista de palavras,informação extra para o vocabulário,VI,LLAMA,7.809849842300637
keyboard definition to use for typo analysis,Definição de tela para análise dos erros de digitação.,definição de teclado para uso em analise tipográfica,VI,LLAMA,4.990049701936832
language code,"código de linguagem (VI é o acrônimo para Việt ngữ, que significa 'Vi')",código do idioma,VI,LLAMA,2.445593937240363
"deprecated, use lang instead","obsoleto, usem 'lang' em vez disso.","obsoleto, use lang",VI,LLAMA,11.044795567078939
location of local language data files,nome dos arquivos de dados linguísticos locais,localização dos arquivos locais de dados de idioma,VI,LLAMA,17.026116978186884
base name of the main dictionary to use,Nome do principal dicionário de palavras,nome base do dicionário principal para usar,VI,LLAMA,9.042266054940777
set module name,nome do módulo definir,define o nome do módulo,VI,LLAMA,46.30777161991026
search order for modules,Suchreihenfolge für Module,ordem de busca por módulos,VI,LLAMA,0.0
enable Unicode normalization,Ativar normalização Unicodenormalizacao,habilita normalização Unicode,VI,LLAMA,27.516060407455225
Unicode normalization required for current lang,A normalização Unicodenormalizada é necessária para a língua atual.,normalização Unicode necessária para o idioma atual,VI,LLAMA,9.980099403873663
"Unicode normalization form: none, nfd, nfc, comp","Forma de normalização Unicode Não Formada (NFD), Normalizada sem formatação adicional (NFC), Comparações, e Conjunto completo","forma de normalização Unicode: none, nfd, nfc, comp",VI,LLAMA,7.289334177359764
avoid lossy conversions when normalization,Evite conversões de erro ao normalizar para prevenir perda de dados.,evita conversões com perdas na normalização,VI,LLAMA,3.3864985683445354
personal configuration file,arquivos de configuração pessoal,arquivo de configuração pessoal,VI,LLAMA,59.460355750136046
personal dictionary file name,Nome do seu dicionário pessoal,arquivo de dicionário pessoal,VI,LLAMA,21.3643503198117
prefix directory,diretório raiz,prefixo do diretório,VI,LLAMA,30.326532985631665
replacements list file name,Nome do arquivo de substituição da lista,nome de arquivo da lista de substituições,VI,LLAMA,15.619699684601283
consider run-together words legal,aceitam palavras compostas,considera palavras aglutinadas como válidas,VI,LLAMA,14.127216461522432
maximum number that can be strung together,soma máxima de palavras compostas,número máximo quem podem ser colocadas juntas,VI,LLAMA,0.0
minimal length of interior words,mínima extensão dos termos internos da sequência de palavras,tamanho mínimo de palavras interior,VI,LLAMA,9.535414040914192
consider camel case words legal,Wörter in CamelCase como válidos aceitos,considera palavras CamelCase como válidas,VI,LLAMA,16.233395773754953
save replacement pairs on save all,"bei »Todos os dados salvarem, incluindo as pares de substituição também"".","salva substituições quando for comando ""save all""",VI,LLAMA,2.8398387225677895
set the prefix based on executable location,fix prefix based on the program's name set up,define o prefixo baseado na localização do executável,VI,LLAMA,0.0
size of the word list,tamanho da lista de palavras,tamanho do vocabulário,VI,LLAMA,10.682175159905848
no longer used,não é mais utilizado,não mais usado,VI,LLAMA,18.99589214128981
suggestion mode,chave de sugestão,modo de sugestão,VI,LLAMA,55.03212081491043
"use typo analysis, override sug-mode default",Realizar análise de erros típicos em vez do modo sugerido por padrão,"usa análise de erro de digitação, sobrescrevendo o padrão ""sug-mode""",VI,LLAMA,6.8962421077164695
"use replacement tables, override sug-mode default",uso de tabelas de substituição em vez do modo de sugestão,"usa tabelas de substituição, sobrescrevendo o padrão ""sug-mode""",VI,LLAMA,13.950796967929138
characters to insert when a word is split,"quando um caractere for adicionado, se uma palavra estiver sendo separada",caracteres para inserir quando a palavra é dividida,VI,LLAMA,4.02724819242185
"use personal, replacement & session dictionaries","use personalized, replacement and session dictionaries","usa dicionários pessoais, de substituição & sessão.",VI,LLAMA,4.935157841536379
search path for word list information files,Pasta de pesquisa para arquivos com informações sobre listas de palavras,caminho de busca pelos arquivos de informação,VI,LLAMA,4.9323515694897075
enable warnings,ativar alertas,habilita alertas,VI,LLAMA,49.99999999999999
indicator for affix flags in word lists -- CURRENTLY IGNORED,Indicador para flags de conclusão em listas de palavras -- MODAISMENTE INATÁVEL,indicador para sinais de afixo em listas de palavras -- ATUALMENTE IGNORADO,VI,LLAMA,34.48444257953326
use affix compression when creating dictionaries,Endungen beim Erzeugen von Wörterbüchern komprimieren,usa compressão de afixos ao criar dicionários,VI,LLAMA,0.0
remove invalid affix flags,remover flags de terminação inválidos,remove sinais inválidos de afixos,VI,LLAMA,12.703318703865365
attempts to clean words so that they are valid,palavras que foram limpas para garantir sua validade,tenta limpar palavras para que se tornem válidas,VI,LLAMA,7.267884212102741
