original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,A versão de GStreamer emitida,Exibe a versão do GStreamer,DE,LLAMA,12.703318703865365
Make all warnings fatal,Tratamento das mensagens de aviso e erro como se fossem do mesmo tipo,Trata todos avisos como fatais,DE,LLAMA,3.0890553181566975
Print available debug categories and exit,Categorias de diagnóstico de erros disponíveis e encerramento do programa.,Exibe as categorias de depuração disponíveis e sair,DE,LLAMA,8.29519350710986
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Estágio de diagnóstico de erros prédefinido de 1 (apenas erros) até 9 (todo o sistema) ou 0 para nenhuma saída.,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,DE,LLAMA,51.03277571176483
LEVEL,estagiaria,NÍVEL,DE,LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgula de pares 'Categoria_Nome:Nível', para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3",DE,LLAMA,47.5065909634943
LIST,LISTE,LISTA,DE,LLAMA,0.0
Disable colored debugging output,Desabilitar a exibição de erros colorida da ferramenta diagnosticadora.,Desabilita saída de depuração colorida,DE,LLAMA,4.990049701936832
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Modificar o modo de cores do protocolo de diagnóstico de erros. Modos possíveis: off (ausente), on (ativo), disable (desligado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix",DE,LLAMA,41.34653282617901
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,DE,LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de Dois Pontos, separados por espaços, acessar os plugins","Caminhos, separados por dois-pontos, de plug-ins",DE,LLAMA,13.065113298388567
PATHS,PFADE,CAMINHOS,DE,LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista separada por vírgulas de plugins, que além dos presentes na variável GST_PLUGIN_PATH da ambiente são carregados","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH",DE,LLAMA,25.540532699013927
PLUGINS,PLUGINS,PLUG-INS,DE,LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desligamento de rastreamento de falhas de acesso ao armazenamento durante o carregamento de plugins desabilitado.,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,DE,LLAMA,11.44707843033496
Disable updating the registry,Apagar a atualização da Registry,Desabilita atualização do registro,DE,LLAMA,10.682175159905848
Disable spawning a helper process while scanning the registry,Desligue o processo auxiliar ao ler a Registry desativada.,Desabilita a criação de um processo auxiliar durante a análise do registro,DE,LLAMA,7.603985612048923
GStreamer Options,Opções de GStreamer,Opções do GStreamer,DE,LLAMA,34.66806371753173
Show GStreamer Options,As opções de GStreamer devem ser exibidas.,Exibe opções do GStreamer,DE,LLAMA,6.567274736060395
Unknown option,opção desconhecida,Opção desconhecida,DE,LLAMA,49.99999999999999
GStreamer encountered a general core library error.,GStreamer detectou um erro genérico na biblioteca de núcleo.,O GStreamer encontrou um erro geral na biblioteca principal.,DE,LLAMA,13.134549472120794
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer foram preguiçosos, concedendo a este erro uma numeração.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,DE,LLAMA,6.270144942040139
Internal GStreamer error: code not implemented.,Erro interno do GStreamer: Código não implementado.,Erro interno no GStreamer: código não implementado.,DE,LLAMA,26.084743001221455
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro GStreamer: Ocorreu um erro de estado e alguns elementos não enviaram a mensagem correta com uma justificativa para o problema.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,DE,LLAMA,5.619085292261441
Internal GStreamer error: pad problem.,Erro interno do GStreamer: Problema de preenchimento.,Erro interno no GStreamer: problema no Pad.,DE,LLAMA,14.25876976452075
Internal GStreamer error: thread problem.,Erro interno do GStreamer: Problema de thread.,Erro interno no GStreamer: problema na thread.,DE,LLAMA,16.51582159006904
GStreamer error: negotiation problem.,Erro GStreamer: Problema de negociação.,Erro no GStreamer: problema de negociação.,DE,LLAMA,27.890014303843827
Internal GStreamer error: event problem.,Erro interno do GStreamer: problema de evento.,Erro interno no GStreamer: problema no evento.,DE,LLAMA,26.084743001221455
Internal GStreamer error: seek problem.,Erro interno do GStreamer: problema de busca.,Erro interno no GStreamer: problema na busca.,DE,LLAMA,26.084743001221455
Internal GStreamer error: caps problem.,Erro interno do GStreamer: problema de permissão.,Erro interno no GStreamer: problema no Caps.,DE,LLAMA,23.356898886410015
Internal GStreamer error: tag problem.,Erro interno do GStreamer: problema de marcação.,Erro interno no GStreamer: problema na etiqueta.,DE,LLAMA,23.356898886410015
Your GStreamer installation is missing a plug-in.,Sua instalação de GStreamer faltou um plugin.,Sua instalação do GStreamer está com um plug-in faltando.,DE,LLAMA,10.816059393812111
GStreamer error: clock problem.,Erro GStreamer de tempo.,Erro no GStreamer: problema no temporizador.,DE,LLAMA,7.715486568024961
This application is trying to use GStreamer functionality that has been disabled.,Esta aplicação tenta utilizar a funcionalidade de GStreamer que foi desabilitada.,Este aplicativo está tentando usar uma funcionalidade do GStreamer que foi desabilitada.,DE,LLAMA,30.527785817943403
GStreamer encountered a general supporting library error.,"Erro do GStreamer da Internet: Problema com a biblioteca de suporte. Por favor, envie um relatório de erro.",O GStreamer encontrou um erro geral na biblioteca de suporte.,DE,LLAMA,12.436722085116983
Could not initialize supporting library.,A biblioteca de suporte não pôde ser inicializada.,Não foi possível iniciar a biblioteca de suporte.,DE,LLAMA,19.070828081828378
Could not close supporting library.,A biblioteca de suporte não pôde ser fechada.,Não foi possível fechar a biblioteca de suporte.,DE,LLAMA,19.070828081828378
Could not configure supporting library.,A biblioteca de suporte não pôde ser configurada.,Não foi possível configurar a biblioteca de suporte.,DE,LLAMA,19.070828081828378
Encoding error.,Erro de codificação.,Erro de codificação.,DE,LLAMA,100.00000000000004
GStreamer encountered a general resource error.,GStreamer detectou um erro de recursos gerais.,O GStreamer encontrou um erro geral nos recursos.,DE,LLAMA,12.256200970377108
Resource not found.,Recursos não encontrados.,Recurso não encontrado.,DE,LLAMA,18.99589214128981
Resource busy or not available.,Recurso em uso ou não disponível.,O recurso está ocupado ou não disponível.,DE,LLAMA,35.64026463354184
Could not open resource for reading.,A fonte de dados não pôde ser aberta para leitura.,Não foi possível abrir o recurso para leitura.,DE,LLAMA,13.950796967929138
Could not open resource for writing.,A fonte de dados não pôde ser aberta para escrita.,Não foi possível abrir o recurso para escrita.,DE,LLAMA,13.950796967929138
Could not open resource for reading and writing.,A fonte de dados não pôde ser aberta para leitura e gravação.,Não foi possível abrir o recurso para leitura e escrita.,DE,LLAMA,12.35622127262679
Could not close resource.,A fonte não pode ser fechada.,Não foi possível fechar o recurso.,DE,LLAMA,6.567274736060395
Could not read from resource.,Não foi possível ler do recurso.,Não foi possível ler do recurso.,DE,LLAMA,100.00000000000004
Could not write to resource.,Não foi possível escrever na recurso.,Não foi possível escrever no recurso.,DE,LLAMA,48.892302243490086
Could not perform seek on resource.,"Na recurso, não foi possível executar o busca.",Não foi possível realizar uma busca no recurso.,DE,LLAMA,10.552670315936318
Could not synchronize on resource.,A fonte de dados não pôde ser sincronizada.,Não foi possível sincronizar no recurso.,DE,LLAMA,4.767707020457095
Could not get/set settings from/on resource.,As configurações não puderam ser lidas ou gravadas na recurso.,Não foi possível obter/definir configurações para/do recurso.,DE,LLAMA,7.574347133041985
No space left on the resource.,Não há mais espaço na recurso.,Não foi deixado espaço no recurso.,DE,LLAMA,15.619699684601283
Not authorized to access resource.,Permissão negada ao acesso à recurso.,O acesso ao recurso não foi autorizado.,DE,LLAMA,8.051153633013374
GStreamer encountered a general stream error.,GStreamer detectou um erro de fluxo geral do dado.,O GStreamer encontrou um erro geral no fluxo.,DE,LLAMA,11.044795567078939
Element doesn't implement handling of this stream. Please file a bug.,"O Elemento não pode processar este fluxo de dados. Por favor, envie um relatório de erro.","O elemento não implementa a manipulação desse fluxo. Por favor, relate o erro.",DE,LLAMA,16.67955161379731
Could not determine type of stream.,A natureza do fluxo de dados não pôde ser determinada.,Não foi possível determinar o tipo do fluxo.,DE,LLAMA,8.29519350710986
The stream is of a different type than handled by this element.,O fluxo de dados é da mesma espécie que o processado por este elemento.,O fluxo é de um tipo diferente do que o manipulado por esse elemento.,DE,LLAMA,10.074708078532293
There is no codec present that can handle the stream's type.,Não há nenhum codec disponível que possa processar esse tipo de fluxo de dados.,Não há um CODEC presente que possa manipular esse tipo de fluxo.,DE,LLAMA,22.894156860669913
Could not decode stream.,O fluxo de dados não pôde ser decodificado.,Não foi possível decodificar o fluxo.,DE,LLAMA,5.669791110976001
Could not encode stream.,O fluxo de dados não pôde ser codificado.,Não foi possível codificar o fluxo.,DE,LLAMA,5.669791110976001
Could not demultiplex stream.,O fluxo de dados não pôde ser multiplexado.,Não foi possível demultiplexar o fluxo.,DE,LLAMA,5.669791110976001
Could not multiplex stream.,O fluxo de dados não pôde ser multiplexado.,Não foi possível multiplexar o fluxo.,DE,LLAMA,5.669791110976001
The stream is in the wrong format.,O fluxo de dados tem o formato errado.,Esse fluxo está com um formato errado.,DE,LLAMA,19.070828081828378
The stream is encrypted and decryption is not supported.,"O fluxo de dados está criptografado, mas a descriptografia não é suportada.",O fluxo está criptografado e não há suporte a descriptografia.,DE,LLAMA,10.571070857151541
The stream is encrypted and can't be decrypted because no suitable key has been supplied.,"O fluxo de dados está criptografado, mas não pode ser descriptografado porque nenhum chave apropriada está presente.",O fluxo está criptografado e não pôde ser descriptografado porque nenhuma chave apropriada foi fornecida.,DE,LLAMA,13.11246738393144
No error message for domain %s.,Não há mensagem de erro para o campo %s.,Nenhuma mensagem de erro para o domínio %s.,DE,LLAMA,46.92470064105599
No standard error message for domain %s and code %d.,Não há mensagem padrão de erro para o segmento %s e código de erro %d.,Nenhuma mensagem de erro predefinida para o domínio %s e código %d.,DE,LLAMA,24.202875575621302
Selected clock cannot be used in pipeline.,O sinal selecionado do referencial não pode ser utilizado na linha.,O temporizador selecionado não pôde ser usado na fila de processamento.,DE,LLAMA,5.300156689756295
Error writing registry cache to %s: %s,Erro ao escrever o cache intermediário da Registry após %s: %s,Erro ao escrever o cache de registro em %s: %s,DE,LLAMA,53.16967153331756
title,Título,título,DE,LLAMA,0.0
commonly used title,Título Comum,título normalmente utilizado,DE,LLAMA,0.0
title sortname,Nome de Ordem do Título,título para ordenação,DE,LLAMA,0.0
commonly used title for sorting purposes,Título comum para fins de ordenação,"título normalmente utilizado, para ordenação",DE,LLAMA,9.652434877402245
artist,artista,artista,DE,LLAMA,100.00000000000004
person(s) responsible for the recording,"Para a gravação, responsável(es):",pessoa(s) responsável(is) pela gravação,DE,LLAMA,10.147104008451905
artist sortname,Nome do Artista,artista para ordenação,DE,LLAMA,0.0
person(s) responsible for the recording for sorting purposes,"Para fins de ordenação, a pessoa responsável pela gravação é","pessoa(s) responsável(is) pela gravação, para ordenação",DE,LLAMA,8.224725028069482
album,Álbum,álbum,DE,LLAMA,0.0
album containing this data,Album que contém estas informações,álbum contendo esses dados,DE,LLAMA,0.0
album sortname,Nome do Álbum para Ordem,álbum para ordenação,DE,LLAMA,10.682175159905848
album containing this data for sorting purposes,"Album que contém esses dados, para fins de ordenação","álbum contendo esses dados, para ordenação",DE,LLAMA,27.77619034011791
album artist,Künstler do álbum,artista do álbum,DE,LLAMA,55.03212081491043
"The artist of the entire album, as it should be displayed","O artista do álbum inteiro, assim como ele deve ser apresentado","O artista de todo álbum, como ele deveria ser exibido",DE,LLAMA,11.016798394984653
album artist sortname,Nome do Artista da Capa,artista do álbum para ordenação,DE,LLAMA,10.682175159905848
"The artist of the entire album, as it should be sorted","O artista do álbum inteiro, assim como ele deve ser organizado","O artista de todo álbum, como ele deveria ser ordenado",DE,LLAMA,11.016798394984653
date,Dado,data,DE,LLAMA,0.0
date the data was created (as a GDate structure),Data em que foram geradas as informações (como a estrutura GDate),data que os dados foram criados (estrutura GDate),DE,LLAMA,13.674406678232565
datetime,DataHora,data hora,DE,LLAMA,0.0
date and time the data was created (as a GstDateTime structure),Data e hora em que foram geradas as informações (como GstDateTime),data e hora que os dados foram criados (estrutura GstDateTime),DE,LLAMA,10.04916995660316
genre,Gênero,gênero,DE,LLAMA,0.0
genre this data belongs to,"Gênero, ao qual pertencem estas dados",gênero que este dado pertence,DE,LLAMA,0.0
comment,Comentário,comentário,DE,LLAMA,0.0
free text commenting the data,Um texto livre que descreve os dados.,texto livre comentando os dados,DE,LLAMA,15.619699684601276
extended comment,Comentário ampliado,comentário prolongado,DE,LLAMA,0.0
free text commenting the data in key=value or key[en]=comment form,"Um texto qualquer que descreva os dados, na forma 'Chave=Valor' ou 'Chave[de]=Comentário'","texto livre comentando os dados, usando o formato chave=valor ou chave[pt_BR]=comentário",DE,LLAMA,9.87398498012017
track number,Número de título,número da faixa,DE,LLAMA,0.0
track number inside a collection,Número de título dentro da coleção,número da faixa dentro da coleção,DE,LLAMA,30.213753973567677
track count,Número de títulos,número de faixas,DE,LLAMA,27.516060407455225
count of tracks inside collection this track belongs to,"Número de títulos na coleção, à qual pertence este item",número de faixas dentro da coleção que esta faixa pertence,DE,LLAMA,4.9323515694897075
disc number,Número da ficha,número do disco,DE,LLAMA,0.0
disc number inside a collection,Número da placa dentro da coleção,número do disco dentro da coleção,DE,LLAMA,30.213753973567677
disc count,Número de discos,número de discos,DE,LLAMA,55.03212081491043
count of discs inside collection this disc belongs to,"Número de discos na coleção, à qual pertence esta placa",número de discos dentro da coleção que este disco pertence,DE,LLAMA,8.913765521398126
location,Ort,local,DE,LLAMA,0.0
"Origin of media as a URI (location, where the original of the file or stream is hosted)","Origem do meio como URI (Local, onde o original da ficheira ou fluxo de dados está pronto para uso)",A origem da mídia como um URI (localização onde o arquivo ou fluxo original está hospedado),DE,LLAMA,6.962249700749937
homepage,Página da internet,página inicial,DE,LLAMA,0.0
Homepage for this media (i.e. artist or movie homepage),"Página da internet desse meio (por exemplo, página do artista ou de filme)",Página inicial desta mídia (página inicial do artista ou filme),DE,LLAMA,12.874330508144842
description,Descrição,descrição,DE,LLAMA,0.0
short text describing the content of the data,Uma breve descrição do conteúdo,texto pequeno descrevendo o conteúdo dos dados,DE,LLAMA,7.16047614494885
version,Versão,versão,DE,LLAMA,0.0
version of this data,Versão dessas informações,versão destes dados,DE,LLAMA,0.0
ISRC,ISRC,ISRC,DE,LLAMA,100.00000000000004
International Standard Recording Code - see http://www.ifpi.org/isrc/,Código Internacional de Gravação - veja http://www.ifpi.org/isrc/,Código de Gravação Padrão Internacional (ISRC) - consulte http://www.ifpi.org/isrc/,DE,LLAMA,56.620684755217994
organization,Organização,organização,DE,LLAMA,0.0
copyright,Copyright (C) 2023 Your Name or Entity. All rights reserved.,direitos autorais,DE,LLAMA,0.0
copyright notice of the data,Agradecimento pela cópia de direitos autorais dos dados,informação de direitos autorais dos dados,DE,LLAMA,51.697315395717055
copyright uri,Copyright URI,URI dos direitos autorais,DE,LLAMA,18.393972058572114
URI to the copyright notice of the data,URI para a declaração de direitos autorais dos dados,URI para a informação de direitos autorais dos dados,DE,LLAMA,59.694917920196445
encoded by,codificado por,codificado por,DE,LLAMA,100.00000000000004
name of the encoding person or organization,O nome da pessoa ou organização que codificou,nome da pessoa ou organização que codificou o arquivo,DE,LLAMA,74.20884818558928
contact,Contato,contato,DE,LLAMA,0.0
contact information,Informações de contato,informação de contato,DE,LLAMA,55.03212081491043
license,Licença,licença,DE,LLAMA,0.0
license of data,Licença dos dados,licença dos dados,DE,LLAMA,55.03212081491043
license uri,URI de licença Lizenz-URI,URI da licença,DE,LLAMA,18.99589214128981
URI to the license of the data,URI para licenciamento dos dados,URI para a licença dos dados,DE,LLAMA,24.736929544091932
performer,ator,participação,DE,LLAMA,0.0
person(s) performing,A pessoa que está interpretando o peça teatral.,pessoa(s) participante(s),DE,LLAMA,4.767707020457095
composer,compositor,compositor,DE,LLAMA,100.00000000000004
person(s) who composed the recording,"Para a gravação, responsável(es):",pessoa(s) que compôs(useram) a gravação,DE,LLAMA,9.080027618567454
conductor,Dirigent,maestro,DE,LLAMA,0.0
conductor/performer refinement,Detaillização do diretor/ator,maestro/músico de afinação,DE,LLAMA,10.682175159905848
duration,Duração,duração,DE,LLAMA,0.0
length in GStreamer time units (nanoseconds),Comprimento do trecho em unidades de tempo GStreamer (nanosegundos),comprimento em unidades de tempo do GStreamer (nanosegundos),DE,LLAMA,48.326978309062206
codec,Codificador/Decodificador,CODEC,DE,LLAMA,0.0
codec the data is stored in,"Formato de dados, no qual os dados estão armazenados",CODEC utilizado nos dados,DE,LLAMA,4.196114906296549
video codec,Codificador de vídeo,CODEC de vídeo,DE,LLAMA,55.03212081491043
codec the video data is stored in,"Dados de vídeo, no qual os dados do vídeo são armazenados",CODEC de vídeo utilizado nos dados,DE,LLAMA,7.495553473355845
audio codec,Codificador de áudio/Audio Codec,CODEC de áudio,DE,LLAMA,16.233395773754953
codec the audio data is stored in,"DNA (Acesso Direto ao Arquivo) ou outros formatos de áudio, nos quais as informações sonoras são armazenadas.",CODEC de áudio utilizado nos dados,DE,LLAMA,4.019656738893367
subtitle codec,Codificador de legendas,CODEC de legenda,DE,LLAMA,27.516060407455225
codec the subtitle data is stored in,"Dados de texto, no qual o subtítulo é armazenado",CODEC de legenda utilizado nos dados,DE,LLAMA,4.196114906296549
