original,translated,reference,context_languages,strategy,bleu
warning: %s: ignoring bogus filename,"atenção: %s : nome de arquivo inválido, ignorado",aviso: %s: ignorando nome de arquivo inválido,"ZH_CN,ES",LLAMA,46.92470064105599
can't determine current directory,não foi possível determinar qual é o diretório atual,não foi possível determinar o diretório atual,"ZH_CN,ES",LLAMA,43.167001068522545
can't set effective uid,impossível posicionar o proprietário (UID) efeitoivo,não foi possível definir o uid efetivo,"ZH_CN,ES",LLAMA,5.522397783539471
"the setuid man user ""%s"" does not exist","o utilizador com privilégio setuid ""%s"" não existe","o usuário man setuid ""%s"" não existe","ZH_CN,ES",LLAMA,59.00468726392806
fatal: regex `%s': %s,"erro fatal : expressão racional ""%s"" : %s","fatal: regex ""%s"": %s","ZH_CN,ES",LLAMA,57.067457770559976
multi key %s does not exist,a chave múltiple %s não existe,a multichave %s não existe,"ZH_CN,ES",LLAMA,43.47208719449914
can't lock index cache %s,não foi possível verificar o estado (stat) do arquivo %s,não foi possível travar o cache de índice %s,"ZH_CN,ES",LLAMA,15.133218633429316
index cache %s corrupt,Cache de índices %s danificada,o cache de índice %s está corrompido,"ZH_CN,ES",LLAMA,12.872632311973014
cannot replace key %s,impossível de substituir a chave %s,não foi possível substituir a chave %s,"ZH_CN,ES",LLAMA,53.29462628216855
bad fetch on multi key %s,acesso inválido na chave múltipla %s,busca ruim na multichave %s,"ZH_CN,ES",LLAMA,14.535768424205482
Database %s corrupted; rebuild with mandb --create,A base de dados %s está corrompida; reconstrua-lá com mandb --create.,Banco de dados %s corrompido; reconstrua-o com mandb --create,"ZH_CN,ES",LLAMA,26.58483576665878
"warning: %s has no version identifier
",atenção: %s não possui identificador de versão,"aviso: %s não possui identificador de versão
","ZH_CN,ES",LLAMA,86.33400213704509
"warning: %s is version %s, expecting %s
",atenção: a versão %s do pacote %s ao invés da versão esperada %s.,"aviso: %s é versão %s, esperava-se %s
","ZH_CN,ES",LLAMA,12.149176141753365
fatal: unable to insert version identifier into %s,erro fatal : impossível inserir o identificador de versão no campo %s,fatal: não foi possível de inserir o identificador de versão em %s,"ZH_CN,ES",LLAMA,34.32413993263389
[MAN DATABASE],[BASE DE DONNÉES DE MAN],[BANDO-DE-DADOS MAN],"ZH_CN,ES",LLAMA,14.535768424205482
The man database defaults to %s%s.,A base de dados padrão é %s%s.,O banco de dados man tem como padrão %s%s.,"ZH_CN,ES",LLAMA,34.78635157752423
emit debugging messages,exibição de mensagens de depuração,emite mensagens de depuração,"ZH_CN,ES",LLAMA,39.76353643835252
can't open %s for reading,não é possível abrir %s para leitura,não foi possível abrir %s para leitura,"ZH_CN,ES",LLAMA,70.71067811865478
[SECTION...],[SECTION...],[SEÇÃO...],"ZH_CN,ES",LLAMA,53.7284965911771
PATH,CHEMIN,CAMINHO,"ZH_CN,ES",LLAMA,0.0
set search path for manual pages to PATH,configuração do caminho de pesquisa para as páginas dos manuales como PATH,define o caminho de pesquisa por páginas de manual com CAMINHO,"ZH_CN,ES",LLAMA,13.545994273378144
FILE,Arquivo,ARQUIVO,"ZH_CN,ES",LLAMA,0.0
use this user configuration file,utilize este arquivo de configuração do usuário,usa esse arquivo de configuração de usuário,"ZH_CN,ES",LLAMA,26.269098944241588
man command failed with exit status %d,a commande man falhou com %d como código de retorno,o comando man falhou com estado de saída %d,"ZH_CN,ES",LLAMA,18.36028134946796
NULL content for key: %s,Contenuto vazio para chave: %s,conteúdo NULL para a chave: %s,"ZH_CN,ES",LLAMA,37.68499164492418
