original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
a number between 0 and 1,uma número entre 0 e 1,um número entre 0 e 1,"ID,RU",LLAMA,98.10201525688171,85.5602738337023,75.98356856515926,16.666666666666664,98.5132098197937
"in the form ""<name> <value>""",Dalám em forma '<nome> <valor>'.,"na forma ""<nome> <valor>""","ID,RU",LLAMA,78.71292233467102,50.975797308356576,43.36189090348677,100.0,88.58450055122375
string,cadeia de caracteres,texto,"ID,RU",LLAMA,48.940932750701904,6.922257720979766,0.0,100.0,73.10819029808044
integer,número inteiro,inteiro,"ID,RU",LLAMA,86.93409562110901,78.71683270862103,49.99999999999999,100.0,80.97739219665527
boolean,Valor de verdade,booleano,"ID,RU",LLAMA,51.88365578651428,6.211180124223602,0.0,100.0,71.7932641506195
list,lista,lista,"ID,RU",LLAMA,98.76866340637207,100.0,100.00000000000004,0.0,100.00002384185791
"either ""true"" or ""false""",Entweder 'true' (verdadeiro) ou 'false' (falso),"tanto ""true"" ou ""false""","ID,RU",LLAMA,87.70867586135864,19.515831547812663,4.196114906296549,100.0,81.53199553489685
a positive integer,uma número inteiro positivo,um inteiro positivo,"ID,RU",LLAMA,84.96846556663513,74.37948569301466,31.947155212313625,66.66666666666666,92.59970784187317
# default: ,# Valor padrão: ,# padrão: ,"ID,RU",LLAMA,92.27064251899719,69.49961123396763,35.35533905932737,50.0,88.63930702209473
"
#######################################################################
#
# Filter: %s
#   %s
#
# configured as follows:

","FILTER: %s
   %s

Configurado da seguinte forma:
","
#######################################################################
#
# Filtro: %s
#   %s
#
# foi configurado deste modo:

","ID,RU",LLAMA,33.26043784618378,16.675776159017055,0.018335775174127964,84.61538461538461,63.77369165420532
ASPELL_CONF env var,ASPELL_CONF Umgebungsvariable,ASPELL_CONF env var,"ID,RU",LLAMA,74.24240112304688,48.4263774211422,46.30777161991026,66.66666666666666,82.43657350540161
main configuration file,arquivo de configuração principal,arquivo de configuração principal,"ID,RU",LLAMA,98.5811710357666,100.0,100.00000000000004,0.0,100.0
location of main configuration file,Nome da principal arquivo de configuração,local do arquivo de configuração principal,"ID,RU",LLAMA,90.2303159236908,68.78118739844666,32.46679154750991,50.0,89.64792490005493
location of language data files,Nome das linguagens de dados,local dos arquivos de idiomas,"ID,RU",LLAMA,62.8741979598999,14.812833713268287,10.682175159905848,80.0,74.61057305335999
create dictionary aliases,criar aliases de palavras no dicionário,cria apelidos de dicionário,"ID,RU",LLAMA,84.91083979606628,40.70674774512057,9.652434877402245,100.0,78.78953814506531
location of the main word list,Nome da lista de palavras principais,local do vocabulário principal,"ID,RU",LLAMA,70.16554474830627,21.49917671808648,0.0,100.0,74.89092350006104
encoding to expect data to be in,"codificação, na qual os dados são esperados para estar em",codificação de entrada,"ID,RU",LLAMA,51.548659801483154,36.60927265048835,3.7477767366779213,100.0,75.62218308448792
add or removes a filter,adiciona ou remove um filtro,adiciona ou remove um filtro,"ID,RU",LLAMA,99.05539751052856,100.0,100.00000000000004,0.0,100.0
path(s) aspell looks for filters,Caminhos(es) nos quais aspell procura filtros,caminho(s) para aspell buscar filtros,"ID,RU",LLAMA,74.67203736305237,37.26387859359727,6.742555929751843,80.0,80.19858598709106
filter mode,modo de filtragem,modo filtro,"ID,RU",LLAMA,90.39251208305359,38.10126597542846,27.516060407455225,100.0,84.1145932674408
extra dictionaries to use,zusätzlich zu benutzende Wörterbücher,dicionários adicionais,"ID,RU",LLAMA,64.52794671058655,4.790421501672535,0.0,100.0,67.21200346946716
location for personal files,Nome para arquivos pessoais,local dos arquivos pessoais,"ID,RU",LLAMA,83.47076177597046,58.37332337761399,31.947155212313625,50.0,85.91479063034058
ignore words <= n chars,abaixe kata <= n chars,ignora palavras com menos de n caracteres,"ID,RU",LLAMA,55.80505728721619,7.442934659047852,6.870636427700047,85.71428571428571,60.81944704055786
ignore accents when checking words -- CURRENTLY IGNORED,ignoriere Akzente beim Überprüfen -- SAAT INI DIABAIKAN,ignora acentuação ao verificar palavras -- ATUALMENTE IGNORADO,"ID,RU",LLAMA,56.695377826690674,14.741660267378368,5.522397783539471,100.0,79.07562255859375
ignore case when checking words,ignore maiúsculas e minúsculas ao verificar,ignora case ao verificar palavras,"ID,RU",LLAMA,53.351038694381714,41.86294754479892,16.233395773754953,100.0,74.50863122940063
