original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,ID,LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para gerenciar o valor deste ID!,Não há suporte à definição de um valor para esta etiqueta!,ID,LLAMA,15.20797122409784
"Too few components specified (need %d, found %d)
","Chinh chứng quá rà hại thành phần (cần %d, tìm thấy %d) 
","Muito poucos componentes especificados (precisa de %d, encontrou %d)
",ID,LLAMA,14.879641171245488
"Numeric value expected
",Cần một giá trị bằng số,"Valor numérico esperado
",ID,LLAMA,0.0
Internal error. Please contact <%s>.,"Erro interno. Por favor, conecte-se ao <%s>.","Erro interno. Por favor, contate <%s>.",ID,LLAMA,67.03420896351791
Not yet implemented!,Não foi possível executar!,Não implementado ainda!,ID,LLAMA,12.703318703865365
Warning; Too many components specified!,Aviso de insuficiência de informações disponíveis para o componente especificado!,Aviso; Especificados componentes demais!,ID,LLAMA,4.456882760699063
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Existe muito dado EXIF (%i byte). Só %i byte é permitido.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,ID,LLAMA,13.32358437599213
Could not write '%s' (%s).,Não é possível escrever '%s' (%s).,"Não foi possível escrever ""%s"" (%s).",ID,LLAMA,35.72281085191041
Wrote file '%s'.,Fez treino com blocos de texto '%s'.,"Escrever arquivo ""%s"".",ID,LLAMA,4.990049701936832
EXIF entry '%s' ,Lema EXIF '%s' ,"Entrada EXIF ""%s""",ID,LLAMA,10.400597689005304
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ",ID,LLAMA,43.44371253135793
"exists in IFD '%s':
",ada di IFD '%s':,"existe em IFD ""%s"":
",ID,LLAMA,7.492442692259767
Adding entry...,Adicione entradas...,Adicionando entrada...,ID,LLAMA,39.76353643835252
IFD '%s' does not contain a tag '%s'!,IFD '%s' não tem o tag '%s'}!,"IFD ""%s"" não contém uma etiqueta ""%s""!",ID,LLAMA,4.277213401227561
Could not open '%s' (%s)!,Não é possível abrir '%s' (%s)!,"Não foi possível abrir ""%s"" (%s)!",ID,LLAMA,35.72281085191041
Could not determine size of '%s' (%s).,Não é possível determinar o tamanho do arquivo '%s' (%d).,"Não foi possível determinar o tamanho de ""%s"" (%s).",ID,LLAMA,21.874057156123218
Could not read '%s' (%s).,Não é possível ler o arquivo '%s' (%s).,"Não foi possível ler ""%s"" (%s)!",ID,LLAMA,22.718709780542323
IFD '%s' does not contain tag '%s'.,"Se o IFD '%s' não contiver a etiqueta '%s', falha.","IFD ""%s"" não contém uma etiqueta ""%s"".",ID,LLAMA,3.8275613602956104
'%s' does not contain tag '%s'.,'%s' não possui etiqueta '%s'.,"""%s"" não contém uma etiqueta ""%s""!",ID,LLAMA,4.396165418527572
'%s' does not contain a thumbnail!,'%s' não possui imagens de pequeno tamanho!,"IFD ""%s"" não contém uma miniatura!",ID,LLAMA,5.522397783539471
Could not open '%s' for writing (%s)!,Não é possível abrir '%s' para digitar (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!",ID,LLAMA,31.124182233206028
EXIF tags in '%s':,Tag EXIF di '%s':,"Etiquetas EXIF em ""%s"":",ID,LLAMA,7.492442692259767
"Unknown format or nonexistent MakerNote.
","Não foi possível identificar o formato ou não há informações de MakerNote. Para obter mais detalhes, tente executar 'exiftool -v'.","Formato desconhecido ou MakerNote inexistente.
",ID,LLAMA,2.1671320168371846
"MakerNote does not contain any value.
",MakerNote não contém valor.,"MakerNote não contém qualquer valor.
",ID,LLAMA,40.93653765389909
Unknown Tag,ID não é reconhecido.,Etiqueta desconhecida,ID,LLAMA,0.0
Unknown value,Valor desconhecido,Valor desconhecido,ID,LLAMA,100.00000000000004
EXIF tags in '%s' ('%s' byte order):,ID EXIF dentro de '%s' (ordem byte '%s'):,"Tags EXIF em ""%s"" (ordem de ""%s"" byte):",ID,LLAMA,7.967163419336866
Tag,Thẻ,Etiqueta,ID,LLAMA,0.0
Value,Valor de identificação,Valor,ID,LLAMA,27.516060407455225
EXIF data contains a thumbnail (%i bytes).,Dados EXIF contêm uma imagem de referência (%i byte).,Dados EXIF contêm uma miniatura (%i bytes).,ID,LLAMA,31.170906522700683
"ThumbnailSize	%i
",Kích cỡ ảnh mẫu Đ%i＠,"TamanhoMiniatura	%i
",ID,LLAMA,6.567274736060395
Display software version,Hiêntsi phim fênap mềp,Exiba a versão do software,ID,LLAMA,0.0
Show IDs instead of tag names,Hiêntxim tã sõ thay cho tên te,Mostra IDs em vez de nomes de etiquetas,ID,LLAMA,0.0
Select tag,Escolha a etiqueta,Seleciona uma etiqeuta,ID,LLAMA,0.0
tag,tag,etiqueta,ID,LLAMA,0.0
Select IFD,Pilipe o IFD,Seleciona IFD,ID,LLAMA,27.516060407455225
IFD,IFD,IFD,ID,LLAMA,100.00000000000004
List all EXIF tags,Lista de todos os tags EXIF,Lista todas as etiquetas EXIF,ID,LLAMA,9.652434877402245
Show contents of tag MakerNote,Hiện nội dung của thẻ MakerNote,Mostra conteúdos ,ID,LLAMA,0.0
Remove tag or ifd,Borra o token ou IFD,Remove etiqueta ou ifd,ID,LLAMA,10.682175159905848
Show description of tag,Hiện mô tả của thẻ ID,Mostra descrição de etiqueta,ID,LLAMA,0.0
Extract thumbnail,Trích ảnh thu nhỏ,Extrai miniatura,ID,LLAMA,0.0
Remove thumbnail,Borrar imagem pequena,Remove miniatura,ID,LLAMA,0.0
Insert FILE as thumbnail,Chèn TẬP TIN dạng ảnh mẫu,Insere ARQUIVO como miniatura,ID,LLAMA,0.0
FILE,ID do usuário,ARQUIVO,ID,LLAMA,0.0
Do not fix existing tags in files,Não faça alterações no termo de identificação que já está presente no arquivo.,Não fixa etiquetas existentes em arquivos,ID,LLAMA,2.8398387225677895
Write data to FILE,Digite dados no TAPETIN,Escreve dados para ARQUIVO,ID,LLAMA,15.97357760615681
