original,translated,reference,context_languages,strategy,bleu
Applications,Aplicação do sistema operacional,Aplicativos,ID,LLAMA,0.0
applications,aplicação,aplicativos,ID,LLAMA,0.0
Desktop,Máquina virtual de computação,Área de trabalho,ID,LLAMA,15.97357760615681
desktop,máquina virtual de computador,área de trabalho,ID,LLAMA,15.97357760615681
Documents,Tài liệu,Documentos,ID,LLAMA,0.0
documents,documentário,documentos,ID,LLAMA,0.0
Download,Tá na hora de baixar o arquivo.,Download,ID,LLAMA,0.0
download,tarefa concluída com sucesso.,download,ID,LLAMA,0.0
Downloads,Arquivo de transferência,Downloads,ID,LLAMA,0.0
downloads,arquivo baixado,downloads,ID,LLAMA,0.0
Movies,Filme,Filmes,ID,LLAMA,0.0
movies,filme,filmes,ID,LLAMA,0.0
Music,Nhạc,Músicas,ID,LLAMA,0.0
music,não foi possível obter estado (stat) do arquivo %s,músicas,ID,LLAMA,0.0
Photos,Foto de impressão,Fotos,ID,LLAMA,0.0
photos,foto de rastreamento,fotos,ID,LLAMA,0.0
Pictures,Imagem,Imagens,ID,LLAMA,0.0
pictures,imagem,imagens,ID,LLAMA,0.0
Projects,Projeto de desenvolvimento,Projetos,ID,LLAMA,0.0
projects,projeto,projetos,ID,LLAMA,0.0
Public,Código,Público,ID,LLAMA,0.0
public,công,público,ID,LLAMA,0.0
Share,Chia sẻ,Compartilhados,ID,LLAMA,0.0
share,ID do usuário,compartilhados,ID,LLAMA,0.0
Templates,ID,Modelos,ID,LLAMA,0.0
templates,mẫu,modelos,ID,LLAMA,0.0
Videos,Área de trabalho em movimento,Vídeos,ID,LLAMA,0.0
videos,imagem em movimento,vídeos,ID,LLAMA,0.0
