original,translated,reference,context_languages,strategy,bleu
Applications,Aplicações,Aplicativos,"FR,RU",LLAMA,0.0
applications,aplicações,aplicativos,"FR,RU",LLAMA,0.0
Desktop,máquina de trabalho em linha,Área de trabalho,"FR,RU",LLAMA,21.3643503198117
desktop,máquina de trabalho virtual,área de trabalho,"FR,RU",LLAMA,31.947155212313625
Documents,Tài liệu,Documentos,"FR,RU",LLAMA,0.0
documents,documentos,documentos,"FR,RU",LLAMA,100.00000000000004
Download,Downloadar,Download,"FR,RU",LLAMA,0.0
download,tarefa concluída com sucesso.,download,"FR,RU",LLAMA,0.0
Downloads,Baixar arquivo,Downloads,"FR,RU",LLAMA,0.0
downloads,bản tải về,downloads,"FR,RU",LLAMA,0.0
Movies,Filmes,Filmes,"FR,RU",LLAMA,100.00000000000004
movies,filme,filmes,"FR,RU",LLAMA,0.0
Music,Música,Músicas,"FR,RU",LLAMA,0.0
music,música francesa,músicas,"FR,RU",LLAMA,0.0
Photos,Área de imagens,Fotos,"FR,RU",LLAMA,0.0
photos,foto a ser tirada,fotos,"FR,RU",LLAMA,0.0
Pictures,Área de Imagens,Imagens,"FR,RU",LLAMA,27.516060407455225
pictures,imagens,imagens,"FR,RU",LLAMA,100.00000000000004
Projects,Projeto,Projetos,"FR,RU",LLAMA,0.0
projects,projeto,projetos,"FR,RU",LLAMA,0.0
Public,Công,Público,"FR,RU",LLAMA,0.0
public,concurso público,público,"FR,RU",LLAMA,49.99999999999999
Share,compartilhar files,Compartilhados,"FR,RU",LLAMA,0.0
share,partilhar arquivos,compartilhados,"FR,RU",LLAMA,0.0
Templates,modelo,Modelos,"FR,RU",LLAMA,0.0
templates,modelos,modelos,"FR,RU",LLAMA,100.00000000000004
Videos,Vídeos em movimento,Vídeos,"FR,RU",LLAMA,27.516060407455225
videos,área de trabalho em movimento,vídeos,"FR,RU",LLAMA,0.0
