original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Exibir a versão do GStreamer em português,Exibe a versão do GStreamer,"VI,ID",LLAMA,41.11336169005198
Make all warnings fatal,Trate todos os avisos como erros,Trata todos avisos como fatais,"VI,ID",LLAMA,17.965205598154213
Print available debug categories and exit,Exibir as categorias de diagnóstico disponíveis e sair do programa.,Exibe as categorias de depuração disponíveis e sair,"VI,ID",LLAMA,23.462350320527996
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Vorgegebene Fehlerdiagnosestufe von 1 (nur Fehler) bis 9 (Alles) ou 0 para nenhum resultado,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"VI,ID",LLAMA,16.742585208389396
LEVEL,Estado do sistema,NÍVEL,"VI,ID",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Senarai separados por vírgula de pares 'Categoria_Name:Nível' para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","VI,ID",LLAMA,47.007683051386714
LIST,LISTA,LISTA,"VI,ID",LLAMA,100.00000000000004
Disable colored debugging output,Desabilitar a exibição de saída colorida dos erros do farbige Fehlerdiagnoseausgabe.,Desabilita saída de depuração colorida,"VI,ID",LLAMA,4.456882760699063
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Mudança do modo de cor do protocolo de diagnóstico de erro. Modos possíveis: off (desligado), on (ligado), disable (deactivado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","VI,ID",LLAMA,58.5120406090245
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,"VI,ID",LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de pontos duplos separados, são definidos os caminhos para os plugins.","Caminhos, separados por dois-pontos, de plug-ins","VI,ID",LLAMA,3.4585921141027356
PATHS,PFADE,CAMINHOS,"VI,ID",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,Senarai plugin dipisahkan oleh koma untenero para pramuat sebagai tambahan dari senarai yang disimpan di lingkungan variabel GST_PLUGIN_PATH,"Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","VI,ID",LLAMA,16.171249275965117
PLUGINS,PLUGINS,PLUG-INS,"VI,ID",LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desligue o mecanismo de rastreamento ao detectar falhas no acesso ao armazenamento durante o carregamento de plugins.,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"VI,ID",LLAMA,9.083627868206413
Disable updating the registry,Desabilitar a atualização da Registry,Desabilita atualização do registro,"VI,ID",LLAMA,10.682175159905848
Disable spawning a helper process while scanning the registry,Desligue o processo auxiliar ao ler a Registry desativada.,Desabilita a criação de um processo auxiliar durante a análise do registro,"VI,ID",LLAMA,7.603985612048923
GStreamer Options,Opções do GStreamer,Opções do GStreamer,"VI,ID",LLAMA,100.00000000000004
Show GStreamer Options,Exibir as opções de GStreamer,Exibe opções do GStreamer,"VI,ID",LLAMA,12.703318703865365
