original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
","%s: não é possível resolver o endereço bind %s; desligando bind. 
","%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
","ID,ZH_CN",LLAMA,24.375427155462503
Connecting to %s|%s|:%d... ,Menghubungi %s|%s|:%d... ,Conectando-se a %s|%s|:%d... ,"ID,ZH_CN",LLAMA,84.46319809857219
Connecting to %s:%d... ,Menghubungi %s:%d... ,Conectando-se a %s:%d... ,"ID,ZH_CN",LLAMA,77.25505949016376
Connecting to [%s]:%d... ,Conectando ao [%s]:%d... ,Conectando-se a [%s]:%d... ,"ID,ZH_CN",LLAMA,80.70557274927978
"setsockopt SO_RCVBUF failed: %s
",falha ao configurar o soquete SO_RCVBUF: %s,"setsockopt SO_RCVBUF falhou: %s
","ID,ZH_CN",LLAMA,23.462350320527996
"connected.
",conexão estabelecida.,"conectado.
","ID,ZH_CN",LLAMA,27.516060407455225
"failed: %s.
",gagal: %s.,"falha: %s.
","ID,ZH_CN",LLAMA,66.87403049764218
"%s: unable to resolve host address %s
",%s: não é possível resolver o endereço %s,"%s: não foi possível resolver endereço de máquina %s
","ID,ZH_CN",LLAMA,29.81247384881109
"setsockopt SO_REUSEADDR failed: %s
",falha ao configurar o socket SO_REUSEADDR: %s,"setsockopt SO_REUSEADDR falhou: %s
","ID,ZH_CN",LLAMA,23.462350320527996
"Too many fds open.  Cannot use select on a fd >= %d
","Excesso de fds abertos. Não é possível utilizar select para fd >= %d
","Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
","ID,ZH_CN",LLAMA,31.53554052490134
"Converted links in %d files in %s seconds.
",As URLs foram convertidas em arquivos (%d) ao longo de %s segundos.,"Links convertidos em %d arquivos em %s segundos.
","ID,ZH_CN",LLAMA,18.295654224495205
Converting links in %s... ,Mengonversi tautan di %s... ,Convertendo links em %s... ,"ID,ZH_CN",LLAMA,51.697315395717055
"nothing to do.
",não há nada para fazer.,"nada a ser feito.
","ID,ZH_CN",LLAMA,9.652434877402245
"%d.
",%d.,"%d.
","ID,ZH_CN",LLAMA,100.00000000000004
"Cannot convert links in %s: %s
","Не foi possível converter as referências em %s: %s
","Não foi possível converter links em %s: %s
","ID,ZH_CN",LLAMA,53.107253497886994
