original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá a possibilidade de ler do CD.,Não foi possível ler as informações do CD.,"VI,FR",LLAMA,73.28125238418579,24.410972475801863,19.493995755254467,75.0,83.68561267852783
Could not open CD device for reading.,Tá aí para abrir o leitor de CDs para ler?,Não foi possível abrir o dispositivo de CD para leitura.,"VI,FR",LLAMA,56.85005784034729,26.012099157554893,8.913765521398126,60.0,76.03411674499512
Disc is not an Audio CD.,Cakram bukan CD Audio.,O disco não é um CD de áudio.,"VI,FR",LLAMA,70.45664191246033,16.02757609585423,5.70796903405875,87.5,79.78289127349854
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"VI,FR",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,"VI,FR",LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,falha ao tentar ir para o capítulo %d do DVD intitulado %d,Falha ao avançar para o capítulo %d do título %d do DVD,"VI,FR",LLAMA,84.83182787895203,60.354791995089485,49.132705481444226,41.66666666666667,83.91287326812744
Could not open DVD title %d. Interactive titles are not supported by this element,Tá com o DVD %d. O título interativo não é suportado por este elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"VI,FR",LLAMA,68.29641461372375,37.49100974159689,10.393125935386331,77.77777777777779,84.46513414382935
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tak dapat membaca DVD. Hal ini karena DVD terenkripsi dan pustaka dekripsi DVD tidak diinstal.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"VI,FR",LLAMA,76.60273313522339,15.67691256096611,3.1937845256964716,88.0,77.2859275341034
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"VI,FR",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Arquivo não contém dados.,Este fluxo não contém dados.,"VI,FR",LLAMA,87.99735903739929,64.79074494139822,54.75182535069452,40.0,86.27123832702637
