original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s para %s inválido,argumento inválido para %s: %s,"RU,ZH_CN",LLAMA,28.98580955281284
ambiguous argument %s for %s,argumento %s para %s ambíguo,argumento ambíguo %s para %s,"RU,ZH_CN",LLAMA,66.87403049764224
Valid arguments are:,Argumentos aceitos:,Argumentos válidos são:,"RU,ZH_CN",LLAMA,24.840753130578644
regular empty file,arquivo regular vazio,arquivo comum vazio,"RU,ZH_CN",LLAMA,34.66806371753173
regular file,arquivo regular,arquivo comum,"RU,ZH_CN",LLAMA,49.99999999999999
directory,diretório,diretório,"RU,ZH_CN",LLAMA,100.00000000000004
symbolic link,simbolo tautológico,link simbólico,"RU,ZH_CN",LLAMA,0.0
message queue,fila de mensagens antiana,fila de mensagem,"RU,ZH_CN",LLAMA,31.947155212313625
semaphore,semáforo,semáforo,"RU,ZH_CN",LLAMA,100.00000000000004
shared memory object,objeto de memória compartilhada,objeto em memória compartilhada,"RU,ZH_CN",LLAMA,35.35533905932737
typed memory object,objeto de memória tipificada,objeto de memória tipificada,"RU,ZH_CN",LLAMA,100.00000000000004
block special file,arquivo especial com bloqueio de região,arquivo especial de bloco,"RU,ZH_CN",LLAMA,17.965205598154213
character special file,ficheiro de caracteres especiais,arquivo especial de caractere,"RU,ZH_CN",LLAMA,15.97357760615681
contiguous data,dados que se seguem na sequência,dados contíguos,"RU,ZH_CN",LLAMA,8.116697886877475
fifo,fila de entrada/saída,fifo,"RU,ZH_CN",LLAMA,0.0
door,porta,porta,"RU,ZH_CN",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de armazenamento multiplesso,arquivo multiplexado especial de bloco,"RU,ZH_CN",LLAMA,23.643540225079384
multiplexed character special file,arquivo especial com caracteres múltiplos e polimórficos,arquivo multiplexado especial de caractere,"RU,ZH_CN",LLAMA,7.809849842300637
multiplexed file,arquivo multiplesso,arquivo multiplexado,"RU,ZH_CN",LLAMA,49.99999999999999
named file,nome do arquivo,arquivo nomeado,"RU,ZH_CN",LLAMA,27.516060407455225
network special file,arquivo especial de rede,arquivo especial de rede,"RU,ZH_CN",LLAMA,100.00000000000004
migrated file with data,arquivo termigrasi com dados,arquivo migrado com dados,"RU,ZH_CN",LLAMA,35.35533905932737
migrated file without data,arquivo termigrasi sem dados,arquivo migrado sem dados,"RU,ZH_CN",LLAMA,35.35533905932737
port,porta de rede,porta,"RU,ZH_CN",LLAMA,27.516060407455225
socket,socket,soquete,"RU,ZH_CN",LLAMA,0.0
whiteout,desenvolvimento de software com 'whiteout' para criptografia de arquivos,whiteout,"RU,ZH_CN",LLAMA,0.0
