original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há blocos de memória suficientes.,Memória insuficiente.,"VI,DE",LLAMA,6.567274736060395
Setting a value for this tag is unsupported!,Não há suporte para a função de criar um valor para esta marca!,Não há suporte à definição de um valor para esta etiqueta!,"VI,DE",LLAMA,27.379285619165262
"Too few components specified (need %d, found %d)
","Chamamento para aumentar o número de componentes (%d necessário, %d identificado)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","VI,DE",LLAMA,8.47178590796544
"Numeric value expected
",Cần một giá trị bằng số,"Valor numérico esperado
","VI,DE",LLAMA,0.0
Internal error. Please contact <%s>.,"Erro interno. Por favor, entre em contato com <%s>.","Erro interno. Por favor, contate <%s>.","VI,DE",LLAMA,57.02822264405544
Not yet implemented!,Não foi possível executar a operação!,Não implementado ainda!,"VI,DE",LLAMA,7.809849842300637
Warning; Too many components specified!,CANALHA BAO: há poucos componentes listados no campo!,Aviso; Especificados componentes demais!,"VI,DE",LLAMA,4.990049701936832
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Quá nhiều dữ liệu EXIF (%i byte). Chỉ cho phép %i byte.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"VI,DE",LLAMA,12.512236921161914
Could not write '%s' (%s).,Không thêm %s (%s) no ficheiro.,"Não foi possível escrever ""%s"" (%s).","VI,DE",LLAMA,24.177037175577333
Wrote file '%s'.,Foi feito treino no arquivo '%s'.,"Escrever arquivo ""%s"".","VI,DE",LLAMA,6.27465531099474
EXIF entry '%s' ,"Mục tin EXIF ""%s""","Entrada EXIF ""%s""","VI,DE",LLAMA,61.47881529512643
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","VI,DE",LLAMA,43.44371253135793
"exists in IFD '%s':
","đã tồn tại trong IFD ""%s"":","existe em IFD ""%s"":
","VI,DE",LLAMA,51.697315395717055
Adding entry...,Adicione um item...,Adicionando entrada...,"VI,DE",LLAMA,30.213753973567677
IFD '%s' does not contain a tag '%s'!,"IFD ""%s"" não contém nenhum símbolo de interrupção ""%s""!","IFD ""%s"" não contém uma etiqueta ""%s""!","VI,DE",LLAMA,60.26080978557135
Could not open '%s' (%s)!,"Không thể mở ""%s"" (%d)!","Não foi possível abrir ""%s"" (%s)!","VI,DE",LLAMA,43.172808732956575
Could not determine size of '%s' (%s).,Não é possível determinar o tamanho do arquivo '%s' (%s).,"Não foi possível determinar o tamanho de ""%s"" (%s).","VI,DE",LLAMA,40.325042950627804
Could not read '%s' (%s).,Não é possível ler o arquivo %s (%s).,"Não foi possível ler ""%s"" (%s)!","VI,DE",LLAMA,26.911091103444726
IFD '%s' does not contain tag '%s'.,"IFD ""%s"" não contém a etiqueta '%s'.","IFD ""%s"" não contém uma etiqueta ""%s"".","VI,DE",LLAMA,47.61663737003947
'%s' does not contain tag '%s'.,%s,"""%s"" não contém uma etiqueta ""%s""!","VI,DE",LLAMA,0.40867714384640685
'%s' does not contain a thumbnail!,"IFD ""%s"" não possui imagens de exemplo!","IFD ""%s"" não contém uma miniatura!","VI,DE",LLAMA,47.987820666906615
Could not open '%s' for writing (%s)!,"Không thêm mở ""%s"" para ghi (%s)!","Não foi possível abrir ""%s"" para escrita (%s)!","VI,DE",LLAMA,49.5043021737605
EXIF tags in '%s':,"Thêm EXIF trong ""%s"":","Etiquetas EXIF em ""%s"":","VI,DE",LLAMA,54.10822690539397
"Unknown format or nonexistent MakerNote.
",Não há informações sobre o tamanho do arquivo ou a presença de uma anotação do fabricante.,"Formato desconhecido ou MakerNote inexistente.
","VI,DE",LLAMA,2.719665272174911
"MakerNote does not contain any value.
",MakerNote não possui valor.,"MakerNote não contém qualquer valor.
","VI,DE",LLAMA,24.736929544091932
Unknown Tag,Não é possível identificar a marcação.,Etiqueta desconhecida,"VI,DE",LLAMA,0.0
Unknown value,Valor baixo,Valor desconhecido,"VI,DE",LLAMA,49.99999999999999
EXIF tags in '%s' ('%s' byte order):,"Thẻ EXIF trong ""%s"" (thứ tự byte %d):","Tags EXIF em ""%s"" (ordem de ""%s"" byte):","VI,DE",LLAMA,27.073126310761644
Tag,Thẻ,Etiqueta,"VI,DE",LLAMA,0.0
Value,Valor,Valor,"VI,DE",LLAMA,100.00000000000004
EXIF data contains a thumbnail (%i bytes).,Dados EXIF contêm uma imagem de referência (%i byte).,Dados EXIF contêm uma miniatura (%i bytes).,"VI,DE",LLAMA,31.170906522700683
"ThumbnailSize	%i
",Kích cỡ ảnh mẫu %i,"TamanhoMiniatura	%i
","VI,DE",LLAMA,16.233395773754953
Display software version,Hiện thị phiên bản phần mềm,Exiba a versão do software,"VI,DE",LLAMA,0.0
Show IDs instead of tag names,Hiêni thị mã số thay cho tên tiến hóa,Mostra IDs em vez de nomes de etiquetas,"VI,DE",LLAMA,0.0
Select tag,Escolha o sinal,Seleciona uma etiqeuta,"VI,DE",LLAMA,0.0
tag,término,etiqueta,"VI,DE",LLAMA,0.0
Select IFD,Chose IFD,Seleciona IFD,"VI,DE",LLAMA,49.99999999999999
IFD,IFD,IFD,"VI,DE",LLAMA,100.00000000000004
List all EXIF tags,Listagem completa de todas as marcações EXIF,Lista todas as etiquetas EXIF,"VI,DE",LLAMA,14.535768424205482
Show contents of tag MakerNote,Contenido atual do cartão de notas do fabricante,Mostra conteúdos ,"VI,DE",LLAMA,0.0
Remove tag or ifd,Borrar a linha ou IFD.,Remove etiqueta ou ifd,"VI,DE",LLAMA,8.116697886877475
Show description of tag,Descrição atual da marca,Mostra descrição de etiqueta,"VI,DE",LLAMA,0.0
Extract thumbnail,Tríquela de imagem pequena,Extrai miniatura,"VI,DE",LLAMA,0.0
Remove thumbnail,Remover imagem pequena,Remove miniatura,"VI,DE",LLAMA,0.0
Insert FILE as thumbnail,Chèn TẾP TIN dãng ảnh mẫu,Insere ARQUIVO como miniatura,"VI,DE",LLAMA,0.0
FILE,TÁ PENSANDO?,ARQUIVO,"VI,DE",LLAMA,0.0
Do not fix existing tags in files,Não faça alterações em marcações existentes no arquivo.,Não fixa etiquetas existentes em arquivos,"VI,DE",LLAMA,6.27465531099474
Write data to FILE,Ghi dữ liệu vào TẬP TIN,Escreve dados para ARQUIVO,"VI,DE",LLAMA,0.0
Value of tag,Valor da marcação do sinal,Valor de uma etiqueta,"VI,DE",LLAMA,10.682175159905848
STRING,CHUỖI,STRING,"VI,DE",LLAMA,0.0
Create EXIF data if not existing,Táo dữ liệu EXIF nếu không có.,"Cria dados EXIF, se não existentes","VI,DE",LLAMA,5.522397783539471
Output in a machine-readable (tab delimited) format,Xuaste para um padrão de leitura por máquina (separado por tabulação),"Saída em um formato legível por máquina (delimitado por ""tab"")","VI,DE",LLAMA,12.661968357569915
Width of output,Chiêu longitudinal de saída,Largura da saída,"VI,DE",LLAMA,15.97357760615681
WIDTH,RỘNG,LARGURA,"VI,DE",LLAMA,0.0
Output in a XML format,Saída em formato XML,Saída em um formato XML,"VI,DE",LLAMA,35.1862973998119
Show debugging messages,Hiện thông tin gỡ lỗi,Mostra mensagens de depuração,"VI,DE",LLAMA,0.0
Help options:,Escolha a opção de ajuda:,Opções de ajuda:,"VI,DE",LLAMA,30.213753973567677
Show this help message,Olá! Estou aqui para ajudar.,Mostra esta mensagem de ajuda,"VI,DE",LLAMA,0.0
Display brief usage message,Aviso curto de assistência necessária,Exibe uma breve mensagem de uso,"VI,DE",LLAMA,8.745825313180626
[OPTION...] file,[TÙY_CHỌN...] tập_tin,[OPÇÃO...] arquivo,"VI,DE",LLAMA,24.808415001701817
