original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,ES,LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,ES,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,ES,LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,ES,LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: O parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,ES,LLAMA,76.70387248467661
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,ES,LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,ES,LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios e opcionais para as opções longas também são obrigatórios ou opcionais para as correspondentes opções curtas.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,ES,LLAMA,21.180085482357107
Usage:,Modo de uso:,Uso:,ES,LLAMA,15.97357760615681
  or: ,o bem do bien, ou: ,ES,LLAMA,0.0
 [OPTION...],[OPCIÓN...], [OPÇÃO...],ES,LLAMA,53.7284965911771
"Try '%s --help' or '%s --usage' for more information.
","Tente '%s --help' ou '%s --uso' para mais informações.
","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
",ES,LLAMA,22.0189498013509
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
",ES,LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,ES,LLAMA,21.02241038134286
give this help list,da esta lista de ajuda ES,fornece esta lista de ajuda,ES,LLAMA,50.81327481546149
give a short usage message,um mensageiro de uso curto,fornece uma mensagem de uso curta,ES,LLAMA,17.491650626361256
NAME,Nome,NOME,ES,LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,ES,LLAMA,66.87403049764218
SECS,SEGS,SEGS,ES,LLAMA,100.00000000000004
hang for SECS seconds (default 3600),cuelga durante SEGS segundos (por omissão de 3600),segura por SEGS segundos (padrão 3600),ES,LLAMA,20.556680845025987
print program version,exibe a versão do programa,mostra a versão do programa,ES,LLAMA,66.87403049764218
(PROGRAM ERROR) No version known!?,(ERRO DO PROGRAMA) Qual é a versão desse programa?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,ES,LLAMA,10.600313379512592
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
",ES,LLAMA,28.641904579795423
(PROGRAM ERROR) Option should have been recognized!?,"(ERRO DO PROGRAMA) Por que não deveria ter reconhecido a opção?
",(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,ES,LLAMA,10.571070857151541
write error,erro de escritura,erro de escrita,ES,LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
",%s: a opção '%s%s' é ambígua,"%s: a opção ""%s%s"" é ambígua
",ES,LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",ES,LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
",ES,LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
",ES,LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
",ES,LLAMA,39.355951621009716
"%s: invalid option -- '%c'
","%s: a opção '%c' não permite argumento
","%s: opção inválida -- ""%c""
",ES,LLAMA,15.851165692617148
"%s: option requires an argument -- '%c'
",%s: a opção '%c' requer um argumento.,"%s: a opção exige um argumento -- ""%c""
",ES,LLAMA,34.68626146171918
memory exhausted,memória insuficiente (ES),memória esgotada,ES,LLAMA,10.682175159905848
unable to record current working directory,não é possível obter o diretório de trabalho atual,não foi possível registrar o diretório de trabalho atual,ES,LLAMA,48.54917717073236
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial,falha em retornar ao diretório de trabalho inicial,ES,LLAMA,70.71067811865478
`,«,“,ES,LLAMA,0.0
',»,”,ES,LLAMA,0.0
^[yY],^[sSyY],^[+1SsyY],ES,LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],ES,LLAMA,35.35533905932737
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
",ES,LLAMA,100.00000000000004
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
",ES,LLAMA,100.00000000000004
(C),©,(C),ES,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GPL de GNU versão 3 ou posterior <%s>. Este é software livre: ele tem permissão para modificá-lo e redistribuí-lo. Não há nenhuma garantia, até onde a lei o permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",ES,LLAMA,31.324269474241362
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",ES,LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",ES,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s e %s.
",ES,LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
",ES,LLAMA,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, e %s.
",ES,LLAMA,83.94327083733333
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, e %s. 
","Escrito por %s, %s, %s
%s, %s, e %s.
",ES,LLAMA,86.56030552541704
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, e %s.
",ES,LLAMA,88.43865924896839
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
y %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
e %s.
",ES,LLAMA,79.37559205024688
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, e y %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, e %s.
",ES,LLAMA,82.32325806433653
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, %s, e outros.","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s, e outros.
",ES,LLAMA,91.57103753711765
"Report bugs to: %s
",Comunicar erros a: %s,"Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
",ES,LLAMA,0.829900970250428
"Report %s bugs to: %s
","Comunicar erros em %s para a: %s
","Relate erros do %s para: %s
",ES,LLAMA,27.301208627090666
"%s home page: <%s>
",Página de %s: <%s>,"Página do %s: <%s>
",ES,LLAMA,75.06238537503395
"General help using GNU software: <%s>
",Ajuda geral sobre o uso de software GNU: <%s>,"Ajuda em geral no uso de software GNU: <%s>
",ES,LLAMA,68.12455364200612
%s: Cannot %s,%s: Não é possível executar %s,%s: Função %s falhou,ES,LLAMA,22.31618068926665
%s: Warning: Cannot %s,%s: Atenção: Não é possível executar %s.,%s: Atenção: Função %s falhou,ES,LLAMA,36.462858619364674
%s: Cannot change mode to %s,%s: Não é possível mudar o modo para %s,%s: Não foi possível mudar modo para %s,ES,LLAMA,46.59538415189962
"%s: Cannot change ownership to uid %ju, gid %ju","%s: Não é possível alterar o proprietário para uid %ju, gid %ju","%s: Não foi possível alterar o dono para uid %ju, gid %ju",ES,LLAMA,64.22727797927409
%s: Cannot hard link to %s,%s: não é possível criar um link simbólico a %s,%s: Não foi possível criar um link físico para %s,ES,LLAMA,31.170906522700683
%s: Cannot seek to %jd,%s: Não é possível mover para %jd,%s: Não foi possível saltar para %jd,ES,LLAMA,39.281465090051285
%s: Warning: Cannot seek to %jd,%s: Atenção: Não é possível mover para %jd,%s: Aviso: Não foi possível saltar para %jd,ES,LLAMA,24.808415001701803
%s: Cannot create symlink to %s,%s: não é possível criar o link simbólico para %s,%s: Não foi possível criar um link simbólico para %s,ES,LLAMA,42.50281413416977
Removing leading `%s' from member names,Eliminando a `%s' inicial dos nomes,"Removendo ""%s"" inicial dos nomes dos membros",ES,LLAMA,17.20339087300932
Removing leading `%s' from hard link targets,Eliminando a `%s' inicial dos objetivos de los enlaces,"Removendo ""%s"" inicial dos alvos de links físicos",ES,LLAMA,8.913765521398126
Substituting `.' for empty member name,Se substitui '. por o nome vazio,"Substituindo ""."" para nome de membro vazio",ES,LLAMA,6.413885305524152
Substituting `.' for empty hard link target,Se substitui `.' por um objetivo vazio de ligação rígida.,"Substituindo ""."" para alvo de link físico vazio",ES,LLAMA,4.065425428798724
exec/tcp: Service not available,exec/tcp: Serviço não disponível,exec/tcp: Serviço não disponível,ES,LLAMA,100.00000000000004
stdin,entrada padrão (stdin),entrada padrão (stdin),ES,LLAMA,100.00000000000004
stdout,saída padrão (stdout),saída padrão (stdout),ES,LLAMA,100.00000000000004
Cannot redirect files for remote shell,Não é possível redirecionar arquivos para um shell remoto,Não foi possível redirecionar arquivos para o shell remoto,ES,LLAMA,36.88939732334405
Cannot reset uid and gid: %s,Não é possível restabelecer o uid e gid do usuário %s.,Não foi possível redefinir uid e gid: %s,ES,LLAMA,15.727800941615351
