original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar a imagem temporária com OpenCV,O OpenCV falhou ao carregar a imagem modelo,"VI,DE",LLAMA,36.55552228545123
Could not read title information for DVD.,Não foi possível ler as informações do título da DVD.,Não foi possível ler as informações de título do DVD.,"VI,DE",LLAMA,54.91004867761124
Failed to open DVD device '%s'.,"Não foi possível abrir o dispositivo de DVD ""%s"".","Falha ao abrir o dispositivo de DVD ""%s"".","VI,DE",LLAMA,73.61703354503862
Failed to set PGC based seeking.,não foi possível configurar o localizador baseado em PGC.,Falha ao definir busca baseada em PGC.,"VI,DE",LLAMA,15.619699684601283
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e não há uma biblioteca instalada para decifrá-lo.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"VI,DE",LLAMA,39.12950299584578
Could not read DVD.,Não foi possível ler o DVD.,Não foi possível ler o DVD.,"VI,DE",LLAMA,100.00000000000004
This file contains no playable streams.,Este arquivo contém um fluxo que não pode ser reproduzido.,Este arquivo não contém fluxos reproduzíveis.,"VI,DE",LLAMA,9.425159511373677
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"VI,DE",LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,A criação do arquivo gerou um segmento de aviso que ultrapassa a duração da própria taxa de fluxo.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"VI,DE",LLAMA,5.7259987315337755
Missing element '%s' - check your GStreamer installation.,"Falta o componente ""%s"" - por favor, verifique seu instalador de GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","VI,DE",LLAMA,19.345299022826193
"File location is set to NULL, please set it to a valid filename","O local do arquivo foi definido como NULL. Por favor, defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","VI,DE",LLAMA,23.210911117419965
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"VI,DE",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato do subjanelamento não foi configurado antes da transmissão dos dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"VI,DE",LLAMA,24.71244254525359
Failed to get fragment URL.,não foi possível obter estado (stat) do arquivo %s,Falha ao obter um fragmento de URL.,"VI,DE",LLAMA,3.3864985683445354
Couldn't download fragments,não foi possível baixar o fragmento.,Não foi possível baixar os fragmentos,"VI,DE",LLAMA,24.446151121745054
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"VI,DE",LLAMA,100.00000000000004
"Device ""%s"" does not exist.","Dispositivo ""%s"" não existe.","O dispositivo ""%s"" não existe.","VI,DE",LLAMA,74.20884818558928
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo de interface frontal ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".","VI,DE",LLAMA,78.25422900366432
"Could not get settings from frontend device ""%s"".","Não foi possível obter as configurações do dispositivo frontal ""%s"".","Não foi possível obter as configurações do dispositivo de interface ""%s"".","VI,DE",LLAMA,72.85959997974687
"Cannot enumerate delivery systems from frontend device ""%s"".","Não é possível enumerar os sistemas de transmissão a partir do dispositivo terminal ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","VI,DE",LLAMA,30.928520903947533
"Could not open file ""%s"" for reading.","Não foi possível abrir o arquivo ""%s"" para leitura.","Não foi possível abrir o arquivo ""%s"" para leitura.","VI,DE",LLAMA,100.00000000000004
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"VI,DE",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: “%s”,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","VI,DE",LLAMA,53.606643761986305
Couldn't find details for channel '%s',"não foi possível obter informações detalhadas para o canal ""%s""","Não foi possível encontrar detalhes para o canal ""%s""","VI,DE",LLAMA,52.055103630534376
No properties for channel '%s',"Não possui atributos para o canal ""%s"".","Não há propriedades para o canal ""%s""","VI,DE",LLAMA,59.00468726392806
Failed to set properties for channel '%s',"não foi possível definir a propriedade do canal ""%s""","Falha ao definir propriedades para o canal ""%s""","VI,DE",LLAMA,33.18077402843942
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: “%s”,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","VI,DE",LLAMA,53.606643761986305
Channel configuration file doesn't contain any channels,No canal é especificado no arquivo de configuração do canal.,Nenhum canal foi encontrado no arquivo de configuração de canal,"VI,DE",LLAMA,25.965358893403383
