original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar modelo de imagem temporária com OpenCV,O OpenCV falhou ao carregar a imagem modelo,"VI,RU",LLAMA,11.99014838091355
Could not read title information for DVD.,Não foi possível ler as informações do título do DVD.,Não foi possível ler as informações de título do DVD.,"VI,RU",LLAMA,70.16879391277372
Failed to open DVD device '%s'.,Não foi possível abrir o dispositivo de DVD “%s”.,"Falha ao abrir o dispositivo de DVD ""%s"".","VI,RU",LLAMA,34.48444257953326
Failed to set PGC based seeking.,não foi possível configurar o localizador baseado em PGC.,Falha ao definir busca baseada em PGC.,"VI,RU",LLAMA,15.619699684601283
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e a biblioteca necessária para decodificá-lo ainda não foi instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"VI,RU",LLAMA,35.91565234694475
Could not read DVD.,Não foi possível ler o DVD.,Não foi possível ler o DVD.,"VI,RU",LLAMA,100.00000000000004
This file contains no playable streams.,Este arquivo contém um fluxo que não pode ser reproduzido.,Este arquivo não contém fluxos reproduzíveis.,"VI,RU",LLAMA,9.425159511373677
Could not open sndfile stream for reading.,Não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"VI,RU",LLAMA,39.281465090051285
Generated file has a larger preroll time than its streams duration,A prévia do arquivo gerado ultrapassa o tempo de transmissão própria.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"VI,RU",LLAMA,7.459715582054698
Missing element '%s' - check your GStreamer installation.,"Falta o componente ""%s"" - por favor, verifique a instalação do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","VI,RU",LLAMA,35.23089031737454
"File location is set to NULL, please set it to a valid filename","O local do arquivo é NULL, por favor, defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","VI,RU",LLAMA,26.220676436185983
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"VI,RU",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,Falha na configuração do subgrau (subpicture) antes da transmissão de dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"VI,RU",LLAMA,6.754312828675707
Failed to get fragment URL.,não foi possível obter estado (stat) do arquivo %s,Falha ao obter um fragmento de URL.,"VI,RU",LLAMA,3.3864985683445354
Couldn't download fragments,não foi possível baixar a porção do arquivo.,Não foi possível baixar os fragmentos,"VI,RU",LLAMA,17.747405280050266
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"VI,RU",LLAMA,100.00000000000004
"Device ""%s"" does not exist.",Dispositivo “%s” não existe.,"O dispositivo ""%s"" não existe.","VI,RU",LLAMA,19.740631366145518
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo de interface gráfica ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".","VI,RU",LLAMA,78.25422900366432
"Could not get settings from frontend device ""%s"".",Não foi possível obter as configurações do dispositivo frontal “%s”.,"Não foi possível obter as configurações do dispositivo de interface ""%s"".","VI,RU",LLAMA,50.71202666576929
"Cannot enumerate delivery systems from frontend device ""%s"".",Não é possível enumerar sistemas de transferência para o dispositivo terminal “%s”.,"Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","VI,RU",LLAMA,6.2915855898775845
"Could not open file ""%s"" for reading.",Não foi possível abrir o arquivo “%s” para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.","VI,RU",LLAMA,50.16513759455242
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"VI,RU",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: “%s”,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","VI,RU",LLAMA,53.606643761986305
Couldn't find details for channel '%s',"não foi possível obter informações detalhadas sobre o canal ""%s""","Não foi possível encontrar detalhes para o canal ""%s""","VI,RU",LLAMA,42.803206067505954
No properties for channel '%s',Não há atributos associados ao canal “%s”.,"Não há propriedades para o canal ""%s""","VI,RU",LLAMA,9.980099403873663
Failed to set properties for channel '%s',não foi possível definir propriedade do canal “%s”,"Falha ao definir propriedades para o canal ""%s""","VI,RU",LLAMA,4.996872151825361
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: “%s”,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","VI,RU",LLAMA,53.606643761986305
Channel configuration file doesn't contain any channels,No canal é especificado no arquivo de configuração do canal.,Nenhum canal foi encontrado no arquivo de configuração de canal,"VI,RU",LLAMA,25.965358893403383
