original,translated,reference,context_languages,strategy,bleu
Applications,Aplicações,Aplicativos,"FR,ES",LLAMA,0.0
applications,aplicações,aplicativos,"FR,ES",LLAMA,0.0
Desktop,Máquina de trabalho em campo,Área de trabalho,"FR,ES",LLAMA,21.3643503198117
desktop,máquina de trabalho em equipe,área de trabalho,"FR,ES",LLAMA,21.3643503198117
Documents,Tài liệu,Documentos,"FR,ES",LLAMA,0.0
documents,documentos,documentos,"FR,ES",LLAMA,100.00000000000004
Download,Downloadar,Download,"FR,ES",LLAMA,0.0
download,tarefa concluída com sucesso.,download,"FR,ES",LLAMA,0.0
Downloads,Baixar arquivo,Downloads,"FR,ES",LLAMA,0.0
downloads,bem-vindo ao site de downloads para obter os melhores aplicativos e softwares disponíveis.,downloads,"FR,ES",LLAMA,2.8398387225677895
Movies,Filmes,Filmes,"FR,ES",LLAMA,100.00000000000004
movies,filmes,filmes,"FR,ES",LLAMA,100.00000000000004
Music,Música,Músicas,"FR,ES",LLAMA,0.0
music,música,músicas,"FR,ES",LLAMA,0.0
Photos,Área de imagens,Fotos,"FR,ES",LLAMA,0.0
photos,área de captura fotográfica,fotos,"FR,ES",LLAMA,0.0
Pictures,Área de Imagens,Imagens,"FR,ES",LLAMA,27.516060407455225
pictures,imagens,imagens,"FR,ES",LLAMA,100.00000000000004
Projects,Projeto,Projetos,"FR,ES",LLAMA,0.0
projects,projeto,projetos,"FR,ES",LLAMA,0.0
Public,Công,Público,"FR,ES",LLAMA,0.0
public,công,público,"FR,ES",LLAMA,0.0
Share,Compartilhar,Compartilhados,"FR,ES",LLAMA,0.0
share,compartilhamento de chia sẻ,compartilhados,"FR,ES",LLAMA,0.0
Templates,modelo,Modelos,"FR,ES",LLAMA,0.0
templates,modelos,modelos,"FR,ES",LLAMA,100.00000000000004
Videos,Vídeos em movimento,Vídeos,"FR,ES",LLAMA,27.516060407455225
videos,área de trabalho em movimento,vídeos,"FR,ES",LLAMA,0.0
