original,translated,reference,context_languages,strategy,bleu
(dir),(dir),(dir),,NLLB,100.00000000000004
(parent dir),(parente dir),(dir acima),,NLLB,21.02241038134286
(huge),(grande),gigante,,NLLB,0.0
Search Wrapped,Busca encerrada,Pesquisa recomeçou,,NLLB,0.0
This is the only occurrence,Esta é a única ocorrência.,Esta é a única ocorrência,,NLLB,75.98356856515926
Search,Pesquisa,Pesquisa,,NLLB,100.00000000000004
[Backwards],"Não, não, não, não.",[Retroceder],,NLLB,0.0
Cancelled,Cancelação,Cancelado,,NLLB,0.0
No current search pattern,Nenhum padrão de pesquisa atual,Nenhum padrão de pesquisa atualmente,,NLLB,66.87403049764218
Cannot open directory: %s,Não pode abrir o diretório: %s,Não foi possível abrir o diretório: %s,,NLLB,62.401954419369176
Go To Directory,Vai ao diretório,Ir para o diretório,,NLLB,19.716118825581447
Can't go outside of %s,Não pode sair de %s,Não é possível sair de %s,,NLLB,45.48019047027906
Can't move up a directory,Não consigo subir um diretório.,Não é possível subir um diretório,,NLLB,32.46679154750989
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,,NLLB,54.10822690539397
The working directory has disappeared,O diretório de trabalho desapareceu.,O diretório de trabalho desapareceu,,NLLB,75.98356856515926
Unknown syntax name: %s,Nome de sintaxe desconhecido: %s,Nome de sintaxe desconhecido: %s,,NLLB,100.00000000000004
magic_load() failed: %s,magic_load() falhou: %s,magic_load() falhou: %s,,NLLB,100.00000000000004
magic_file(%s) failed: %s,magic_file(%s) falhou: %s,magic_file(%s) falhou: %s,,NLLB,100.00000000000004
Nothing was cut,Nada foi cortado.,Nada foi cortado,,NLLB,59.460355750136046
Copied nothing,Não copiou nada.,Nada foi copiado,,NLLB,0.0
Cutbuffer is empty,O cutbuffer está vazio.,buffer-de-transferência está vazio,,NLLB,21.3643503198117
Error deleting lock file %s: %s,Erro na exclusão do arquivo de bloqueio %s: %s,Erro ao excluir o arquivo de trava %s: %s,,NLLB,37.7006380454947
Couldn't determine my identity for lock file,Não consegui determinar a minha identidade para o ficheiro de fechamento.,Falha ao determinar minha ID para arquivo de trava,,NLLB,4.789232204309912
Couldn't determine hostname: %s,Não conseguiu determinar o nome do host: %s,Falha ao determinar nome de máquina: %s,,NLLB,17.747405280050266
Error writing lock file %s: %s,Erro de escrita de arquivo de bloqueio %s: %s,Erro ao escrever o arquivo de trava %s: %s,,NLLB,37.7006380454947
Someone else is also editing this file,Outro também está a editar este arquivo.,Outra pessoa também está editando esse arquivo,,NLLB,12.223075560872525
Error opening lock file %s: %s,Erro de abertura de arquivo de bloqueio %s: %s,Erro ao abrir o arquivo de trava %s: %s,,NLLB,37.7006380454947
Bad lock file is ignored: %s,Falso arquivo de bloqueio ignorado: %s,Arquivo de trava inválido é ignorado: %s,,NLLB,32.260135189272866
"File %s is being edited by %s (with %s, PID %s); open anyway?","O arquivo %s está sendo editado por %s (com %s, PID %s); aberto de qualquer forma?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",,NLLB,38.3179239302005
Directory '%s' does not exist,O diretório '%s' não existe,"O diretório ""%s"" não existe",,NLLB,17.026116978186877
Path '%s': %s,Caminho '%s': %s,"Caminho ""%s"": %s",,NLLB,24.0785655451027
Path '%s' is not a directory,Caminho '%s' não é um diretório,"O caminho ""%s"" não é um diretório",,NLLB,28.46946938149361
Path '%s' is not accessible,Caminho '%s' não é acessível,"O caminho ""%s"" não é acessível",,NLLB,19.740631366145518
Directory '%s' is not writable,O diretório '%s' não pode ser escrito,"O diretório ""%s"" não é gravável",,NLLB,11.339582221952005
Can't read file from outside of %s,Não pode ler arquivo de fora de %s,Não foi possível ler arquivo de fora de %s,,NLLB,67.16877364745231
"""%s"" is a directory","""%s"" é um diretório","""%s"" é um diretório",,NLLB,100.00000000000004
"""%s"" is a device file","""%s"" é um arquivo de dispositivo","""%s"" é um arquivo dispositivo",,NLLB,75.06238537503395
"""%s"" is a FIFO","""%s"" é um FIFO","""%s"" é um FIFO",,NLLB,100.00000000000004
%s is meant to be read-only,%s é destinado a ser apenas para leitura,%s tem a intenção de ser somente leitura,,NLLB,11.99014838091355
New Buffer,Novo Buffer,Novo buffer,,NLLB,49.99999999999999
DOS,DOS,DOS,,NLLB,100.00000000000004
Mac,Mac,Mac,,NLLB,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos,Não há mais nenhum buffer de arquivos abertos,,NLLB,35.64026463354184
Interrupted,Interrupto,Interrompido,,NLLB,0.0
File '%s' is unwritable,Arquivo '%s' não pode ser escrito,"O arquivo ""%s"" não é gravável",,NLLB,5.795599612995366
New File,Novo arquivo,Novo arquivo,,NLLB,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado",,NLLB,100.00000000000004
Reading from FIFO...,Lendo da FIFO...,Lendo de FIFO...,,NLLB,53.7284965911771
Reading...,A ler...,Lendo...,,NLLB,39.76353643835254
Could not create pipe: %s,Não conseguiu criar tubo: %s,Não foi possível criar o pipe: %s,,NLLB,20.873176328735713
Could not fork: %s,Não pôde forjar: %s,Não foi possível bifurcar: %s,,NLLB,27.48254571080018
Executing...,Executar...,Executando...,,NLLB,59.460355750136046
filtering,Filtragem,filtragem,,NLLB,0.0
Failed to open pipe: %s,Não conseguiu abrir o tubo: %s,Falha ao abrir o pipe: %s,,NLLB,25.848657697858535
Error: %s,Erro: %s,Erro: %s,,NLLB,100.00000000000004
Command to execute in new buffer,Comando para executar em novo buffer,Comando para execução no novo buffer,,NLLB,22.957488466614326
Command to execute,Comando para execução,Comando para execução,,NLLB,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura não convertido em novo buffer [a partir de %s],Arquivo para ler não convertido no novo buffer [de %s],,NLLB,28.977907494497103
File to read into new buffer [from %s],Arquivo para leitura no novo buffer [a partir de %s],Arquivo para leitura no novo buffer [de %s],,NLLB,67.03420896351791
File to insert unconverted [from %s],Arquivo para inserir não convertido [a partir de %s],Arquivo para inserção não convertido [de %s],,NLLB,34.172334076593074
File to insert [from %s],Arquivo para inserir [a partir de %s],Arquivo para inserção [de %s],,NLLB,32.46679154750989
"Invalid operating directory: %s
",Directório de operação inválido: %s,"Diretório de operação inválido: %s
",,NLLB,80.91067115702207
"Invalid backup directory: %s
",Directório de backup inválido: %s,"Diretório reserva inválido: %s
",,NLLB,41.11336169005198
Making backup...,Fazendo reforços...,Criando arquivo reserva...,,NLLB,32.55563013321615
Too many existing backup files,Há muitos arquivos de backup existentes .,Muitos arquivos reserva existentes,,NLLB,7.809849842300641
Cannot read original file,Não consegue ler o arquivo original,Não é possível ler o arquivo original,,NLLB,45.48019047027906
Cannot make regular backup,Não posso fazer backup regular.,Não é possível criar um arquivo reserva comum,,NLLB,5.815868174415823
Trying again in your home directory,Tentando de novo no seu diretório de casa,Tentando novamente em seu diretório pessoal,,NLLB,12.223075560872525
Cannot make backup,Não consigo fazer backup.,Não foi possível criar o arquivo reserva,,NLLB,7.160476144948854
Cannot make backup; continue and save actual file?,Não pode fazer backup; continuar e salvar o arquivo real?,Não foi possível criar o arquivo reserva; continuar e salvar o arquivo atual?,,NLLB,34.91665073071339
Cannot make backup: %s,Não pode fazer backup: %s,Não foi possível criar o arquivo reserva: %s,,NLLB,17.112717058426785
Can't write outside of %s,Não pode escrever fora de %s,Não foi possível escrever fora de %s,,NLLB,55.780028607687655
Error writing %s: %s,Erro de escrita %s: %s,Erro ao escrever %s: %s,,NLLB,54.10822690539397
Error writing temp file: %s,Erro de redação do arquivo temporário: %s,Erro ao escrever o arquivo temporário: %s,,NLLB,46.713797772820016
Writing to FIFO...,Escrevendo para o FIFO...,Escrevendo para FIFO...,,NLLB,48.892302243490086
Writing...,Escrever...,Escrevendo...,,NLLB,59.460355750136046
Error reading temp file: %s,Arquivo temporário de leitura de erro: %s,Erro ao ler o arquivo temporário: %s,,NLLB,19.070828081828378
File on disk has been truncated!,O arquivo no disco foi truncado!,O arquivo no disco foi truncado!,,NLLB,100.00000000000004
[DOS Format],[Formatação DOS],[Formato DOS],,NLLB,35.35533905932737
[Mac Format],[Formatação Mac],[Formato Mac],,NLLB,35.35533905932737
[Backup],"Não, não, não, não.",[Arq reserva],,NLLB,0.0
Prepend Selection to File,Preparar a seleção para o arquivo,Pré-adicionar seleção para o arquivo,,NLLB,50.81327481546147
Append Selection to File,Adicionar Seleção ao arquivo,Adicionar seleção para o arquivo,,NLLB,14.794015674776452
Write Selection to File,Escrever Seleção para arquivo,Escrever a seleção para o arquivo,,NLLB,12.750736437345598
Prepend to File,Prepare para arquivo,Pré-adicionar para o arquivo,,NLLB,24.840753130578644
Append to File,Adicionar ao arquivo,Adicionar para o arquivo,,NLLB,24.840753130578644
Write to File,Escrever para arquivo,Escrever para o arquivo,,NLLB,45.13864405503391
Too tiny,Muito pequeno.,Pequena demais,,NLLB,0.0
File exists -- cannot overwrite,O arquivo existe - não pode ser reescrito,O arquivo existe -- não é possível sobrescrevê-lo,,NLLB,22.089591134157878
Save file under DIFFERENT NAME?,Salvar o arquivo com NOME DIFERENTE?,Salvar o arquivo com um NOME DIFERENTE?,,NLLB,51.54486831107658
"File ""%s"" exists; OVERWRITE? ","O arquivo ""%s"" existe; OVERWRITE?","Arquivo ""%s"" já existe; SOBRESCREVER? ",,NLLB,32.46679154750989
File on disk has changed,Arquivo no disco mudou,Arquivo no disco foi alterado,,NLLB,46.30777161991026
File was modified since you opened it; continue saving?,O arquivo foi modificado desde que o abriu. Continuar a guardar?,O arquivo foi modificado desde a última vez que você abriu; continuar salvamento?,,NLLB,28.71901769579641
(more),(mais),(mais),,NLLB,100.00000000000004
Exit,Saída,Sair,,NLLB,0.0
Close,Fechado,Fechar,,NLLB,0.0
Cancel the current function,Cancelar a função atual,Cancela a função atual,,NLLB,59.460355750136046
Display this help text,Mostre este texto de ajuda,Exibe este texto de ajuda,,NLLB,66.87403049764218
Close the current buffer / Exit from nano,Fechar o buffer de corrente / Saída do nano,Fecha o buffer atual / Sai do nano,,NLLB,14.25876976452075
Write the current buffer (or the marked region) to disk,Escreva o buffer atual (ou a região marcada) para disco,Escreve o buffer atual (ou a região marcada) no disco,,NLLB,72.92571723872932
Insert another file into current buffer (or into new buffer),Insira outro arquivo no buffer atual (ou no novo buffer),Insere outro arquivo no buffer atual (ou em um novo buffer),,NLLB,58.33510584342541
