original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento invÃ¡lido para %s,argumento inválido %s para %s,RU,LLAMA,28.641904579795423
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,RU,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,RU,LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,RU,LLAMA,55.03212081491043
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,RU,LLAMA,37.99178428257963
"%s: option '%s%s' is ambiguous
","%s: a opÃªn&#231;a '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
",RU,LLAMA,23.07712507814924
%s: option '%s%s' is ambiguous; possibilities:,%s: a opÃªn&#237;e '%s%s' é ambígua; possiveis varia&ccedil;&otilde;es:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",RU,LLAMA,15.822637961675994
"%s: unrecognized option '%s%s'
","%s: opção '%s%s' não reconhecida
","%s: opção desconhecida ""%s%s""
",RU,LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
",RU,LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
",%s: para a opÃ§Ã£o '%s%s' é necessÃ¡rio um argumento,"%s: a opção ""%s%s"" exige um argumento
",RU,LLAMA,19.251614434393563
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
",RU,LLAMA,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: para a opÃ§Ã£o é necessÃ¡rio um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
",RU,LLAMA,19.104081613647544
`,`,“,RU,LLAMA,0.0
',',”,RU,LLAMA,0.0
Success,Conseguido,Sucesso,RU,LLAMA,0.0
No match,Sem coincidência,Nenhuma ocorrência do padrão,RU,LLAMA,0.0
Invalid regular expression,ExpresiÃ£o regular invÃ¡lida,Expressão regular inválida,RU,LLAMA,27.516060407455225
Invalid collation character,Caracter de colação inválido,Caractere de combinação inválido,RU,LLAMA,18.99589214128981
Invalid character class name,Nome de classe inválido para caracteres,Nome inválido de categoria de caracteres,RU,LLAMA,11.478744233307168
Trailing backslash,barra invertida no final,Barra invertida no final,RU,LLAMA,59.460355750136046
Invalid back reference,Referência inválida para atrás,Retrorreferência inválida,RU,LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","Desemparelhado [, [^, [:, . ou =}","[, [^, [:, [. ou [= sem correspondente",RU,LLAMA,53.69787816169342
Unmatched ( or \(,falha na desconexão (ou ¦(,( ou \( sem correspondente,RU,LLAMA,14.535768424205482
Unmatched \{,{ desemparelhado,\{ sem correspondente,RU,LLAMA,18.393972058572114
Invalid content of \{\},Contenido invÃ¡lido de \{\},Conteúdo inválido de \{\},RU,LLAMA,61.47881529512643
Invalid range end,Final de rango invÃ¡lido,Fim de intervalo inválido,RU,LLAMA,15.97357760615681
Memory exhausted,Memória esgotada,Memória esgotada,RU,LLAMA,100.00000000000004
Invalid preceding regular expression,A expressÃ£o regular anterior é inválida,A expressão regular precedente é inválida,RU,LLAMA,19.304869754804482
Premature end of regular expression,prematuro de la expresiÃ³n regular,Fim prematuro da expressão regular,RU,LLAMA,12.703318703865365
Regular expression too big,A expressÃ£o regular é excessivamente grande.,Expressão regular grande demais,RU,LLAMA,7.809849842300637
Unmatched ) or \),Desemparelhado ou não emparelhado,) ou \) sem correspondente,RU,LLAMA,9.688464563433238
No previous regular expression,Não há nenhuma expressÃ£o regular anterior,Nenhuma expressão regular anterior,RU,LLAMA,16.233395773754953
