original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar modelo de padrão temporário com OpenCV,O OpenCV falhou ao carregar a imagem modelo,VI,LLAMA,11.339582221952005
Could not read title information for DVD.,não foi possível obter título do DVD.,Não foi possível ler as informações de título do DVD.,VI,LLAMA,28.256772704628215
Failed to open DVD device '%s'.,Não foi possível abrir o dispositivo de DVD “%s”.,"Falha ao abrir o dispositivo de DVD ""%s"".",VI,LLAMA,34.48444257953326
Failed to set PGC based seeking.,não foi possível configurar o localizador baseado em PGC.,Falha ao definir busca baseada em PGC.,VI,LLAMA,15.619699684601283
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e não há a biblioteca necessária para descriptografá-lo instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,VI,LLAMA,37.22380254077019
Could not read DVD.,não foi possível ler o DVD.,Não foi possível ler o DVD.,VI,LLAMA,80.91067115702207
This file contains no playable streams.,Este arquivo contém um fluxo que não pode ser reproduzido.,Este arquivo não contém fluxos reproduzíveis.,VI,LLAMA,9.425159511373677
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,VI,LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,A segmentação preliminar do arquivo gerado ultrapassa o tempo de transmissão própria.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,VI,LLAMA,7.491281958423809
Missing element '%s' - check your GStreamer installation.,"Falta o componente “%s” - por favor, verifique a instalação do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.",VI,LLAMA,22.894156860669913
"File location is set to NULL, please set it to a valid filename","O local do arquivo foi definido como NULL. Por favor, defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido",VI,LLAMA,23.210911117419965
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,VI,LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato do subquadro não foi configurado antes da configuração dos dados fluindo.,O formato de sub-imagem não foi configurado antes do fluxo de dados,VI,LLAMA,22.718709780542323
Failed to get fragment URL.,não foi possível obter estado (stat) do arquivo %s,Falha ao obter um fragmento de URL.,VI,LLAMA,3.3864985683445354
Couldn't download fragments,não foi possível baixar o fragmento.,Não foi possível baixar os fragmentos,VI,LLAMA,24.446151121745054
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,VI,LLAMA,100.00000000000004
"Device ""%s"" does not exist.",Dispositivo “%s” não existe.,"O dispositivo ""%s"" não existe.",VI,LLAMA,19.740631366145518
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo de interface frontal ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".",VI,LLAMA,78.25422900366432
"Could not get settings from frontend device ""%s"".",Não é possível obter as configurações do dispositivo frontal (mặt tiền) “%s”.,"Não foi possível obter as configurações do dispositivo de interface ""%s"".",VI,LLAMA,31.18181497809656
"Cannot enumerate delivery systems from frontend device ""%s"".",Não é possível enumerar os sistemas de transferência a partir do dispositivo terminal “%s”.,"Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".",VI,LLAMA,12.39899236095509
"Could not open file ""%s"" for reading.",Não foi possível abrir o arquivo “%s” para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.",VI,LLAMA,50.16513759455242
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,VI,LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: “%s”,"Não foi possível carregar o arquivo de configuração de canal: ""%s""",VI,LLAMA,53.606643761986305
Couldn't find details for channel '%s',"não foi possível obter informações detalhadas para o canal ""%s""","Não foi possível encontrar detalhes para o canal ""%s""",VI,LLAMA,52.055103630534376
No properties for channel '%s',Không há atributo no canal “%s”,"Não há propriedades para o canal ""%s""",VI,LLAMA,5.660233915657916
Failed to set properties for channel '%s',não foi possível definir o atributo do canal “%s”,"Falha ao definir propriedades para o canal ""%s""",VI,LLAMA,5.300156689756295
Couldn't find channel configuration file: '%s',não foi possível encontrar o arquivo de configuração do canal: “%s”,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""",VI,LLAMA,45.74563333993254
Channel configuration file doesn't contain any channels,"No channel configuration file, there is no specified channel included.",Nenhum canal foi encontrado no arquivo de configuração de canal,VI,LLAMA,3.3864985683445354
