original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar o modelo de imagem do OpenCV.,O OpenCV falhou ao carregar a imagem modelo,"ZH_CN,ID",LLAMA,10.552670315936318
Could not read title information for DVD.,Não foi possível obter informações sobre o título do DVD.,Não foi possível ler as informações de título do DVD.,"ZH_CN,ID",LLAMA,35.08439695638686
Failed to open DVD device '%s'.,Não foi possível abrir o dispositivo de DVD '%s'.,"Falha ao abrir o dispositivo de DVD ""%s"".","ZH_CN,ID",LLAMA,34.48444257953326
Failed to set PGC based seeking.,Não foi possível configurar o acesso baseado em PGC.,Falha ao definir busca baseada em PGC.,"ZH_CN,ID",LLAMA,15.619699684601283
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e não há a instalação do software necessário para descriptografá-lo.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"ZH_CN,ID",LLAMA,34.17908632216696
Could not read DVD.,Não foi possível ler o DVD.,Não foi possível ler o DVD.,"ZH_CN,ID",LLAMA,100.00000000000004
This file contains no playable streams.,Este arquivo contém um fluxo que não pode ser reproduzido.,Este arquivo não contém fluxos reproduzíveis.,"ZH_CN,ID",LLAMA,9.425159511373677
Could not open sndfile stream for reading.,Não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"ZH_CN,ID",LLAMA,39.281465090051285
Generated file has a larger preroll time than its streams duration,A seção prerroll do arquivo gerado ultrapassa o seu próprio tempo de transmissão.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"ZH_CN,ID",LLAMA,7.478554032555753
Missing element '%s' - check your GStreamer installation.,"Falta o componente '%s' - por favor, verifique a instalação do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","ZH_CN,ID",LLAMA,22.894156860669913
"File location is set to NULL, please set it to a valid filename","O local do arquivo é nulo, por favor defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","ZH_CN,ID",LLAMA,28.039501199940027
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"ZH_CN,ID",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,Formato do subjanelamento não foi configurado antes da transmissão de dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"ZH_CN,ID",LLAMA,26.20251007173262
Failed to get fragment URL.,não foi possível obter estado (stat) do arquivo %s,Falha ao obter um fragmento de URL.,"ZH_CN,ID",LLAMA,3.3864985683445354
Couldn't download fragments,falha na conexão com o servidor.,Não foi possível baixar os fragmentos,"ZH_CN,ID",LLAMA,0.0
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"ZH_CN,ID",LLAMA,100.00000000000004
"Device ""%s"" does not exist.",Não existe dispositivo “%s”.,"O dispositivo ""%s"" não existe.","ZH_CN,ID",LLAMA,6.979367151952678
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo de interface gráfica do usuário ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".","ZH_CN,ID",LLAMA,67.39047062564734
"Could not get settings from frontend device ""%s"".",Não foi possível obter configuração do dispositivo de entrada.,"Não foi possível obter as configurações do dispositivo de interface ""%s"".","ZH_CN,ID",LLAMA,23.825412935547586
"Cannot enumerate delivery systems from frontend device ""%s"".","Não foi possível enumerar os sistemas de transmissão a partir do dispositivo terminal ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","ZH_CN,ID",LLAMA,35.527389585269326
"Could not open file ""%s"" for reading.",Não foi possível abrir o arquivo '%s' para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.","ZH_CN,ID",LLAMA,50.16513759455242
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"ZH_CN,ID",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: ‘%s’,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","ZH_CN,ID",LLAMA,53.606643761986305
Couldn't find details for channel '%s',não foi possível obter informações detalhadas para o canal ‘%s’,"Não foi possível encontrar detalhes para o canal ""%s""","ZH_CN,ID",LLAMA,16.59038701421971
No properties for channel '%s',O canal ‘%s’ não possui atributos,"Não há propriedades para o canal ""%s""","ZH_CN,ID",LLAMA,5.11459870708889
Failed to set properties for channel '%s',não foi possível configurar o atributo do canal '%s',"Falha ao definir propriedades para o canal ""%s""","ZH_CN,ID",LLAMA,4.9323515694897075
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: ‘%s’,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","ZH_CN,ID",LLAMA,53.606643761986305
Channel configuration file doesn't contain any channels,No canal é especificado no arquivo de configuração do canal.,Nenhum canal foi encontrado no arquivo de configuração de canal,"ZH_CN,ID",LLAMA,25.965358893403383
