original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"RU,DE",LLAMA,93.60437393188477,71.99310653115,33.437015248821105,20.0,91.94058775901794
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"RU,DE",LLAMA,92.28426814079285,70.91549278334176,33.437015248821105,20.0,92.2233521938324
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"RU,DE",LLAMA,98.43652844429016,86.19589689046727,39.76353643835252,33.33333333333333,88.09451460838318
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual a %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"RU,DE",LLAMA,90.58099389076233,69.17122626735284,57.984659185367214,25.0,95.59732675552368
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: Para o parâmetro ARGP_HELP_FMT é necessário um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"RU,DE",LLAMA,91.86092019081116,64.87915643471499,53.12583871630397,42.857142857142854,95.86008787155151
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"RU,DE",LLAMA,97.46114611625671,100.0,100.00000000000004,0.0,99.99999403953552
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"RU,DE",LLAMA,79.40568327903748,76.3231327615967,88.01117367933934,25.0,92.60660409927368
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"RU,DE",LLAMA,90.1431143283844,74.39235094412425,30.752616970214323,46.666666666666664,89.48906660079956
Usage:,Modo de uso:,Uso:,"RU,DE",LLAMA,84.59203839302063,30.087239181827524,15.97357760615681,100.0,81.51369094848633
  or: ,ou:, ou: ,"RU,DE",LLAMA,99.17113184928894,100.0,100.00000000000004,0.0,99.99997019767761
 [OPTION...],[OPTION...], [OPÇÃO...],"RU,DE",LLAMA,96.72033786773682,29.166411431609717,53.7284965911771,100.0,91.70928597450256
"Try '%s --help' or '%s --usage' for more information.
","Tente ""%s --help"" ou ""%s --usage"" para obter mais informações.","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","RU,DE",LLAMA,96.47989869117737,92.9367802979099,82.82477531331043,11.11111111111111,98.2740044593811
"Report bugs to %s.
","Comunicar erros a %s. 
","Relate erros para %s.
","RU,DE",LLAMA,90.86431860923767,31.445348972922503,32.46679154750991,50.0,87.31091618537903
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"RU,DE",LLAMA,94.79895234107971,63.385693111236584,21.02241038134286,50.0,90.22597670555115
give this help list,consulte esta lista de ajuda,fornece esta lista de ajuda,"RU,DE",LLAMA,94.10749077796936,73.37830415518634,66.87403049764218,20.0,87.47228384017944
give a short usage message,um mensagem de uso curto,fornece uma mensagem de uso curta,"RU,DE",LLAMA,81.96331858634949,58.9800465956678,32.555630133216134,50.0,85.67423224449158
NAME,NOMBRE,NOME,"RU,DE",LLAMA,71.00147008895874,38.378176382660676,0.0,100.0,83.98084044456482
set the program name,estabeleça o nome do programa,define o nome do programa,"RU,DE",LLAMA,92.78731942176819,68.98226852741506,66.87403049764218,20.0,91.15661382675171
SECS,SEGs,SEGS,"RU,DE",LLAMA,86.88936829566956,38.33333333333332,0.0,0.0,89.1158401966095
hang for SECS seconds (default 3600),"espera por SEGS segundos (por omissão, até que seja de 3600)",segura por SEGS segundos (padrão 3600),"RU,DE",LLAMA,61.898982524871826,59.86987792365331,21.142141714303076,100.0,85.21446585655212
print program version,exibe a versão do programa,mostra a versão do programa,"RU,DE",LLAMA,92.64746904373169,72.79864720427304,66.87403049764218,20.0,88.43916654586792
(PROGRAM ERROR) No version known!?,(ERRO DE PROGRAMA) Qual é a versão desconhecida?!,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"RU,DE",LLAMA,82.08034634590149,49.94202729320456,11.016798394984653,83.33333333333334,86.99749112129211
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
","RU,DE",LLAMA,91.31154417991638,36.95879312679573,28.641904579795423,60.0,84.96776819229126
(PROGRAM ERROR) Option should have been recognized!?,(ERRO DEL PROGRAMA) Por que a opção não foi reconhecida?!,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"RU,DE",LLAMA,86.3179862499237,41.452479838025354,9.55204080682377,77.77777777777779,92.18131303787231
write error,erro de escritura,erro de escrita,"RU,DE",LLAMA,96.1126983165741,80.71001833901845,55.03212081491043,33.33333333333333,96.32450342178345
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","RU,DE",LLAMA,96.71453833580017,65.36890851965222,42.86982293646294,16.666666666666664,92.61655807495117
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possíveis variantes:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","RU,DE",LLAMA,95.2824056148529,55.07838081768844,38.50322886878711,42.857142857142854,92.3540472984314
"%s: unrecognized option '%s%s'
",%s: Opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
","RU,DE",LLAMA,92.80486106872559,40.2814785278748,23.462350320527996,75.0,91.67792201042175
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","RU,DE",LLAMA,96.35974168777466,64.2031572068712,37.32083238656446,25.0,92.81185865402222
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' requer argumento
","%s: a opção ""%s%s"" exige um argumento
","RU,DE",LLAMA,95.3247606754303,51.367122369327866,36.964463979752836,42.857142857142854,87.35458254814148
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
","RU,DE",LLAMA,97.77616858482361,79.53096031075907,54.627576446464936,20.0,96.55412435531616
"%s: option requires an argument -- '%c'
",%s: a opção requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","RU,DE",LLAMA,95.0945794582367,62.658670254031975,40.17682558797496,25.0,96.1072027683258
memory exhausted,memória esgotada,memória esgotada,"RU,DE",LLAMA,99.05359148979187,100.0,100.00000000000004,0.0,100.00001192092896
unable to record current working directory,não é possível obter o diretório de trabalho atual,não foi possível registrar o diretório de trabalho atual,"RU,DE",LLAMA,92.10794568061829,67.38285387827901,48.54917717073236,22.22222222222222,95.66406607627869
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial,falha em retornar ao diretório de trabalho inicial,"RU,DE",LLAMA,91.5224015712738,86.38409823973083,70.71067811865478,12.5,96.41669988632202
`,«,“,"RU,DE",LLAMA,96.10572457313538,0.0,0.0,100.0,70.93612551689148
',»,”,"RU,DE",LLAMA,92.98120141029358,0.0,0.0,100.0,64.94233012199402
^[yY],^[sSyY],^[+1SsyY],"RU,DE",LLAMA,95.03541588783264,23.3020298865211,27.534765745159184,100.0,90.71400165557861
^[nN],^[nN],^[-0nN],"RU,DE",LLAMA,96.98173999786377,28.840813152632748,35.35533905932737,100.0,91.30476117134094
"Packaged by %s (%s)
","Embalado por %s (%s) 
","Empacotado por %s (%s)
","RU,DE",LLAMA,78.45813632011414,67.08198361085593,84.08964152537145,25.0,95.61264514923096
"Packaged by %s
","Embalado por %s
","Empacotado por %s
","RU,DE",LLAMA,77.76755690574646,54.4983270998222,59.460355750136046,33.33333333333333,93.48092675209045
(C),©,(C),"RU,DE",LLAMA,75.47767162322998,0.0,0.0,100.0,65.65549969673157
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GPL do GNU versão 3 ou posterior <%s>. Este é software livre. Você está livres para modificá-lo e distribuí-lo. Não há garantias, conforme o que a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","RU,DE",LLAMA,85.13423204421997,46.83003887402507,28.176104641396705,54.83870967741935,82.76881575584412
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","RU,DE",LLAMA,98.86449575424194,100.0,100.00000000000004,0.0,100.00001192092896
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
","RU,DE",LLAMA,98.28445315361023,100.0,100.00000000000004,0.0,100.00001192092896
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s e %s.
","RU,DE",LLAMA,98.24709296226501,100.0,100.00000000000004,0.0,99.99998807907104
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
","RU,DE",LLAMA,97.35708832740784,83.78164586238893,80.03203203845001,14.285714285714285,98.56858849525452
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, e %s.
","RU,DE",LLAMA,96.27452492713928,85.55631485285963,83.94327083733333,12.5,98.77129793167114
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, e %s.
","RU,DE",LLAMA,96.44831418991089,83.30731185079011,81.91692732318536,11.11111111111111,97.688227891922
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, e %s.
","RU,DE",LLAMA,96.1607277393341,85.17083052643399,84.7195704996947,10.0,97.80766367912292
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
e %s.
","RU,DE",LLAMA,96.23686671257019,89.9780736431663,89.85396083419644,9.090909090909092,99.22620058059692
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, e %s.
","RU,DE",LLAMA,96.21445536613464,86.32883738876433,79.62043815447007,16.666666666666664,97.96498417854309
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, %s e outros. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s, e outros.
","RU,DE",LLAMA,96.17156386375427,89.55736832651185,89.16837645073703,7.6923076923076925,98.68470430374146
"Report bugs to: %s
","Comunicar erros para: %s
","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","RU,DE",LLAMA,61.7670476436615,21.281454825628547,1.9422565110272496,70.0,70.51603198051453
