original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Modo de uso: iconv [-c] [-s] [-f codificação_entrada] [-t codificação_saída] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"ES,ID",LLAMA,55.05244657427051
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,"ES,ID",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente `%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","ES,ID",LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
",Modo de uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICACIÓN] [ARQUIVO DE ENTRADA...],"Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","ES,ID",LLAMA,66.06893207125027
"or:    %s -l
","ou então: %s -l
","ou:    %s -l
","ES,ID",LLAMA,53.7284965911771
"Converts text from one encoding to another encoding.
",Converta o texto de uma codificação para outra.,"Converte texto de uma codificação para outra.
","ES,ID",LLAMA,72.59795291154772
"Options controlling the input and output format:
","Opciones para controlar el formato de entrada y salida:
","Opções para controlar os formatos de entrada e saída:
","ES,ID",LLAMA,12.549310621989482
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                               Codificação de entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","ES,ID",LLAMA,20.90067144241745
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                              Saída em codificação","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","ES,ID",LLAMA,18.04438612975343
"Options controlling conversion problems:
","Opciones para controlar los problemas de conversión:
'ES': 'Opções ES'
'ID': 'Opsi mengontrol masalah pengubahan'","Opções para controlar problemas de conversão:
","ES,ID",LLAMA,6.423094863383858
"  -c                          discard unconvertible characters
","descarta os caracteres que não podem ser convertidos
","  -c                          descarta caracteres não conversíveis
","ES,ID",LLAMA,7.267884212102741
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=CADENADEFORMATO
                              substituição para caracteres Unicode que não podem ser convertidos.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
","ES,ID",LLAMA,9.238430210261097
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=CADENADEFORMATO sustituição para os bytes não convertíveis.,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
","ES,ID",LLAMA,12.549310621989482
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=CADENADEFORMATO
                              substituição para caracteres anchos não convertíveis","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
","ES,ID",LLAMA,23.356898886410015
"Options controlling error output:
",Opciones para controlar a saída de erros: 'ES' e 'ID',"Opções para controlar saída de erro:
","ES,ID",LLAMA,11.208466750961147
"  -s, --silent                suppress error messages about conversion problems
"," -s, --silent                 não exibir mensagens relacionadas a erros de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
","ES,ID",LLAMA,18.36028134946796
"Informative output:
",Salida informativa:,"Saída informativa:
","ES,ID",LLAMA,55.03212081491043
"  -l, --list                  list the supported encodings
","  -l, --list                   lista de codificações suportadas
","  -l, --list                  lista das codificações com suporte
","ES,ID",LLAMA,37.68499164492418
"  --help                      display this help and exit
","--help                       Mostra esta ajuda e sai
","  --help                      exibe esta ajuda e sai
","ES,ID",LLAMA,53.7284965911771
"  --version                   output version information and exit
","--versao                    Mostra a versão e sai
","  --version                   exibe informação da versão e sai
","ES,ID",LLAMA,25.57539057896621
"License GPLv3+: GNU GPL version 3 or later <%s>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <http://gnu.org/licenses/gpl.html> 
Este software é livre: você pode modificá-lo e redistribuí-lo. 
Não há nenhuma garantia, dentro do que a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","ES,ID",LLAMA,29.165949127069794
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","ES,ID",LLAMA,100.00000000000004
