original,translated,reference,context_languages,strategy,bleu
Applications,Aplicativo de Computador,Aplicativos,ZH_CN,LLAMA,0.0
applications,Aplicativo,aplicativos,ZH_CN,LLAMA,0.0
Desktop,máquina virtual de nuvem,Área de trabalho,ZH_CN,LLAMA,15.97357760615681
desktop,máquina virtual de hardware,área de trabalho,ZH_CN,LLAMA,15.97357760615681
Documents,documento,Documentos,ZH_CN,LLAMA,0.0
documents,documento,documentos,ZH_CN,LLAMA,0.0
Download,Torrar vindo,Download,ZH_CN,LLAMA,0.0
download,tá na hora de baixar o arquivo.,download,ZH_CN,LLAMA,0.0
Downloads,Baixar o arquivo,Downloads,ZH_CN,LLAMA,0.0
downloads,baixar o arquivo,downloads,ZH_CN,LLAMA,0.0
Movies,filme,Filmes,ZH_CN,LLAMA,0.0
movies,filme,filmes,ZH_CN,LLAMA,0.0
Music,Música,Músicas,ZH_CN,LLAMA,0.0
music,música,músicas,ZH_CN,LLAMA,0.0
Photos,Foto de câmera digital,Fotos,ZH_CN,LLAMA,0.0
photos,foto digital,fotos,ZH_CN,LLAMA,0.0
Pictures,imagem,Imagens,ZH_CN,LLAMA,0.0
pictures,imagem,imagens,ZH_CN,LLAMA,0.0
Projects,Projeto,Projetos,ZH_CN,LLAMA,0.0
projects,projeto,projetos,ZH_CN,LLAMA,0.0
Public,công,Público,ZH_CN,LLAMA,0.0
public,công,público,ZH_CN,LLAMA,0.0
Share,Compartilhar,Compartilhados,ZH_CN,LLAMA,0.0
share,compartilhamento,compartilhados,ZH_CN,LLAMA,0.0
Templates,modelo,Modelos,ZH_CN,LLAMA,0.0
templates,modelo,modelos,ZH_CN,LLAMA,0.0
Videos,imagem em movimento,Vídeos,ZH_CN,LLAMA,0.0
videos,imagem em movimento,vídeos,ZH_CN,LLAMA,0.0
