write error	erro de escrever  write error
preserving permissions for %s	preservando permissões para %s
unbalanced [	desequilibrado []
invalid character class	A classe de caracteres inválidos é inválida.
character class syntax is [[:space:]], not [:space:]	A sintaxe da classe de caracteres é [[:space:]], não [:space:]
unfinished \ escape	"unfinished \ escape"
? at start of expression	? no início da expressão
* at start of expression	* no início da expressão
+ at start of expression	+ no início da expressão
invalid content of \{\}	conteúdo inválido de \{\}
regular expression too big	expressão regular muito grande
unbalanced (	desequilibrado ()
no syntax specified	Nenhuma sintaxe especificada
unbalanced )	desbalançado) 
Unknown system error	Erro de sistema desconhecido
memory exhausted	Memória exausta
`	Não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não.
'	' '
Success	Sucesso
No match	Não há correspondência
Invalid regular expression	Expressão regular inválida
Invalid collation character	Características de collação inválidas
Invalid character class name	Nome de classe de caracteres inválido
Trailing backslash	Trailing backslash
Invalid back reference	Referência de volta inválida
Unmatched [, [^, [:, [., or [=	Incomparáveis [, [^, [:, [., ou [=]
Unmatched ( or \(	Inigualável (ou \()
Unmatched \{	Sem igual \{ Unmatched \{ Unmatched \{ Unmatched \{ Unmatched \{ Unmatched \{
Invalid content of \{\}	Conteúdo inválido de \{\}
Invalid range end	Range end inválido 
Memory exhausted	Memória exausta
Invalid preceding regular expression	Invalid preceding regular expression
Premature end of regular expression	Fim prematuro da expressão regular
Regular expression too big	Expressão regular muito grande
Unmatched ) or \)	Inigualável ) ou \) 
No previous regular expression	Nenhuma expressão regular anterior
setting permissions for %s	configuração de permissões para %s
Packaged by %s (%s)	Embalado por %s (%s)
Packaged by %s	Embalado por %s
(C)	(C)
License GPLv3+: GNU GPL version 3 or later <%s>.	Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
This is free software: you are free to change and redistribute it.	Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
There is NO WARRANTY, to the extent permitted by law.	Não há garantia, na medida em que a lei o permite.
Written by %s.	Escrito por %s.
Written by %s and %s.	Escrito por %s e %s.
Written by %s, %s, and %s.	Escrito por %s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
and %s.	%s. e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, and %s.	%s, e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, and %s.	%s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, and %s.	%s, %s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
and %s.	%s. e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
%s, and %s.	%s, e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
%s, %s, and others.	%s, %s e outros.
Report bugs to: %s	Report bugs to: %s
Report %s bugs to: %s	Relate bugs de %s para: %s
%s home page: <%s>	Página inicial do %s: <%s>
General help using GNU software: <%s>	Ajuda geral usando o software GNU: <%s>
multiple `!'s	múltiplo `!'s
unexpected `,'	inesperado `,'
invalid usage of +N or ~N as first address	Uso inválido de +N ou ~N como primeiro endereço
unmatched `{'	inigualável `{'
unexpected `}'	inesperado `}'
extra characters after command	Caracteres extras após o comando
expected \ after `a', `c' or `i'	\ depois de `a', `c' ou `i' esperado
`}' doesn't want any addresses	`}' não quer nenhum endereço
: doesn't want any addresses	: não quer quaisquer endereços
comments don't accept any addresses	comentários não aceitam qualquer endereço
missing command	O comando que falta é o comando que falta.
command only uses one address	O comando usa apenas um endereço.
unterminated address regex	endereço subminado regex
unterminated `s' command	subminado com o comando `s'
unterminated `y' command	subminado com o comando `y'
unknown option to `s'	opção desconhecida para `s'
multiple `p' options to `s' command	múltiplas opções de `p' para `s' comando
multiple `g' options to `s' command	`g' options to `s' command multiple `
multiple number options to `s' command	múltiplas opções de número para o comando `s'
number option to `s' command may not be zero	A opção número para o comando `s' pode não ser zero.
strings for `y' command are different lengths	As cadeias para o comando `y' são de diferentes comprimentos.
delimiter character is not a single-byte character	O caráter delimitador não é um caráter de um único byte
expected newer version of sed	nova versão de sed esperada
invalid usage of line address 0	uso inválido de endereço de linha 0
unknown command: `%c'	Comando desconhecido: `%c'
incomplete command	Comando incompleto
":" lacks a label	":" carece de um rótulo
recursive escaping after \c not allowed	Escapação recorrente após \c não permitido
e/r/w commands disabled in sandbox mode	Os comandos e/r/w são desativados no modo sandbox.
%s: file %s line %lu: %s	%s: arquivo %s linha %lu: %s
%s: -e expression #%lu, char %lu: %s	%s: -e expressão #%lu, char %lu: %s
can't find label for jump to `%s'	Não conseguimos encontrar um rótulo para saltar para `%s'
case conversion produced an invalid character	A conversão produziu um caso de caracteres inválidos.
%s: can't read %s: %s	%s: não consegue ler %s: %s
couldn't edit %s: is a terminal	Não conseguiu editar %s: é um terminal
couldn't edit %s: not a regular file	Não conseguiu editar %s: não é um arquivo normal
%s: warning: failed to set default file creation context to %s: %s	%s: aviso: falhou em definir o contexto de criação de arquivo padrão para %s: %s.
%s: warning: failed to get security context of %s: %s	%s: aviso: falhou em obter o contexto de segurança de %s: %s
couldn't open temporary file %s: %s	Não conseguiu abrir o arquivo temporário %s: %s.
error in subprocess	erro no subprocesso
option `e' not supported	`e' not supported option
`e' command not supported	O comando `e' não é suportado
no input files	Não há arquivos de entrada
no previous regular expression	Nenhuma expressão regular anterior
invalid reference \%d on `s' command's RHS	Referência inválida \%d no comando `s' RHS
