original,translated,reference,context_languages,strategy,bleu
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
","CÓDOS DÚNCIA DE UTILIZAÇÃO DO FUSER EM PORTUGUÊSE

a,--all               Também exibe os processos que não estão utilizando o arquivo especificado.
n--inode             Sempre utiliza a unidade de disco (NUD) para comparar as pastas, em vez do nome ou caminho da pasta.
-k,--kill              Executa um termino no final dos processos que têm permissão para ler/escrever o arquivo especificado. Se -i não for usado e nenhuma opção de interação (-I) estiver presente, esse comando será ignorado.
n--list-signals      Lista os sinais disponísiveis que podem ser enviados para um processo (por exemplo: SIGKILL).
-l,--list-signals     Não é necessário escapar as aspas em volta dos nomes de arquivo ou pasta.
n--mount             Exibe todos os programas e sistemas que estão utilizando o sistema de arquivos especificado. Isso inclui tanto a unidade do disco quanto quaisquer outros dispositivos montados, como discos rígidos externos (HDDs) ou SSDs).
n--ismountpoint      Executa apenas quando <nome> é um ponto de mount.
-m,--mount             Exibe todos os programas e sistemas que estão utilizando o sistema de arquivos especificado. Isso inclui tanto a unidade do disco quanto quaisquer outros dispositinetes montados, como discos rígidos externos (HDDs) ou SSDs).
n--namespace KHOẢNG  Tenta encontrar processos que estão utilizando o sistema de arquivos especificado dentro da área do namespace definida por <KHOẢNG>. Isso pode ser uma pasta, um serviço TCP/IP ou UDP.
-s,--silent           Não é necessário escapar as aspas em volta dos nomes de arquivo ou pasta. A opção -SIGNAL não deve conter sinais que possam causar erros no sistema operacional, como SIGKILL (que pode fazer com que o processo seja encerrado imediatamente).
n--user              Exibe os IDs de usuário dos processos. Isso é útil para identificar qual usuário está utilizando um determinado arquivo ou serviço.
-v,--verbose           Apresenta mais informações sobre o que fizeram, como quaisquer alterações feitas no sistema operacional ao usar esse comando (por exemplo: criar/excluir pastas).
n--writeonly         Executa apenas os processos que têm permissão para gravar em um determinado arquivo. Isso é útil quando você deseja garantir que nenhum outro usuário possa acessar ou modificar o conteúdo do arquivo.
n--version           Exibe informações sobre as versões disponíveis deste comando e da biblioteca fuser (fuser).
","Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
","VI,ZH_CN",LLAMA,2.933462349107395
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","  -4,--ipv4             chame apenas para procurar endereços IPv4
  -6,--ipv6             chame apenas para procurar endereços IPv6
","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
","VI,ZH_CN",LLAMA,21.258844131063825
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

","Các tên udp/tcp: [cổng_cục_bộ][,[máy_chủ][,[cổng_máy_chủ]]]","  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

","VI,ZH_CN",LLAMA,31.351726500517874
"fuser (PSmisc) %s
",fuser (PSmisc) %s,"fuser (PSmisc) %s
","VI,ZH_CN",LLAMA,100.00000000000004
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

",Privilégio de propriedade intelectual © năm 1993-2024 Werner Almesberger e Craig Small,"Copyright (C) 1993-2020 Werner Almesberger and Craig Small

","VI,ZH_CN",LLAMA,9.83748990557782
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO BAIXE O CÓDIGO AINDA. Isto é o componente livre do software, e você pode distribuir ou modificar ele sob a licença GPL da GNU (GPL). Para obter mais informações sobre como reutilizar este código, consulte o arquivo com o nome 'COPYING'.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
","VI,ZH_CN",LLAMA,16.54336266009874
"Cannot open /proc directory: %s
",Não é possível abrir o diretório /proc: %s,"Não foi possível abrir o diretório /proc: %s
","VI,ZH_CN",LLAMA,80.70557274927978
"Cannot allocate memory for matched proc: %s
",Não é possível gerar o blocos de memória para processo em execução: %s,"Não foi possível alocar memória ao proc equiparado: %s
","VI,ZH_CN",LLAMA,11.633270842295033
"Specified filename %s does not exist.
",O nome do arquivo %s não está mais presente.,"O nome de arquivo especificado %s não existe.
","VI,ZH_CN",LLAMA,19.081654556856684
"Cannot stat %s: %s
",Não é possível obter informações sobre %s: %s,"Não foi possível analisar %s: %s
","VI,ZH_CN",LLAMA,38.16330911371339
