original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
",%s: não pode resolver endereço de ligação %s; desativar ligação.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
",,NLLB,27.251836515605532
Connecting to %s|%s|:%d...,Conectando-se a %s%s de dados:%d...,Conectando-se a %s|%s|:%d...,,NLLB,57.3122448409426
Connecting to %s:%d...,Conexão a %s:%d...,Conectando-se a %s:%d...,,NLLB,88.01117367933934
Connecting to [%s]:%d...,Conexão com [%s]:%d...,Conectando-se a [%s]:%d...,,NLLB,80.70557274927978
"setsockopt SO_RCVBUF failed: %s
",setsockopt SO_RCVBUF falhou: %s,"setsockopt SO_RCVBUF falhou: %s
",,NLLB,100.00000000000004
"connected.
",conectado.,"conectado.
",,NLLB,100.00000000000004
"failed: %s.
",falhou: %s.,"falha: %s.
",,NLLB,66.87403049764218
"%s: unable to resolve host address %s
",%s: não pode resolver o endereço de hospedagem %s,"%s: não foi possível resolver endereço de máquina %s
",,NLLB,29.50234363196403
"setsockopt SO_REUSEADDR failed: %s
",setsockopt SO_REUSEADDR falhou: %s,"setsockopt SO_REUSEADDR falhou: %s
",,NLLB,100.00000000000004
"Too many fds open.  Cannot use select on a fd >= %d
",Muitos fds abertos. Não pode usar selecionar em um fd >= %d,"Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
",,NLLB,36.0200395530214
"Converted links in %d files in %s seconds.
",Links convertidos em arquivos %d em %s segundos.,"Links convertidos em %d arquivos em %s segundos.
",,NLLB,52.809722164707374
Converting links in %s...,Converter links em %s...,Convertendo links em %s...,,NLLB,84.08964152537145
"nothing to do.
",Não tenho nada a fazer.,"nada a ser feito.
",,NLLB,17.965205598154213
"%d.
",%d.,"%d.
",,NLLB,100.00000000000004
"Cannot convert links in %s: %s
",Não pode converter links em %s: %s,"Não foi possível converter links em %s: %s
",,NLLB,70.80735452207037
"Unable to delete %s: %s
",Incapaz de excluir %s: %s,"Não foi possível excluir %s: %s
",,NLLB,60.042877124855906
"Cannot back up %s as %s: %s
",Não pode fazer backup de %s como %s: %s,"Não foi possível fazer uma cópia de segurança de %s como %s: %s
",,NLLB,50.08118522903201
"Unable to get cookie for %s
",Incapaz de obter um cookie para %s,"Incapaz de obter o cookie para %s
",,NLLB,50.000000000000014
"Syntax error in Set-Cookie: %s at position %d.
",Erro de sintaxe no Set-Cookie: %s na posição %d.,"Erro de sintaxe em Set-Cookie: %s na posição %d.
",,NLLB,76.11606003349888
Cookie coming from %s attempted to set domain to,Cookie proveniente de %s tentou definir domínio para,Cookie vindo de %s tentou designar domínio como,,NLLB,33.03164318013807
"%s
",%s,"%s
",,NLLB,100.00000000000004
"Cannot open cookies file %s: %s
",Não pode abrir o arquivo de cookies %s: %s,"Não foi possível abrir o arquivo de cookies %s: %s
",,NLLB,76.04321823471474
"Error writing to %s: %s
",Erro de escrita para %s: %s,"Erro ao gravar em %s: %s.
",,NLLB,41.80134288483489
"Error closing %s: %s
",Erro de fechamento %s: %s,"Erro ao fechar %s: %s
",,NLLB,54.10822690539397
"Unsupported listing type, trying Unix listing parser.
","Tipo de listagem não suportado, tentando análise de listagem Unix.","Não há suporte para o tipo de listagem. Tentando usar interpretador de listagem UNIX.
",,NLLB,7.257024107490348
Index of /%s on %s:%d,Índice de /%s em %s:%d,Índice de /%s em %s:%d,,NLLB,100.00000000000004
time unknown,tempo desconhecido,horário desconhecido,,NLLB,49.99999999999999
File,Arquivo,Arquivo,,NLLB,100.00000000000004
Directory,Directório,Diretório,,NLLB,0.0
Link,Ligação,Link,,NLLB,0.0
Not sure,Não tenho a certeza.,Incerto,,NLLB,0.0
(%s bytes),(%s bytes),(%s bytes),,NLLB,100.00000000000004
Length: %s,Duração: %s,Tamanho: %s,,NLLB,59.460355750136046
", %s (%s) remaining",", %s (%s) restante",", %s (%s) restantes",,NLLB,84.08964152537145
", %s remaining",", %s restante",", %s restantes",,NLLB,59.460355750136046
" (unauthoritative)
",(não autorizado)," (sem autoridade)
",,NLLB,18.99589214128981
"Could not initialize SSL. It will be disabled.
",Não consegui inicializar o SSL.,"Não foi possível iniciar o SSL. Ele será desabilitado.
",,NLLB,14.11000944252055
Logging in as %s ...,A entrada como %s ...,Acessando como %s ...,,NLLB,68.037493331712
"Error in server response, closing control connection.
","Erro na resposta do servidor, fechamento da conexão de controlo.","Erro na resposta do servidor, fechando a conexão de controle.
",,NLLB,48.326978309062206
"Error in server greeting.
",Erro na saudação do servidor.,"Erro na saudação do servidor.
",,NLLB,100.00000000000004
"Write failed, closing control connection.
","Escreva falha, fechamento da ligação de controlo.","Falha de escrita, fechando a conexão de controle.
",,NLLB,5.61480827173619
"The server refuses login.
",O servidor recusa o login.,"O servidor recusou o acesso.
",,NLLB,19.304869754804482
"Login incorrect.
",Login incorreto.,"Identificação incorreta.
",,NLLB,27.516060407455225
"Logged in!
",Ligado para dentro!,"Acesso autorizado!
",,NLLB,15.97357760615681
"Server did not accept the 'PBSZ 0' command.
","O servidor não aceitou o comando ""PBSZ 0"".","O servidor não aceitou o comando ""PBSZ 0"".
",,NLLB,100.00000000000004
"Server did not accept the 'PROT %c' command.
","O servidor não aceitou o comando ""PROT %c"".","O servidor não aceitou o comando ""PROT %c"".
",,NLLB,100.00000000000004
"Server error, can't determine system type.
","Erro do servidor, não conseguimos determinar o tipo de sistema.","Erro do servidor, não foi possível determinar tipo de sistema.
",,NLLB,54.52469119630863
done.,Está tudo feito.,feito.,,NLLB,31.947155212313625
"done.
",Está tudo feito.,"feito.
",,NLLB,31.947155212313625
"Unknown type `%c', closing control connection.
","Tipo desconhecido `%c', fechamento da ligação de controlo.","Tipo ""%c"" é desconhecido, fechando a conexão de controle.
",,NLLB,4.486485776935437
done.,Está tudo feito.,feito.,,NLLB,31.947155212313625
#ERROR!,CWD não é necessário.,#ERROR!,,NLLB,0.0
Logically impossible section reached in getftp(),Seção logicamente impossível alcançado em getftp(),Seção logicamente impossível foi alcançada em getftp(),,NLLB,44.12484512922978
"cwd_count: %d
cwd_start: %d
cwd_end: %d
","cwd_count: %d
cwd_start: %d
Cwd_end: %d","cwd_count: %d
cwd_start: %d
cwd_end: %d
",,NLLB,83.94327083733333
"No such directory %s.

",Não há tal diretório %s.,"O diretório %s não foi encontrado.

",,NLLB,22.772101321113862
#ERROR!,#ERROR!,#ERROR!,,NLLB,100.00000000000004
"File has already been retrieved.
",O ficheiro já foi recuperado.,"O arquivo já foi obtido.
",,NLLB,19.304869754804482
"Cannot initiate PASV transfer.
",Não pode iniciar a transferência do PASV.,"Não é possível iniciar transferência PASV.
",,NLLB,13.888095170058955
"Cannot parse PASV response.
",Não consegue analisar a resposta do PASV.,"Não foi possível entender resposta do comando PASV.
",,NLLB,14.57516139687571
"couldn't connect to %s port %d: %s
",Não conseguiu conectar-se ao porto %s %d: %s,"não foi possível se conectar a %s porta %d: %s
",,NLLB,30.86514345856239
"Bind error (%s).
",Erro de ligação (%s).,"Erro na associação (%s).
",,NLLB,54.10822690539397
"Invalid PORT.
",Porto inválido.,"PORT é inválido.
",,NLLB,39.43223765116288
"
REST failed, starting from scratch.
","O REST falhou, começando do zero.","
REST falhou, recomeçando do zero.
",,NLLB,34.57207846419411
"File %s exists.
",O arquivo %s existe.,"O arquivo %s existe.
",,NLLB,100.00000000000004
"No such file %s.
",Não há tais arquivos %s.,"O arquivo %s não foi encontrado.

",,NLLB,12.600736402830258
"No such file %s.

",Não há tais arquivos %s.,"O arquivo %s não foi encontrado.

",,NLLB,12.600736402830258
"No such file or directory %s.

",Nenhum arquivo ou diretório desse tipo.,"O arquivo ou diretório %s não foi encontrado.

",,NLLB,17.112717058426785
"%s has sprung into existence.
",O %s surgiu.,"%s surgiu do nada.
",,NLLB,34.98330125272251
"%s: %s, closing control connection.
","%s: %s, fechamento da conexão de controlo.","%s: %s, fechando conexão de controle.
",,NLLB,48.326978309062206
%s (%s) - Data connection: %s;,%s (%s) - Conexão de dados: %s;,%s (%s) - Conexão de dados: %s;,,NLLB,100.00000000000004
"Control connection closed.
",Ligação de controlo fechada.,"A conexão de controle está fechada.
",,NLLB,15.84873897212071
"Data transfer aborted.
",Transferência de dados interrompida.,"A transferência dos dados foi abortada.
",,NLLB,8.515289178380433
"File %s already there; not retrieving.
",O arquivo %s já está lá; não está sendo recuperado.,"O arquivo %s já existe, não será baixado.
",,NLLB,31.455601883230702
(try:%2d),(Tenta: %2d),(tentativa:%2d),,NLLB,53.7284965911771
"%s (%s) - written to stdout %s[%s]

",%s (%s) - escrito para stdout %s[%s],"%s (%s) - escrito para a saída padrão %s[%s]

",,NLLB,71.9548353625319
"%s (%s) - %s saved [%s]

",%s (%s) - %s salvou [%s],"%s (%s) - %s salvo [%s]

",,NLLB,78.25422900366438
"Removing %s.
",Removendo %s.,"Removendo %s.
",,NLLB,100.00000000000004
"Using %s as listing tmp file.
",Usando %s como lista de arquivo tmp.,"Usando %s como arquivo temporário de listagem.
",,NLLB,34.32945239845197
"Removed %s.
",Removido %s.,"Removeu %s.
",,NLLB,59.460355750136046
"Recursion depth %d exceeded max. depth %d.
",A profundidade de recorrência %d excedeu a profundidade máxima %d.,"Nível de recursão %d excedeu o nível máximo %d.
",,NLLB,20.098339913206324
"Remote file no newer than local file %s -- not retrieving.
",Arquivo remoto não mais recente do que o arquivo local %s - não recuperação.,"O arquivo remoto não é mais novo que o local %s -- ignorando.
",,NLLB,14.62806365365753
"Remote file is newer than local file %s -- retrieving.

",O arquivo remoto é mais recente do que o arquivo local %s - recuperação.,"O arquivo remoto é mais novo que o local %s -- baixando.

",,NLLB,34.46073377034663
"The sizes do not match (local %s) -- retrieving.

",Os tamanhos não correspondem (local %s) -- recuperação.,"Os tamanhos não coincidem (local %s) -- baixando.

",,NLLB,54.52469119630863
"Invalid name of the symlink, skipping.
","Nome inválido do link, saltando.","Nome inválido da ligação simbólica, ignorando.
",,NLLB,13.540372457315735
"Already have correct symlink %s -> %s

",Já tem o link de sincronismo correto %s -> %s,"Ligação simbólica já está correta %s -> %s

",,NLLB,38.058030016749456
"Creating symlink %s -> %s
",Criando um link simétrico %s -> %s,"Criando ligação simbólica %s -> %s
",,NLLB,53.7284965911771
"Symlinks not supported, skipping symlink %s.
","Não são suportados os links simbólicos, ignorando os links simbólicos %s.","Não há suporte para ligações simbólicas, ignorando a ligação %s.
",,NLLB,13.912311644176565
"Skipping directory %s.
",Salto do diretório %s.,"Ignorando o diretório %s.
",,NLLB,50.81327481546147
"%s: unknown/unsupported file type.
",%s: tipo de arquivo desconhecido/não suportado.,"%s: o tipo de arquivo é desconhecido ou não possui suporte.
",,NLLB,19.767437766271104
"Failed to set permissions for %s.
",Não conseguiu definir permissões para %s.,"Falhou em obter permissões para %s.
",,NLLB,51.69731539571708
"%s: corrupt time-stamp.
",%s: marca de tempo corrompida.,"%s: horário (timestamp) corrompido.
",,NLLB,19.493995755254467
