original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento inválido %s para %s,argumento inválido %s para %s,,NLLB,100.00000000000004
ambiguous argument %s for %s,argumento ambíguo %s para %s,argumento ambíguo %s para %s,,NLLB,100.00000000000004
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,,NLLB,39.76353643835254
write error,escrever erro,erro de escrita,,NLLB,30.326532985631665
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,,NLLB,37.99178428257963
"%s: option '%s%s' is ambiguous
",%s: a opção '%s%s' é ambígua,"%s: a opção ""%s%s"" é ambígua
",,NLLB,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",,NLLB,54.01152096367797
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
",,NLLB,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
",%s: opção '%s%s' não permite um argumento,"%s: a opção ""%s%s"" não permite um argumento
",,NLLB,31.382954168146785
"%s: option '%s%s' requires an argument
",%s: a opção '%s%s' requer um argumento,"%s: a opção ""%s%s"" exige um argumento
",,NLLB,39.355951621009716
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
",,NLLB,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: opção requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
",,NLLB,20.33038389239877
`,`,“,,NLLB,0.0
,"- Não , não , não .",”,,NLLB,0.0
Success,Sucesso,Sucesso,,NLLB,100.00000000000004
No match,Não há coincidência.,Nenhuma ocorrência do padrão,,NLLB,0.0
Invalid regular expression,Expressão regular inválida,Expressão regular inválida,,NLLB,100.00000000000004
Invalid collation character,Características inválidas da colheita,Caractere de combinação inválido,,NLLB,0.0
Invalid character class name,Nome inválido da classe de caracteres,Nome inválido de categoria de caracteres,,NLLB,22.957488466614326
Trailing backslash,Ressaca atrás,Barra invertida no final,,NLLB,0.0
Invalid back reference,Referência de volta inválida,Retrorreferência inválida,,NLLB,15.97357760615681
"Unmatched [, [^, [:, [., or [=","Não igualado [, [^, [:, [., ou [=]","[, [^, [:, [. ou [= sem correspondente",,NLLB,63.019085559238604
Unmatched ( or \(,Inigualável (ou \(,( ou \( sem correspondente,,NLLB,54.75182535069452
Unmatched \{,Inigualável .,\{ sem correspondente,,NLLB,0.0
Invalid content of \{\},Conteúdo inválido de \{\},Conteúdo inválido de \{\},,NLLB,100.00000000000004
Invalid range end,Fim de faixa inválido,Fim de intervalo inválido,,NLLB,35.35533905932737
Memory exhausted,Memória esgotada,Memória esgotada,,NLLB,100.00000000000004
Invalid preceding regular expression,Invalida anterior à expressão regular,A expressão regular precedente é inválida,,NLLB,17.491650626361256
Premature end of regular expression,Fim prematuro da expressão regular,Fim prematuro da expressão regular,,NLLB,100.00000000000004
Regular expression too big,A expressão regular é grande demais.,Expressão regular grande demais,,NLLB,14.535768424205482
Unmatched ) or \),Inigualável) ou \),) ou \) sem correspondente,,NLLB,54.75182535069452
No previous regular expression,Nenhuma expressão regular anterior,Nenhuma expressão regular anterior,,NLLB,100.00000000000004
^[yY],"Não, não, não.",^[+1SsyY],,NLLB,0.0
^[nN],↑ [nN],^[-0nN],,NLLB,18.99589214128981
"Packaged by %s (%s)
",Embalado por %s (%s),"Empacotado por %s (%s)
",,NLLB,84.08964152537145
"Packaged by %s
",Embalado por %s,"Empacotado por %s
",,NLLB,59.460355750136046
(C),(C),(C),,NLLB,100.00000000000004
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
Não há garantia, na medida permitida pela lei.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",,NLLB,68.72307922450827
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",,NLLB,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",,NLLB,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s.","Escrito por %s, %s, e %s.
",,NLLB,74.26141117870938
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s,
e %s.","Escrito por %s, %s, %s,
e %s.
",,NLLB,100.00000000000004
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s,
%s e %s.","Escrito por %s, %s, %s,
%s, e %s.
",,NLLB,84.2801443078418
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s,
%s, %s e %s.","Escrito por %s, %s, %s,
%s, %s, e %s.
",,NLLB,86.80538146126796
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s,
%s, %s, %s e %s.","Escrito por %s, %s, %s,
%s, %s, %s, e %s.
",,NLLB,88.6247641996599
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
e %s.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
e %s.
",,NLLB,89.45648481322715
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
%s e %s.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, e %s.
",,NLLB,88.27916928185873
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
%s, %s e outros.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s, e outros.
",,NLLB,89.01732118131126
"Report bugs to: %s
",Relatar erros para: %s,"Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
",,NLLB,1.9422565110272496
"Report %s bugs to: %s
",Relatar bugs de %s para: %s,"Relate erros do %s para: %s
",,NLLB,58.73949094699213
"%s home page: <%s>
",Página inicial do %s: <%s>,"Página do %s: <%s>
",,NLLB,78.25422900366438
"General help using GNU software: <%s>
",Ajuda geral usando o software GNU: <%s>,"Ajuda geral no uso de softwares GNU: <%s>
",,NLLB,47.41797560818527
memory exhausted,Memória esgotada,memória esgotada,,NLLB,49.99999999999999
Disk Image,Imagem de disco,Imagem de disco,,NLLB,100.00000000000004
Error opening %s: %s,Erro de abertura %s: %s,Erro ao abrir %s: %s,,NLLB,54.10822690539397
Unable to open %s read-write (%s).  %s has been opened read-only.,Incapaz de abrir %s leitura-escrita (%s). %s foi aberto somente leitura.,Não foi possível abrir %s para leitura e escrita (%s). %s foi aberto somente-leitura.,,NLLB,46.556115565981216
%s during seek for read on %s,%s durante a busca de leitura em %s,%s durante busca para leitura em %s,,NLLB,39.281465090051306
%s during read on %s,%s durante a leitura em %s,%s durante leitura em %s,,NLLB,50.000000000000014
"Can't write to %s, because it is opened read-only.","Não pode escrever para %s, porque está aberto somente para leitura.","Não é possível escrever em %s, pois foi aberto como somente-leitura.",,NLLB,13.065113298388567
%s during seek for write on %s,%s durante a pesquisa para escrever em %s,%s durante busca para escrita em %s,,NLLB,27.301208627090666
%s during write on %s,%s durante a escrita em %s,%s durante escrita em %s,,NLLB,50.000000000000014
"Try `%s --help' for more information.
",Tente `%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
",,NLLB,33.010083098515025
"Usage: %s [OPTION] [DEVICE]...
",Utilização: %s [opção] [dispositivo]...,"Uso: %s [OPÇÃO] [DISPOSITIVO]...
",,NLLB,42.50281413416977
"Inform the operating system about partition table changes.

  -d, --dry-run    do not actually inform the operating system
  -s, --summary    print a summary of contents
  -h, --help       display this help and exit
  -v, --version    output version information and exit
","Informe o sistema operacional sobre alterações na tabela de partição.

-d, - dry run não informam realmente o sistema operacional
-s, --resumo imprimir um resumo dos conteúdos
-H, --ajuda exibir esta ajuda e sair
-v, --versão de saída de versão de informação e saída","Informa ao sistema operacional sobre alterações na tabela de partição.

  -d, --dry-run    não chega a informar ao sistema operacional
  -s, --summary    exibe um resumo do conteúdo
  -h, --help       exibe esta ajuda e sai
  -v, --version    mostra informações da versão e sai
",,NLLB,31.127070868028554
"
When no DEVICE is given, probe all partitions.
","Quando não for dado nenhum dispositivo, sondar todas as partições.","
Quando nenhum DISPOSITIVO é informado, investiga todas as partições.
",,NLLB,24.384183193426086
"
Report bugs to <%s>.
",Relatar bugs para <%s>.,"
Relate erros para <%s>.
",,NLLB,68.037493331712
Unable to open %s.,Incapaz de abrir %s.,Não foi possível abrir %s.,,NLLB,43.01250851313262
Unable to probe store.,Incapaz de armazenar sondas.,Não foi possível investigar armazenamento.,,NLLB,8.745825313180632
%s trying to sync %s to disk,%s tentando sincronizar %s com disco,%s tentando sincronizar %s ao disco,,NLLB,70.71067811865478
Could not stat device %s - %s.,Não pôde indicar o dispositivo %s - %s.,Não foi possível obter estado do dispositivo %s - %s.,,NLLB,49.19533018641346
Unable to determine the dm type of %s.,Incapaz de determinar o tipo dm de %s.,Não foi possível determinar o tipo dm de %s.,,NLLB,68.752775993657
"Could not determine sector size for %s: %s.
Using the default sector size (%lld).","Não conseguiu determinar o tamanho do setor para %s: %s.
Usando o tamanho padrão do setor (%lld).","Não foi possível determinar o tamanho do setor para %s: %s.
Utilizando tamanho padrão do setor (%lld).",,NLLB,76.97570474571562
"Could not determine physical sector size for %s.
Using the logical sector size (%lld).","Não foi possível determinar o tamanho do setor físico para %s.
Utilizando o tamanho lógico do setor (%lld).","Não foi possível determinar o tamanho do setor físico para %s.
Utilizando tamanho do setor lógico (%lld).",,NLLB,75.00901713271476
Unable to determine the size of %s (%s).,Incapaz de determinar o tamanho de %s (%s).,Não foi possível determinar tamanho de %s (%s).,,NLLB,66.52049901111006
Generic IDE,IDE genérico,IDE genérico,,NLLB,100.00000000000004
Could not get identity of device %s - %s,Não conseguiu obter a identidade do dispositivo %s - %s,Não foi possível obter a identificação do dispositivo %s - %s,,NLLB,53.90594848489677
"Device %s has multiple (%d) logical sectors per physical sector.
GNU Parted supports this EXPERIMENTALLY for some special disk label/file system combinations, e.g. GPT and ext2/3.
Please consult the web site for up-to-date information.","O dispositivo %s tem múltiplos (%d) setores lógicos por setor físico.
O GNU Parted suporta este EXPERIMENTALmente para algumas combinações especiais de etiqueta de disco/sistema de arquivos, por exemplo, GPT e ext2/3.
Consulte o site para obter informações atualizadas.","O dispositivo %s possui múltiplos setores lógicos (%d) por setores físicos.
GNU Parted suporta isto de forma EXPERIMENTAL para alguns rótulos de disco/combinações de sistema de arquivos especiais, ex.: GPT e ext2/3.
Por gentileza, consulte o site para informações atualizadas.",,NLLB,28.914031864412937
Error initialising SCSI device %s - %s,Erro na inicialização do dispositivo SCSI %s - %s,Erro ao inicializar dispositivo SCSI %s - %s,,NLLB,59.00468726392806
The device %s is so small that it cannot possibly store a file system or partition table.  Perhaps you selected the wrong device?,O dispositivo %s é tão pequeno que não pode armazenar um sistema de arquivos ou uma tabela de partições. Talvez você tenha selecionado o dispositivo errado?,O dispositivo %s é tão pequeno que possivelmente não pode armazenar um sistema de arquivos ou tabela de partições. Talvez você selecionou o dispositivo errado?,,NLLB,70.91299972295235
Unable to determine geometry of file/device %s.  You should not use Parted unless you REALLY know what you're doing!,Não pode determinar a geometria do arquivo/dispositivo %s. Não deve usar Parted a menos que saiba REALMENTE o que está fazendo!,Não foi possível determinar a geometria do arquivo/dispositivo %s. Você não deveria utilizar o Parted a menos que você REALMENTE saiba o que está fazendo!,,NLLB,51.238199423968936
Generic SD/MMC Storage Card,Cartão de armazenamento SD/MMC genérico,Cartão de armazenamento genérico SD/MMC,,NLLB,42.72870063962342
NVMe Device,Dispositivo NVMe,Dispositivo NVMe,,NLLB,100.00000000000004
DAC960 RAID controller,DAC960 controlador RAID,Controlador RAID DAC960,,NLLB,34.66806371753173
Promise SX8 SATA Device,Prometimento SX8 SATA Dispositivo,Dispositivo Promise SX8 SATA,,NLLB,35.35533905932737
ATA over Ethernet Device,ATA sobre dispositivo Ethernet,ATA através de dispositivo Ethernet,,NLLB,27.534765745159184
IBM S390 DASD drive,Disco DASD IBM S390,Unidade DASD IBM S390,,NLLB,59.460355750136046
IBM iSeries Virtual DASD,DASD Virtual da IBM iSeries,DASD Virtual IBM iSeries,,NLLB,30.213753973567677
Compaq Smart Array,Compaq Smart Array,Compaq Smart Array,,NLLB,100.00000000000004
ATARAID Controller,Controlador ATARAID,Controlador ATARAID,,NLLB,100.00000000000004
I2O Controller,Controlador I2O,Controlador I2O,,NLLB,100.00000000000004
User-Mode Linux UBD,Utilizador-Modo Linux UBD,Linux UBD modo usuário,,NLLB,39.43223765116288
Loopback device,Dispositivo de recorrente,Dispositivo loopback,,NLLB,27.516060407455225
Linux device-mapper (%s),Mapeador de dispositivos Linux (%s),Mapeador de dispositivo Linux (%s),,NLLB,59.460355750136046
Xen Virtual Block Device,Dispositivo de bloco virtual Xen,Dispositivo de bloco virtual Xen,,NLLB,100.00000000000004
Unknown,Desconhecido,Desconhecido,,NLLB,100.00000000000004
Virtio Block Device,Dispositivo de bloqueio Virtio,Dispositivo de bloco Virtio,,NLLB,35.35533905932737
Linux Software RAID Array,Linux Software RAID Array,Conjunto RAID por software Linux,,NLLB,14.794015674776452
ped_device_new()  Unsupported device type,ped_device_new() Tipo de dispositivo não suportado,ped_device_new()  Tipo de dispositivo não suportado,,NLLB,100.00000000000004
Error fsyncing/closing %s: %s,Erro de sincronização / fechamento de %s: %s,Erro ao chamar fsync/fechar %s: %s,,NLLB,38.16330911371337
%0.0send of file while reading %s,%0.0Enviar arquivo enquanto lê %s,%0.0s fim de arquivo enquanto lê %s,,NLLB,48.35447404743731
