original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Uso: iconv [-c] [-s] [-f codificação de entrada] [-t codificação de saída] [arquivo(s)],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],,LLAMA,47.901455811287484
or:    iconv -l,"ou:
iconv -l
",ou:  iconv -l,,LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
",,LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Uso: %s [opção...] [-f ENCODING] [-t ENCODING] [entrada/saída padrão ...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
",,LLAMA,45.466972369917116
"or:    %s -l
","ou seja, %s -l","ou:    %s -l
",,LLAMA,32.46679154750991
"Converts text from one encoding to another encoding.
",Converta o texto de um código para outro.,"Converte texto de uma codificação para outra.
",,LLAMA,11.339582221952005
"Options controlling the input and output format:
","Opções de configuração do formato de entrada/saída: 
	'--input=<format>': Define o tipo de arquivo para a entrada (por exemplo, 'json', 'csv').
	'--output=<format>': Defina o tipo de saída desejado. Por exemplo, se você quiser salvar em um formato legível por humanos como JSON ou CSV.
	'--verbose': Ative a opção verbose para obter mais informações detalhadas sobre os processos do sistema.","Opções para controlar os formatos de entrada e saída:
",,LLAMA,1.4113761507673406
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","-f ENCODING --from-code=ENCODING
                           Entrada em código","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
",,LLAMA,9.51934081834847
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","-t ENCODING --to-code=ENCODING
                              Saída de codificação","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
",,LLAMA,10.229197414177778
"Options controlling conversion problems:
","Opções de conversão de caracteres: 
""%s"": ""Converte os símbolos para letras""; 
""%d"": ""Exibe o número total de alterações feitas"";","Opções para controlar problemas de conversão:
",,LLAMA,2.7374353552268276
"  -c                          discard unconvertible characters
",-c                           Ignorar caracteres que não podem ser convertidos,"  -c                          descarta caracteres não conversíveis
",,LLAMA,7.267884212102741
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=FORMATSTRING
Substitui caracteres Unicode que não podem ser convertidos.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
",,LLAMA,9.578464408619821
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=FORMATSTRING    Substitui bytes não convertíveis para caracteres,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
",,LLAMA,14.25876976452075
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=FORMATSTRING
Substitui caracteres não convertíveis para formato de largura fixa.","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
",,LLAMA,7.768562846380176
"Options controlling error output:
","Opções de erro para saída do controle: 'Verificar permissões', 'Reiniciar sistema'.","Opções para controlar saída de erro:
",,LLAMA,7.474875887495341
"  -s, --silent                suppress error messages about conversion problems
"," -s, --silent                 Não exibir informações relacionadas aos erros de conversão.","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
",,LLAMA,15.851165692617148
"Informative output:
","Informações de saída: 
","Saída informativa:
",,LLAMA,15.97357760615681
"  -l, --list                  list the supported encodings
","-l, --list                   Lista de codificações suportadas.","  -l, --list                  lista das codificações com suporte
",,LLAMA,22.089591134157878
"  --help                      display this help and exit
","--ajuda                       Mostra este ajuda e sai
","  --help                      exibe esta ajuda e sai
",,LLAMA,30.213753973567677
"  --version                   output version information and exit
","--versão                    Mostra informações de versão e sai do programa
","  --version                   exibe informação da versão e sai
",,LLAMA,17.747405280050266
